,studlab,treat1,treat2,RR,TE_direct,TE_adj,seTE
129,Papp_2018,DEUCRAVA,PBO,2.6380916125000002,2.6380916125000002,0.0,0.9938641894
130,BE ABLE 1_2018,BIME,PBO,4.062054215,3.2395635274,0.8224906876,1.4066598626
131,BE READY_2021,BIME,PBO,4.3581771479,3.2395635274,1.1186136205,0.9943145064000001
132,BE VIVID_2021,BIME,PBO,2.8705769187,3.2395635274,-0.3689866087,0.48836415320000004
133,NCT02762994,NETA,PBO,1.2953225829,1.5015009916,-0.2061784087,0.4124109792
134,PLANETA_2021,NETA,PBO,3.9043832774,1.5015009916,2.4028822858,1.4079099387
135,Papp_2021,SONELO,PBO,4.1777021901,4.1777021901,0.0,1.4085021213
136,BRIDGE_2017,FUM,PBO,1.4973805035,1.4973805035,-2.2204460489999999e-16,0.4083435006
137,Papp_2015,TILDRA,PBO,2.7492604697000003,2.8477013068,-0.0984408371,0.9922441399
138,ReSURFACE-1_2017,TILDRA,PBO,2.6075401396,2.8477013068,-0.2401611672,0.49654533650000005
139,ReSURFACE-2_2017,TILDRA,PBO,3.3806988601,2.8477013068,0.5329975533,0.7044522283
140,FIXTURE_2014,ETA,SECU,-0.8421005983000001,-0.8421005983000001,0.0,0.11633556930000001
141,CLEAR_2015,USK,SECU,-0.3191760913,-0.3349898525,0.015813761200000002,0.0552450394
142,CLARITY_2018,USK,SECU,-0.3458190283,-0.3349898525,-0.0108291758,0.0457165451
143,FEATURE_2015,PBO,SECU,-4.1552504384,-3.1237394448,-1.0315109936,1.4108516897
144,ERASURE_2014,PBO,SECU,-3.7010499897,-3.1237394448,-0.5773105449,0.5756969043
145,FIXTURE_2014,PBO,SECU,-3.4373553053,-3.1237394448,-0.3136158605,0.44565523840000004
146,Papp_2013a,PBO,SECU,-1.4520457387,-3.1237394448,1.6716937061000001,0.9974150173
147,Rich_2013,PBO,SECU,-2.6750691302,-3.1237394448,0.4486703146,0.9979007455000001
148,JUNCTURE_2015,PBO,SECU,-4.0640550404,-3.1237394448,-0.9403155956,1.4117013456
149,Reich_2015,PBO,SECU,-2.2886766629,-3.1237394448,0.8350627819,1.3846449338
150,TRANSFIGURE_2016,PBO,SECU,-3.7148549405,-3.1237394448,-0.5911154957,0.9944854697000001
151,CARIMA_2019,PBO,SECU,-3.2794430562,-3.1237394448,-0.1557036114,1.4164764448
152,VIP-S trial_2020,PBO,SECU,-4.212366518,-3.1237394448,-1.0886270732,1.4090784609
153,ALLURE_2021,PBO,SECU,-3.8848027255,-3.1237394448,-0.7610632807000001,0.9945484240000001
154,Cai_2020,PBO,SECU,-3.8878357798,-3.1237394448,-0.7640963350000001,0.7025179305
155,NCT03055494 ObePso-S,PBO,SECU,-3.4292408295,-3.1237394448,-0.3055013847,1.4072888694
156,NCT03535194,PBO,SECU,-2.4546928712,-3.1237394448,0.6690465736,0.3671020474
157,Papp_2021,PBO,SECU,-4.2152380203,-3.1237394448,-1.0914985755,1.4111152679
158,NCT03589885 MATURE,PBO,SECU,-2.6320642941,-3.1237394448,0.4916751507,0.6930719571
159,ECLIPSE_2019,GUSEL,SECU,-0.0960834894,-0.0960834894,0.0,0.0380708207
160,IMMerge_2021,RISAN,SECU,0.11684548410000001,0.11684548410000001,-1.3877787810000002e-17,0.0733329865
161,BE RADIANT_2021,BIME,SECU,0.1403445911,0.1403445911,0.0,0.037249054000000004
162,Papp_2021,SONELO,SECU,-0.0375358302,-0.0375358302,0.0,0.1149772287
163,Hunter_1963,PBO,MTX,-0.9903987040000001,-1.7589640907000001,0.7685653867000001,1.5994504551
164,METOP_2017,PBO,MTX,-2.3645588525,-1.7589640907000001,-0.6055947618,1.4197812486
165,Flystrom_2008,CICLO,MTX,0.7633021672,0.0097047333,0.7535974339,0.5598794989
166,Heydendael_2003,CICLO,MTX,-0.1941560144,0.0097047333,-0.2038607477,0.29120019810000003
167,Fallaharani_2011,FUM,MTX,-0.6931471806,-0.6931471806,0.0,1.1972189997
168,Flystrom_2008,MTX,CICLO,-0.7633021672,-0.0097047333,-0.7535974339,0.5598794989
169,Heydendael_2003,MTX,CICLO,0.1941560144,-0.0097047333,0.2038607477,0.29120019810000003
170,PIECE_2016,ETA,IFX,-2.2192034841,-2.2192034841,0.0,1.0082270276
171,EXPRESS_2005,PBO,IFX,-3.7841896339,-3.7507405065,-0.0334491274,0.9947384990000001
172,Torii_2010,PBO,IFX,-3.0644434152,-3.7507405065,0.6862970913,1.404218995
173,EXPRESS-II_2007,PBO,IFX,-4.449551124,-3.7507405065,-0.6988106175000001,0.9987358912000001
174,Gottlieb_2004a,PBO,IFX,-3.2685314153,-3.7507405065,0.4822090912,0.9925449982000001
175,Yang_2012,PBO,IFX,-3.9556717701,-3.7507405065,-0.2049312636,1.4095411364000001
176,AMAGINE-2_2015,USK,BRODA,-0.2411919043,-0.2390300351,-0.0021618692,0.0656393457
177,AMAGINE-3_2015,USK,BRODA,-0.23700230590000002,-0.2390300351,0.0020277292,0.0635703385
178,Papp_2012a,PBO,BRODA,-3.7597501046,-3.2809349486,-0.478815156,1.4067581984
179,AMAGINE-1 2016,PBO,BRODA,-4.229133553,-3.2809349486,-0.9481986044,0.7053192078
180,Nakagawa_2016,PBO,BRODA,-3.0690814244,-3.2809349486,0.2118535242,0.9901816263000001
181,AMAGINE-2_2015,PBO,BRODA,-2.9169255039,-3.2809349486,0.3640094447,0.3119509777
182,AMAGINE-3_2015,PBO,BRODA,-3.6378801477,-3.2809349486,-0.3569451991,0.44424099720000004
183,Asahina_2010,PBO,ADA,-3.7681432849,-2.7286731843,-1.0394701006,1.4098896276000001
184,Gordon_2006,PBO,ADA,-3.6539500383,-2.7286731843,-0.925276854,1.4137746287000001
185,REVEAL_2008,PBO,ADA,-2.9899003953000003,-2.7286731843,-0.261227211,0.3318166474
186,Gordon_2015_X-PLORE,PBO,ADA,-2.9209084818,-2.7286731843,-0.1922352975,1.0027792585
187,Cai_2016,PBO,ADA,-2.7806918973,-2.7286731843,-0.052018713,0.569385326
188,VOYAGE-1_2016,PBO,ADA,-2.8504641822,-2.7286731843,-0.1217909979,0.4441654624
189,VOYAGE-2_2017,PBO,ADA,-2.9618307219,-2.7286731843,-0.23315753760000002,0.4089288938
190,Elewski_2016,PBO,ADA,-1.8950207975,-2.7286731843,0.8336523868,0.38170691300000004
191,Gordon_2015_X-PLORE,GUSEL,ADA,0.0539340353,0.372721687,-0.3187876517,0.18675478850000002
192,VOYAGE-1_2016,GUSEL,ADA,0.38789238730000003,0.372721687,0.015170700300000001,0.06434243020000001
193,VOYAGE-2_2017,GUSEL,ADA,0.4025874083,0.372721687,0.029865721300000002,0.0738521966
194,IMMvent_2019,RISAN,ADA,0.4245991999,0.4245991999,0.0,0.0701417678
195,BE SURE_2021,BIME,ADA,0.5064656474,0.5064656474,0.0,0.0802123507
196,CIMPACT_2018,ETA,CERTO,-0.179393297,-0.179393297,2.7755575620000004e-17,0.1478152386
197,Reich_2012a,PBO,CERTO,-3.2017813915,-2.9820368836,-0.2197445079,0.9971379265
198,CIMPASI-1_2018,PBO,CERTO,-2.9990055989,-2.9820368836,-0.0169687153,0.9943925608
199,CIMPASI-2_2018,PBO,CERTO,-2.5707664589,-2.9820368836,0.4112704247,0.6960604679
200,CIMPACT_2018,PBO,CERTO,-3.6250424412,-2.9820368836,-0.6430055576,1.4102545042
201,Umezawa_2021,PBO,CERTO,-3.5474350627,-2.9820368836,-0.5653981791,1.4026580225
202,LIBERATE_2017,ETA,APRE,0.3483066943,0.3483066943,0.0,0.3435992974
203,ESTEEM-1_2015,PBO,APRE,-3.3177384063,-1.9394150102,-1.3783233960999999,1.0064076507
204,ESTEEM-2_2015,PBO,APRE,-1.7953892373,-1.9394150102,0.14402577290000002,0.7285491927000001
205,Papp_2012c,PBO,APRE,-1.9924301647,-1.9394150102,-0.0530151545,1.0150384378
206,LIBERATE_2017,PBO,APRE,-1.3982705522,-1.9394150102,0.541144458,0.6266687418
207,Ohtsuki_2017 Ê,PBO,APRE,-2.1853901197,-1.9394150102,-0.2459751095,1.0187092032
208,UNCOVER-2_2015,ETA,IXE,-1.2479186832,-1.0691382108,-0.1787804724,0.1135659037
209,UNCOVER-3_2015,ETA,IXE,-0.9549880218000001,-1.0691382108,0.11415018900000001,0.0907457383
210,IXORA-S_2017 Ê,USK,IXE,-0.3417532427,-0.3417532427,0.0,0.0753432253
211,Leonardi_2012,PBO,IXE,-3.3098476031,-3.6283962779000003,0.3185486748,1.4044107872
212,UNCOVER-2_2015,PBO,IXE,-4.6960422956,-3.6283962779000003,-1.0676460177,0.9974030061
213,UNCOVER-3_2015,PBO,IXE,-3.0654656116,-3.6283962779000003,0.5629306663,0.4026584507
214,UNCOVER-1_2016,PBO,IXE,-4.9835511922,-3.6283962779000003,-1.3551549143,0.7058542553
215,NCT03364309,PBO,IXE,-3.5502739856,-3.6283962779000003,0.0781222923,0.6995636705
216,IXORA-R_2020,GUSEL,IXE,-0.2570872074,-0.2570872074,0.0,0.0475269509
217,Gordon_2015_X-PLORE,PBO,GUSEL,-2.9748425171,-3.3237738531,0.34893133600000004,0.9908037456000001
218,VOYAGE-1_2016,PBO,GUSEL,-3.2383565695,-3.3237738531,0.0854172836,0.4419985718
219,VOYAGE-2_2017,PBO,GUSEL,-3.3644181302,-3.3237738531,-0.0406442771,0.4043514857
220,ORION_2020Ê,PBO,GUSEL,-3.2220707158,-3.3237738531,0.10170313730000001,1.3944341401
221,Ohtsuki_2018,PBO,GUSEL,-4.5092333507,-3.3237738531,-1.1854594976,1.4098807562
222,ECLIPSE_2019,SECU,GUSEL,0.0960834894,0.0960834894,0.0,0.0380708207
223,Gordon_2015_X-PLORE,ADA,GUSEL,-0.0539340353,-0.372721687,0.3187876517,0.18675478850000002
224,VOYAGE-1_2016,ADA,GUSEL,-0.38789238730000003,-0.372721687,-0.015170700300000001,0.06434243020000001
225,VOYAGE-2_2017,ADA,GUSEL,-0.4025874083,-0.372721687,-0.029865721300000002,0.0738521966
226,IXORA-R_2020,IXE,GUSEL,0.2570872074,0.2570872074,0.0,0.0475269509
227,UltIMMa-1_2018 Ê,USK,RISAN,-0.5841948699,-0.5029749718000001,-0.08121989810000001,0.1220117304
228,UltIMMa-2_2018 Ê,USK,RISAN,-0.4550200274,-0.5029749718000001,0.047954944400000005,0.1109940523
229,Papp_2017b,USK,RISAN,-0.43671765160000003,-0.5029749718000001,0.0662573202,0.2058737596
230,UltIMMa-1_2018 Ê,PBO,RISAN,-2.732229203,-3.1141159053,0.3818867023,0.4373481645
231,UltIMMa-2_2018 Ê,PBO,RISAN,-3.6018680771,-3.1141159053,-0.4877521718,0.7006711157000001
232,SustaIMM_2019,PBO,RISAN,-3.7757064483000002,-3.1141159053,-0.6615905430000001,0.9928110440000001
233,IMMhance_2020,PBO,RISAN,-3.6003033065,-3.1141159053,-0.48618740120000004,0.7006416361000001
234,Blauvelt_2021,PBO,RISAN,-2.7937909299,-3.1141159053,0.3203249754,0.6974216346000001
235,IMMerge_2021,SECU,RISAN,-0.11684548410000001,-0.11684548410000001,1.3877787810000002e-17,0.0733329865
236,IMMvent_2019,ADA,RISAN,-0.4245991999,-0.4245991999,0.0,0.0701417678
237,Papp_2018,PBO,DEUCRAVA,-2.6380916125000002,-2.6380916125000002,0.0,0.9938641894
238,BE VIVID_2021,USK,BIME,-0.5373317182,-0.5373317182,0.0,0.0822097838
239,BE ABLE 1_2018,PBO,BIME,-4.062054215,-3.2395635274,-0.8224906876,1.4066598626
240,BE READY_2021,PBO,BIME,-4.3581771479,-3.2395635274,-1.1186136205,0.9943145064000001
241,BE VIVID_2021,PBO,BIME,-2.8705769187,-3.2395635274,0.3689866087,0.48836415320000004
242,BE RADIANT_2021,SECU,BIME,-0.1403445911,-0.1403445911,0.0,0.037249054000000004
243,BE SURE_2021,ADA,BIME,-0.5064656474,-0.5064656474,0.0,0.0802123507
244,NCT02762994,PBO,NETA,-1.2953225829,-1.5015009916,0.2061784087,0.4124109792
245,PLANETA_2021,PBO,NETA,-3.9043832774,-1.5015009916,-2.4028822858,1.4079099387
246,Papp_2021,PBO,SONELO,-4.1777021901,-4.1777021901,0.0,1.4085021213
247,Papp_2021,SECU,SONELO,0.0375358302,0.0375358302,0.0,0.1149772287
248,BRIDGE_2017,PBO,FUM,-1.4973805035,-1.4973805035,2.2204460489999999e-16,0.4083435006
249,Fallaharani_2011,MTX,FUM,0.6931471806,0.6931471806,0.0,1.1972189997
250,ReSURFACE-2_2017,ETA,TILDRA,-0.5655006046000001,-0.5655006046000001,0.0,0.1199736774
251,Papp_2015,PBO,TILDRA,-2.7492604697000003,-2.8477013068,0.0984408371,0.9922441399
252,ReSURFACE-1_2017,PBO,TILDRA,-2.6075401396,-2.8477013068,0.2401611672,0.49654533650000005
253,ReSURFACE-2_2017,PBO,TILDRA,-3.3806988601,-2.8477013068,-0.5329975533,0.7044522283
