,Treatment,RR,CI_lower,CI_upper,WEIGHT,tau2,Reference
329,DEUCRAVA,0.5504728311,0.0769347044,3.9386690338,0.9960257887,0,SONELO
330,ETA,0.419069316,0.3258188905,0.5390083163,7.7872132311,0,SONELO
331,FUM,0.1713456826,0.0751582174,0.3906338381,2.3783879452,0,SONELO
332,GUSEL,0.9483425212000001,0.7510552894,1.1974531705,8.4034883055,0,SONELO
333,IFX,1.9718868281000002,0.7909040954000001,4.9163200514,2.1454308112,0,SONELO
334,IXE,1.1877950925,0.9337200275,1.5110066618,8.1436822388,0,SONELO
335,MTX,0.27315473560000003,0.054154852,1.3777806944,1.2112291875,0,SONELO
336,NETA,0.17665293370000001,0.07746962040000001,0.40281930930000004,2.3777718615,0,SONELO
337,PBO,0.0393574778,0.0297821927,0.052011316700000004,7.0307511252,0,SONELO
338,RISAN,1.1309802511,0.8877057837000001,1.4409237294000001,8.0924972057,0,SONELO
339,SECU,1.0331759309,0.8250877976000001,1.2937441412,8.7148696131,0,SONELO
340,TILDRA,0.7303847665000001,0.5221870234,1.0215916582,5.8412317455,0,SONELO
341,USK,0.7436443382,0.589709801,0.937761083,8.4507408859,0,SONELO
342,ADA,3.9822354896,1.7987307256,8.8163276855,2.4661468538999998,0,FUM
343,APRE,1.7650565768000002,0.6864508174,4.5384529235999995,2.0753842158,0,FUM
344,BIME,6.9498037385,3.1393846585,15.3851079933,2.4663810617,0,FUM
345,BRODA,5.5340308402,2.4940818392,12.2792672073,2.4592350638,0,FUM
346,CERTO,3.0486458002,1.3173225124,7.0554030071,2.3358465508,0,FUM
347,CICLO,1.6097197787000002,0.2958885214,8.7573446696,1.1571391236,0,FUM
348,DEUCRAVA,3.2126448875,0.39472299,26.1476717459,0.9348176450000001,0,FUM
349,ETA,2.4457535765,1.1028759625,5.4237382629,2.4609759298,0,FUM
350,GUSEL,5.5346741567,2.5027548133,12.2395601271,2.4696315821,0,FUM
351,IFX,11.5082376074,3.573829277,37.0581587876,1.6760367309,0,FUM
352,IXE,6.9321565307,3.131222667,15.3469744173,2.4661924159,0,FUM
353,MTX,1.5941734362000002,0.3166303059,8.0263603883,1.2125893051,0,FUM
354,NETA,1.0309739413,0.3442513656,3.0875905623,1.7868748689,0,FUM
355,PBO,0.2296963494,0.1057687771,0.498827862,2.5273923769,0,FUM
356,RISAN,6.6005762974,2.9778860708,14.6303808881,2.4624870056,0,FUM
357,SECU,6.0297751031,2.7284301959,13.325680037,2.4716788178,0,FUM
358,SONELO,5.836155221,2.5599420799,13.3052650027,2.3783879452,0,FUM
359,TILDRA,4.2626388683,1.8694686101,9.7193876504,2.3779649141,0,FUM
360,USK,4.3400237867,1.9632218814,9.5943340116,2.4707141954000003,0,FUM
361,ADA,0.9342183592000001,0.7221704283,1.2085290515,7.6131571826,0,TILDRA
362,APRE,0.41407602930000004,0.23223596970000002,0.7382963038,3.3892699067,0,TILDRA
363,BIME,1.6303993731,1.2630686521,2.1045586961,7.6778198553,0,TILDRA
364,BRODA,1.2982640592,0.9971066673000001,1.6903804004,7.4263364383,0,TILDRA
365,CERTO,0.7152015206,0.5011281641,1.0207233431,5.5102232715,0,TILDRA
366,CICLO,0.3776345659,0.0692893307,2.0581504248,1.1559084375,0,TILDRA
367,DEUCRAVA,0.7536751263,0.1053280194,5.392925827,0.9959947122,0,TILDRA
368,ETA,0.5737651375,0.45790071990000003,0.7189471838,8.6891852988,0,TILDRA
369,FUM,0.2345964626,0.1028871402,0.5349113618,2.3779649141,0,TILDRA
370,GUSEL,1.298414979,1.0106283749,1.6681517158,7.8221035624,0,TILDRA
371,IFX,2.6997918339,1.0841935641,6.7228548366,2.1483260896,0,TILDRA
372,IXE,1.6262594005,1.2697762556,2.0828233526,7.9210538294,0,TILDRA
373,MTX,0.373987449,0.0741401124,1.8865173979,1.2111733033,0,TILDRA
374,NETA,0.2418628397,0.1060513178,0.5515974196,2.377349159,0,TILDRA
375,PBO,0.0538859511,0.040758377000000005,0.0712416916,7.0198459182,0,TILDRA
376,RISAN,1.5484718507,1.1928673096,2.010085324,7.5122084192,0,TILDRA
377,SECU,1.4145639097,1.1026148251,1.8147688648,7.867163116,0,TILDRA
378,SONELO,1.3691413702,0.9788646882,1.9150226935,5.8412317455,0,TILDRA
379,USK,1.0181542281,0.7932925348000001,1.3067537974,7.8539915147,0,TILDRA
