,Treatment,RR,CI_lower,CI_upper,WEIGHT,tau2,Reference
40,BIME,30.2564832016,25.4356873736,35.9909587771,11.2931016462,0,PBO
41,BRODA,24.0928114598,20.0468539304,28.9553446168,10.6613701509,0,PBO
42,CERTO,13.2725043632,9.6336368488,18.2858638784,6.116709155,0,PBO
43,CICLO,7.0080337916,1.3159604092000001,37.3206802279,1.1719050633,0,PBO
44,DEUCRAVA,13.9864864866,1.9939504093,98.1076577056,1.0061736912,0,PBO
45,ETA,10.6477685971,8.881485229,12.7653171936,10.8059502032,0,PBO
46,FUM,4.3535737612,2.0046995691,9.454586007,2.5273923769,0,PBO
47,GUSEL,24.0956121853,20.3549978658,28.5236348543,11.6180313871,0,PBO
48,IFX,50.1019612854,20.8793268396,120.2244949721,2.2392306471,0,PBO
49,IXE,30.1796547806,25.3640447815,35.9095550619,11.2750335311,0,PBO
50,MTX,6.9403516427,1.4096699348000001,34.1700420319,1.2296134682,0,PBO
51,NETA,4.4884210992,2.0663241233,9.7496436965,2.5266531329,0,PBO
52,RISAN,28.7360957772,24.02105147,34.3766467319,10.9360698495,0,PBO
53,SECU,26.2510706751,22.2451386573,30.9783958736,11.8369440376,0,PBO
54,SONELO,25.4081322368,19.2265849594,33.5771113343,7.0307511252,0,PBO
55,TILDRA,18.5577127307,14.0367245291,24.5348336844,7.0198459182,0,PBO
56,USK,18.8946136809,15.9876608625,22.3301225377,11.7323354535,0,PBO
57,ADA,0.660428527,0.6078210658000001,0.7175892114,23.6120770975,0,SECU
58,APRE,0.292723451,0.1706855595,0.5020168022,3.6336314717000002,0,SECU
59,BIME,1.1525809205,1.081970006,1.2278000045,31.0027259483,0,SECU
60,BRODA,0.9177839547000001,0.8268139625,1.0187628967,18.777129055,0,SECU
61,CERTO,0.5055985917,0.3763026682,0.6793200195,6.6362107682,0,SECU
62,CICLO,0.2669618271,0.0497215546,1.4333545616,1.1662035556,0,SECU
63,DEUCRAVA,0.5327968013000001,0.07542520080000001,3.7636284468000003,1.0025582279,0,SECU
64,ETA,0.4056127359,0.3622128544,0.4542127358,17.3195645584,0,SECU
65,FUM,0.1658436646,0.0750430745,0.36651111750000004,2.4716788178,0,SECU
66,GUSEL,0.9178906447,0.8627909611000001,0.9765091123,31.6609963709,0,SECU
67,IFX,1.9085682982,0.7872314835,4.6271433818,2.2132229900000002,0,SECU
68,IXE,1.1496542428,1.0550888606,1.2526953202,22.8341762481,0,SECU
69,MTX,0.2643835647,0.0532408964,1.3128755146,1.2230323591,0,SECU
70,NETA,0.1709804966,0.0773502887,0.3779472666,2.4709873782000003,0,SECU
71,PBO,0.0380936843,0.0322805611,0.044953642,11.8369440376,0,SECU
72,RISAN,1.0946637618,1.0004647371,1.1977321209,21.7819840768,0,SECU
73,SONELO,0.9678893692,0.7729503603000001,1.2119922303,8.7148696131,0,SECU
74,TILDRA,0.7069316509,0.5510343600000001,0.9069350214,7.867163116,0,SECU
75,USK,0.7197654494,0.6800272143,0.7618258376,34.511553204,0,SECU
76,ADA,2.4979938814000002,0.5025967728,12.4154665726,1.2223604369,0,MTX
77,APRE,1.1071923147,0.2058052279,5.9564804754,1.1648276134,0,MTX
78,BIME,4.3595029127,0.8771655016000001,21.6666816152,1.2223889534,0,MTX
79,BRODA,3.4714107729,0.6976747285,17.2726519419,1.2215161109000001,0,MTX
80,CERTO,1.9123677079,0.3762342151,9.720408467,1.2054969216,0,MTX
81,CICLO,1.0097519769,0.6085640561,1.6754178047,3.8707804216,0,MTX
82,DEUCRAVA,2.0152417639,0.1626282383,24.9722890079,0.7786962685000001,0,MTX
83,ETA,1.5341828693,0.30842224900000004,7.6314762759,1.2217292757,0,MTX
84,FUM,0.6272843201,0.1245894716,3.1582573793,1.2125893051,0,MTX
85,GUSEL,3.4718143152,0.6989177772,17.2459408416,1.2227840955,0,MTX
86,IFX,7.2189370027,1.17139824,44.4879031481,1.077805693,0,MTX
87,IXE,4.3484330959,0.8749118091,21.6123158846,1.2223659849,0,MTX
88,NETA,0.6467137878,0.1098560351,3.8071529056,1.1056373965,0,MTX
89,PBO,0.1440849184,0.0292654015,0.7093859174,1.2296134682,0,MTX
90,RISAN,4.1404380148,0.8325689355,20.590759783,1.2219140271,0,MTX
91,SECU,3.7823833757000003,0.7616868384000001,18.7825537727,1.2230323591,0,MTX
92,SONELO,3.6609286596,0.7258049152,18.4655661201,1.2112291875,0,MTX
93,TILDRA,2.6738865242000003,0.5300772742000001,13.4879752302,1.2111733033,0,MTX
94,USK,2.7224288701,0.5481518766,13.5211047695,1.2229154396,0,MTX
95,ADA,2.4738687703,0.4603703859,13.2937019426,1.1656209688,0,CICLO
96,APRE,1.096499279,0.18917787400000002,6.355450789,1.1154170983,0,CICLO
97,BIME,4.3173997303,0.8034677919000001,23.1993623369,1.1656456956,0,CICLO
98,BRODA,3.4378846016,0.6390914449,18.493520181,1.1648887764,0,CICLO
99,CERTO,1.893898454,0.3449787399,10.3973113092,1.1509710755,0,CICLO
100,DEUCRAVA,1.9957789735,0.1531372407,26.0102225545,0.7634018311,0,CICLO
101,ETA,1.5193660467,0.2825205703,8.1709915186,1.1650736441,0,CICLO
102,FUM,0.6212261371000001,0.11418986440000001,3.3796512116,1.1571391236,0,CICLO
103,GUSEL,3.4382842466,0.6401806861,18.466346795,1.16598831,0,CICLO
104,IFX,7.149217994,1.0825425409,47.2141426249,1.0383058026,0,CICLO
105,IXE,4.3064368235,0.8014045711000001,23.1411184617,1.1656257795,0,CICLO
106,MTX,0.9903422057000001,0.5968660457,1.6432123948,3.8707804217,0,CICLO
107,NETA,0.6404679590000001,0.1013486522,4.0474066274,1.0631185867,0,CICLO
108,PBO,0.1426933759,0.0267947956,0.7599012805,1.1719050633,0,CICLO
109,RISAN,4.100450516,0.7626401954,22.0466932315,1.1652338631,0,CICLO
110,SECU,3.7458538950999998,0.6976640859000001,20.1120018743,1.1662035556,0,CICLO
111,SONELO,3.6255721637000002,0.6652764144000001,19.7583639363,1.1559570153,0,CICLO
112,TILDRA,2.6480626781,0.48587313540000004,14.4322363939,1.1559084375,0,CICLO
113,USK,2.6961362121,0.5020811454,14.4780391384,1.1661021874,0,CICLO
114,ADA,0.34603347840000004,0.1424780796,0.8404041413000001,2.2088305785,0,IFX
115,APRE,0.1533733172,0.0550645098,0.4271966553,1.9133720283,0,IFX
116,BIME,0.6038981793,0.24869964860000002,1.466399382,2.2092979081,0,IFX
117,BRODA,0.4808756153,0.19760728930000002,1.1702066162,2.2039138287,0,IFX
118,CERTO,0.2649098762,0.10495566640000001,0.6686370058000001,2.1169698369,0,IFX
119,CICLO,0.1398754382,0.021180094400000002,0.9237512266000001,1.0383058026,0,IFX
120,DEUCRAVA,0.2791604585,0.0329896786,2.3622710174,0.9177783048,0,IFX
121,ETA,0.21252199160000002,0.0875655318,0.5157919562000001,2.2105478593,0,IFX
122,FUM,0.08689427820000001,0.026984611000000002,0.27981191110000003,1.6760367309,0,IFX
123,GUSEL,0.48093151580000004,0.1982620025,1.1666134712,2.2118513965,0,IFX
124,IXE,0.602364738,0.24817598130000001,1.4620402655,2.2103807902,0,IFX
125,MTX,0.13852455,0.0224780205,0.8536806407,1.077805693,0,IFX
