,unique_id,name,treat,treat_class,rsae,n,bias,rpasi90m,nm,year_publication,co_intervention,sample_size,age,male,duration_pso,bmi,weight,pasi_score,previous_topical,previous_photo,previous_systemic,previous_bio
22,11,Rich_2013,PBO,PBO,1.0,67,L,1.0,67,2013,0,404,44.0,306.0,17.0,,,20.5,,263.0,292.0,119.0
23,14,Flystrom_2008,MTX,CSA,,41,H,4.0,41,2007,0,84,46.5,55.0,,,86.0,15.0,,58.0,8.0,0.0
24,14,Flystrom_2008,CICLO,CSA,,43,H,9.0,43,2007,0,84,46.5,55.0,,,86.0,15.0,,58.0,8.0,0.0
25,15,Heydendael_2003,CICLO,CSA,,44,H,14.0,44,2003,0,88,42.5,57.0,,,,13.5,,71.0,13.0,
26,15,Heydendael_2003,MTX,CSA,,44,H,17.0,44,2003,0,88,42.5,57.0,,,,13.5,,71.0,13.0,
27,17,EXPRESS_2005,IFX,ATA,17.0,301,L,172.0,301,2005,0,378,43.0,268.0,19.0,,,23.0,,,,
28,17,EXPRESS_2005,PBO,PBO,2.0,77,L,1.0,77,2005,0,378,43.0,268.0,19.0,,,23.0,,,,
29,18,Torii_2010,PBO,PBO,1.0,19,M,0.0,19,2010,0,54,45.0,36.0,13.0,25,69.0,32.0,54.0,36.0,,
30,18,Torii_2010,IFX,ATA,1.0,35,M,19.0,35,2010,0,54,45.0,36.0,13.0,25,69.0,32.0,54.0,36.0,,
31,19,Papp_2012a,BRODA,AIL17,2.0,160,L,89.0,160,2012,0,198,42.5,127.0,19.0,30,90.0,19.0,187.0,110.0,141.0,78.0
32,19,Papp_2012a,PBO,PBO,1.0,38,L,0.0,38,2012,0,198,42.5,127.0,19.0,30,90.0,19.0,187.0,110.0,141.0,78.0
33,20,ESTEEM-1_2015,PBO,PBO,8.0,282,L,1.0,282,2015,0,844,46.5,573.0,19.5,31,93.5,19.0,,,314.0,242.0
34,20,ESTEEM-1_2015,APRE,SM,12.0,562,L,55.0,562,2015,0,844,46.5,573.0,19.5,31,93.5,19.0,,,314.0,242.0
35,21,Asahina_2010,PBO,PBO,2.0,46,M,0.0,46,2010,0,169,45.0,143.0,14.0,,70.0,28.0,163.0,43.0,71.0,0.0
36,21,Asahina_2010,ADA,ATA,4.0,123,M,57.0,123,2010,0,169,45.0,143.0,14.0,,70.0,28.0,163.0,43.0,71.0,0.0
37,22,Gordon_2006,ADA,ATA,14.0,96,L,35.0,96,2006,0,148,44.0,99.0,20.0,,95.0,16.0,,,,
38,22,Gordon_2006,PBO,PBO,0.0,52,L,0.0,52,2006,0,148,44.0,99.0,20.0,,95.0,16.0,,,,
39,23,REVEAL_2008,PBO,PBO,7.0,398,L,9.0,398,2008,0,1212,44.0,803.0,18.0,,93.0,19.0,908.0,197.0,276.0,150.0
40,23,REVEAL_2008,ADA,ATA,15.0,814,L,366.0,814,2008,0,1212,44.0,803.0,18.0,,93.0,19.0,908.0,197.0,276.0,150.0
41,25,Bagel 2012,PBO,PBO,,62,L,1.0,62,2012,0,124,40.5,69.0,15.0,30,,15.5,,,,
42,25,Bagel 2012,ETA,ATA,,62,L,15.0,62,2012,0,124,40.5,69.0,15.0,30,,15.5,,,,
43,28,Gottlieb_2003a,ETA,ATA,2.0,57,H,,57,2003,0,112,47.5,70.0,21.5,,91.5,19.0,,97.0,82.0,
