,unique_id,name,treat,treat_class,rsae,n,bias,rpasi90m,nm,year_publication,co_intervention,sample_size,age,male,duration_pso,bmi,weight,pasi_score,previous_topical,previous_photo,previous_systemic,previous_bio
187,142,ECLIPSE_2019,SECU,AIL17,37.0,514,L,391.0,514,2019,0,1048,46.0,707.0,18.5,30,,20.0,989.0,542.0,563.0,305.0
188,142,ECLIPSE_2019,GUSEL,AIL23,33.0,534,L,369.0,534,2019,0,1048,46.0,707.0,18.5,30,,20.0,989.0,542.0,563.0,305.0
189,145,STYLE_2020,PBO,PBO,1.0,102,L,,102,2020,0,303,47.0,187.0,15.0,31,,18.0,,66.0,89.0,86.0
190,145,STYLE_2020,APRE,SM,2.0,201,L,,201,2020,0,303,47.0,187.0,15.0,31,,18.0,,66.0,89.0,86.0
191,146,IXORA-R_2020,IXE,AIL17,18.0,520,L,378.0,520,2020,0,1027,49.0,652.0,17.0,33,95.0,19.0,725.0,140.0,310.0,270.0
192,146,IXORA-R_2020,GUSEL,AIL23,16.0,507,L,285.0,507,2020,0,1027,49.0,652.0,17.0,33,95.0,19.0,725.0,140.0,310.0,270.0
193,147,NCT03055494 ObePso-S,SECU,AIL17,1.0,54,L,29.0,54,2020,0,102,44.5,52.0,,,,,,,,
194,147,NCT03055494 ObePso-S,PBO,PBO,1.0,28,L,0.0,28,2020,0,102,44.5,52.0,,,,,,,,
195,148,IMMerge_2021,SECU,AIL17,6.0,163,M,107.0,163,2020,0,327,47.0,213.0,18.0,,,20.0,,,,120.0
196,148,IMMerge_2021,RISAN,AIL23,9.0,164,M,121.0,164,2020,0,327,47.0,213.0,18.0,,,20.0,,,,120.0
197,150,BE READY_2021,BIME,AIL17,6.0,349,L,317.0,349,2021,0,435,44.0,313.0,19.5,30,89.5,20.5,,,347.0,192.0
198,150,BE READY_2021,PBO,PBO,2.0,86,L,1.0,86,2021,0,435,44.0,313.0,19.5,30,89.5,20.5,,,347.0,192.0
199,151,BE VIVID_2021,BIME,AIL17,5.0,321,L,273.0,321,2021,0,567,46.0,406.0,17.0,29.5,88.5,21.5,,,463.0,221.0
200,151,BE VIVID_2021,USK,AIL1223,5.0,163,L,81.0,163,2021,0,567,46.0,406.0,17.0,29.5,88.5,21.5,,,463.0,221.0
201,151,BE VIVID_2021,PBO,PBO,2.0,83,L,4.0,83,2021,0,567,46.0,406.0,17.0,29.5,88.5,21.5,,,463.0,221.0
202,152,BE RADIANT_2021,SECU,AIL17,,370,L,275.0,370,2021,0,743,45.0,486.0,18.0,,89.5,20.0,,,539.0,244.0
203,152,BE RADIANT_2021,BIME,AIL17,,373,L,319.0,373,2021,0,743,45.0,486.0,18.0,,89.5,20.0,,,539.0,244.0
204,153,BE SURE_2021,ADA,ATA,5.0,159,L,82.0,159,2021,0,478,45.0,328.0,18.0,30.5,91.0,20.0,412.0,173.0,338.0,153.0
205,153,BE SURE_2021,BIME,AIL17,5.0,319,L,273.0,319,2021,0,478,45.0,328.0,18.0,30.5,91.0,20.0,412.0,173.0,338.0,153.0
206,156,NCT03421197,FUM,CSA,6.0,319,L,,319,2021,0,426,50.0,257.0,,,,18.0,,,,
207,156,NCT03421197,PBO,PBO,2.0,107,L,,107,2021,0,426,50.0,257.0,,,,18.0,,,,
208,158,NCT03535194,SECU,AIL17,11.0,448,L,326.0,448,2021,0,560,,393.0,,,,,,,,
209,158,NCT03535194,PBO,PBO,0.0,112,L,7.0,112,2021,0,560,,393.0,,,,,,,,
210,162,NCT02762994,PBO,PBO,,28,L,5.0,28,2021,0,120,40.5,79.0,,26,82.0,,,,,
211,162,NCT02762994,NETA,AIL17,,92,L,60.0,92,2021,0,120,40.5,79.0,,26,82.0,,,,,
212,163,NCT03364309,IXE,AIL17,3.0,350,L,277.0,350,2021,0,438,40.5,335.0,,,,,,,,
213,163,NCT03364309,PBO,PBO,3.0,88,L,2.0,88,2021,0,438,40.5,335.0,,,,,,,,
214,164,Blauvelt_2021,PBO,PBO,0.0,52,H,2.0,52,2021,0,157,49.0,87.0,18.0,32.5,94.300003,21.5,,,,70.0
215,164,Blauvelt_2021,RISAN,AIL23,1.0,105,H,66.0,105,2021,0,157,49.0,87.0,18.0,32.5,94.300003,21.5,,,,70.0
216,165,PLANETA_2021,NETA,AIL17,1.0,169,M,94.0,169,2021,0,213,41.0,156.0,9.0,28,87.0,19.0,,127.0,72.0,12.0
217,165,PLANETA_2021,PBO,PBO,0.0,44,M,0.0,44,2021,0,213,41.0,156.0,9.0,28,87.0,19.0,,127.0,72.0,12.0
218,166,Papp_2021,SONELO,AIL17,5.0,208,L,129.0,208,2021,0,313,46.0,228.0,18.5,,91.0,21.0,,,,50.0
219,166,Papp_2021,SECU,AIL17,0.0,53,L,34.0,53,2021,0,313,46.0,228.0,18.5,,91.0,21.0,,,,50.0
220,166,Papp_2021,PBO,PBO,1.0,52,L,0.0,52,2021,0,313,46.0,228.0,18.5,,91.0,21.0,,,,50.0
221,167,NCT03589885 MATURE,PBO,PBO,0.0,40,L,2.0,40,2021,0,122,,85.0,,,,,,,,
222,167,NCT03589885 MATURE,SECU,AIL17,4.0,82,L,57.0,82,2021,0,122,,85.0,,,,,,,,
