Treatment,RR,CI_lower,CI_upper,WEIGHT,Reference
FUM,0.286034717,-0.157416971,0.729486405,4.419872675,MTX
GUSEL,2.002093406,1.621732825,2.382453987,5.153005063,MTX
IFX,1.65196954,1.120438208,2.183500871,3.687459017,MTX
IXE,2.129165012,1.771446468,2.486883557,5.479168,MTX
MIRI,1.390563287,0.477217205,2.303909368,2.145955448,MTX
PBO,-1.05981429,-1.316184984,-0.803443596,7.645179604,MTX
RISAN,2.212379113,1.823993651,2.600764574,5.046532878,MTX
SECU,2.178066825,1.814992023,2.541141628,5.398336619,MTX
TILDRA,1.710954049,1.116457276,2.305450823,3.296906035,MTX
TOFA,1.192569065,0.715242524,1.669895606,4.106203682,MTX
TYK2,1.578277323,-0.469383475,3.625938121,0.957189786,MTX
USK,1.755390812,1.410637088,2.100144535,5.685217785,MTX
ACI,-1.055570413,-1.548334334,-0.562806493,3.977563938,FUM
ADA,1.285564138,0.836418697,1.734709579,4.36384258,FUM
APRE,0.664353956,-0.079668944,1.408376856,2.63432752,FUM
BIME,2.716205208,-0.12775048,5.560160896,0.689180921,FUM
BRODA,1.781707031,1.338473309,2.224940752,4.422046214,FUM
CERTO,1.260861842,0.583203136,1.938520548,2.8923114,FUM
CICLO,-0.462463867,-1.15546549,0.230537756,2.828276204,FUM
ETA,0.816604324,0.380428248,1.252780399,4.493598138,FUM
GUSEL,1.716058689,1.282211562,2.149905816,4.517720362,FUM
IFX,1.365934823,0.700742103,2.031127542,2.946514509,FUM
IXE,1.843130295,1.397579153,2.288681438,4.399046065,FUM
MIRI,1.10452857,0.143992689,2.06506445,2.040527627,FUM
MTX,-0.286034717,-0.729486405,0.157416971,4.419872675,FUM
PBO,-1.345849007,-1.738473567,-0.953224447,4.992046347,FUM
RISAN,1.926344396,1.494297028,2.358391763,4.536539619,FUM
SECU,1.892032108,1.478407014,2.305657203,4.738590637,FUM
TILDRA,1.424919332,0.764578004,2.08526066,2.968161945,FUM
TOFA,0.906534348,0.347415631,1.465653065,3.505516702,FUM
TYK2,1.292242606,-0.776898002,3.361383214,0.94725317,FUM
USK,1.469356095,1.063527815,1.875184375,4.829628929,FUM
ACI,-2.898700708,-3.326124677,-2.47127674,4.585610882,IXE
ADA,-0.557566157,-0.940282034,-0.174850281,5.121292636,IXE
