RR,TE_diamond,id,studlab,treat1,treat2,CI_lower,CI_upper,CI_lower_diamond,CI_upper_diamond,Predict_lo,Predict_up,WEIGHT,tau2,I2
2.692307692,5.5754092,27,Hunter_1963,MTX,PBO,0.225743556,32.10953544,1.018746471,30.51317343,NA,NA,0.62521474,0,0
10.63934426,5.5754092,27,Warren_2016_METOP,MTX,PBO,1.029601792,109.9411901,1.018746471,30.51317343,NA,NA,0.704333855,0,0
0.065074065,0.036700575,28,"Gordon UltIMMa-1, 2018  ",PBO,RISAN,0.017802818,0.237863129,0.0166471,0.080910921,0.006470845,0.208154001,2.286507824,0,0
0.027272727,0.036700575,28,"Gordon UltIMMa-2, 2018  ",PBO,RISAN,0.005287142,0.140681239,0.0166471,0.080910921,0.006470845,0.208154001,1.427203117,0,0
0.02312868,0.036700575,28,NCT03000075  ,PBO,RISAN,0.003275721,0.163303235,0.0166471,0.080910921,0.006470845,0.208154001,1.005562548,0,0
0.027315436,0.036700575,28,NCT02672852 IMMhance,PBO,RISAN,0.005295604,0.140896682,0.0166471,0.080910921,0.006470845,0.208154001,1.427263166,0,0
0.01369863,0.02948104,29,Blauvelt_2015_FEATURE,PBO,SECU,0.001334165,0.140651578,0.017353549,0.050083802,0.016258696,0.053456424,0.708208226,0,0
0.020439377,0.02948104,29,Langley_2014_ERASURE,PBO,SECU,0.004616211,0.090500223,0.017353549,0.050083802,0.016258696,0.053456424,1.735222236,0,0
0.028659071,0.02948104,29,Langley_2014_FIXTURE,PBO,SECU,0.007732541,0.10621895,0.017353549,0.050083802,0.016258696,0.053456424,2.238370783,0,0
0.234090909,0.02948104,29,Papp_2013a,PBO,SECU,0.033058557,1.657620881,0.017353549,0.050083802,0.016258696,0.053456424,1.002591682,0,0
0.068902065,0.02948104,29,Rich_2013,PBO,SECU,0.009725784,0.488134909,0.017353549,0.050083802,0.016258696,0.053456424,1.002103671,0,0
0.014682684,0.02948104,29,Paul_2015_JUNCTURE,PBO,SECU,0.001428639,0.150899704,0.017353549,0.050083802,0.016258696,0.053456424,0.707626785,0,0
0.10140056,0.02948104,29,Reich_2015,PBO,SECU,0.010102376,1.017787665,0.017353549,0.050083802,0.016258696,0.053456424,0.72220681,0,0
0.021153846,0.02948104,29,"Reich TRANSFIGURE, 2016",PBO,SECU,0.002994057,0.149457795,0.017353549,0.050083802,0.016258696,0.053456424,1.004886991,0,0
0.017814509,0.02948104,29,NCT02559622 von Stebut CARIMA 2019,PBO,SECU,0.001734137,0.183005594,0.017353549,0.050083802,0.016258696,0.053456424,0.707895984,0,0
0.014811276,0.02948104,29,"NCT02690701 Gelfand VIP-S, 2020",PBO,SECU,0.001446029,0.151707812,0.017353549,0.050083802,0.016258696,0.053456424,0.709683689,0,0
0.020551883,0.02948104,29,NCT02748863 ALLURE,PBO,SECU,0.002910539,0.145120842,0.017353549,0.050083802,0.016258696,0.053456424,1.005481459,0,0
0.019188713,0.02948104,29,NCT03066609,PBO,SECU,0.003711478,0.099207569,0.017353549,0.050083802,0.016258696,0.053456424,1.42323987,0,0
0.032411537,0.02948104,29,NCT03055494 ObePso-S,PBO,SECU,0.003169027,0.331492166,0.017353549,0.050083802,0.016258696,0.053456424,0.710586164,0,0
0.056905371,0.054037917,30,Papp_2015a,PBO,TILDRA,0.008029916,0.403269623,0.021270852,0.137281597,0.000128142,22.78789987,1.001786436,0,0
0.074525173,0.054037917,30,"Reich ReSURFACE-1, 2017  ",PBO,TILDRA,0.018647414,0.297842993,0.021270852,0.137281597,0.000128142,22.78789987,2.001369664,0,0
0.033074768,0.054037917,30,"Reich ReSURFACE-2, 2017",PBO,TILDRA,0.006370556,0.171718173,0.021270852,0.137281597,0.000128142,22.78789987,1.416004843,0,0
0.02970297,0.089206466,31,Papp_2012a,PBO,TOFA,0.002870438,0.307363024,0.047708683,0.166799688,0.032290081,0.246446996,0.703492715,0,0
0.025832555,0.089206466,31,Bachelez_2015,PBO,TOFA,0.003645777,0.183039412,0.047708683,0.166799688,0.032290081,0.246446996,1.001939602,0,0
0.143232275,0.089206466,31,Papp_2015_OPT Pivotal-1,PBO,TOFA,0.047757484,0.42957633,0.047708683,0.166799688,0.032290081,0.246446996,3.184410468,0,0
0.134060521,0.089206466,31,Papp_2015_OPT Pivotal-2,PBO,TOFA,0.044630487,0.402689378,0.047708683,0.166799688,0.032290081,0.246446996,3.175485953,0,0
0.056818182,0.089206466,31,Zhang 2017,PBO,TOFA,0.012871872,0.25080313,0.047708683,0.166799688,0.032290081,0.246446996,1.742421801,0,0
0.071497585,0.071497585,32,"Papp TYK2, 2018",PBO,TYK2,0.010132235,0.504518957,0.010132235,0.504518957,NA,NA,1.006173691,NA,NA
0.095238095,0.050287924,33,Igarashi_2012,PBO,USK,0.013410682,0.676348504,0.031118282,0.081266546,0.028589937,0.088453336,0.999628184,0,0
0.046511628,0.050287924,33,Krueger_2007,PBO,USK,0.006552374,0.330159971,0.031118282,0.081266546,0.028589937,0.088453336,1.000090855,0,0
0.047169811,0.050287924,33,Leonardi_2008_PHOENIX1,PBO,USK,0.01268536,0.175398347,0.031118282,0.081266546,0.028589937,0.088453336,2.227227698,0,0
0.017298745,0.050287924,33,Papp_2008_PHOENIX2,PBO,USK,0.003897687,0.076775432,0.031118282,0.081266546,0.028589937,0.088453336,1.729726748,0,0
0.033888889,0.050287924,33,Tsai_2011_PEARL,PBO,USK,0.004773068,0.240611848,0.031118282,0.081266546,0.028589937,0.088453336,0.999863416,0,0
0.068856297,0.050287924,33,Lebwohl_2015_AMAGINE2,PBO,USK,0.022837769,0.207603009,0.031118282,0.081266546,0.028589937,0.088453336,3.154046573,0,0
0.033343986,0.050287924,33,Lebwohl_2015_AMAGINE3,PBO,USK,0.008985487,0.123735248,0.031118282,0.081266546,0.028589937,0.088453336,2.234159045,0,0
0.119047619,0.050287924,33,"Gordon UltIMMa-1, 2018  ",PBO,USK,0.031880237,0.444549261,0.031118282,0.081266546,0.028589937,0.088453336,2.212943592,0,0
0.042987408,0.050287924,33,"Gordon UltIMMa-2, 2018  ",PBO,USK,0.008264593,0.223594449,0.031118282,0.081266546,0.028589937,0.088453336,1.412841647,0,0
0.055079559,0.050287924,33,"NCT02187172 Gelfand VIP-U, 2020",PBO,USK,0.00533249,0.568919546,0.031118282,0.081266546,0.028589937,0.088453336,0.704591111,0,0
1.123945749,1.123945749,34,"Warren IMMerge, 2020",RISAN,SECU,0.661057789,1.910958569,0.661057789,1.910958569,NA,NA,13.63642814,NA,NA
1.829417293,1.658802447,35,"Gordon UltIMMa-1, 2018  ",RISAN,USK,0.920475704,3.635910885,1.092336203,2.51902807,0.110548357,24.89069605,8.142485372,0,0
1.57620495,1.658802447,35,"Gordon UltIMMa-2, 2018  ",RISAN,USK,0.820405078,3.028287016,1.092336203,2.51902807,0.110548357,24.89069605,9.009491764,0,0
1.547619048,1.658802447,35,"Papp NCT02054481, 2017  ",RISAN,USK,0.635983312,3.766018184,1.092336203,2.51902807,0.110548357,24.89069605,4.857345599,0,0
1.375993604,1.396200761,36,Thaçi_2015_CLEAR,SECU,USK,0.86805604,2.181147659,1.024045292,1.903603854,NA,NA,18.10117271,0,0
1.413146853,1.396200761,36,Bagel_2018_CLARITY,SECU,USK,0.929369152,2.14875222,1.024045292,1.903603854,NA,NA,21.8739189,0,0
