"","comparison","k","direct","nma","indirect","p.value"
"35","APRE:SONELO",0,NA,0.690945757776012,0.690945757776012,NA
"36","APRE:TILDRA",0,NA,1.07338664178911,1.07338664178911,NA
"37","APRE:USK",0,NA,0.882257912121663,0.882257912121663,NA
"38","BIME:BRODA",0,NA,0.506051696051065,0.506051696051065,NA
"39","BIME:CERTO",0,NA,0.747053248969528,0.747053248969528,NA
"40","BIME:CICLO",0,NA,0.0922117271814017,0.0922117271814017,NA
"41","BIME:DEUCRAVA",0,NA,0.858678513547997,0.858678513547997,NA
"42","BIME:ETA",0,NA,0.655484632452044,0.655484632452044,NA
"43","BIME:FUM",0,NA,0.597048364815999,0.597048364815999,NA
"44","BIME:GUSEL",0,NA,0.57752690125152,0.57752690125152,NA
"45","BIME:IFX",0,NA,0.442449756166406,0.442449756166406,NA
"46","BIME:IXE",0,NA,0.57566389987815,0.57566389987815,NA
"47","BIME:MTX",0,NA,6.55412583966271,6.55412583966271,NA
"48","BIME:NETA",0,NA,0.66297908311442,0.66297908311442,NA
"49","BIME:PBO",3,0.579187430467727,0.522169366346755,0.472816394114396,0.786138039403478
"50","BIME:RISAN",0,NA,0.71517534642947,0.71517534642947,NA
"51","BIME:SECU",0,NA,0.491194062707815,0.491194062707815,NA
"52","BIME:SONELO",0,NA,0.423048254051714,0.423048254051714,NA
"53","BIME:TILDRA",0,NA,0.657206936464788,0.657206936464788,NA
"54","BIME:USK",1,0.50778816199377,0.540183748356371,0.561349456392363,0.899746168343497
"55","BRODA:CERTO",0,NA,1.47623899850371,1.47623899850371,NA
"56","BRODA:CICLO",0,NA,0.182217998479145,0.182217998479145,NA
"57","BRODA:DEUCRAVA",0,NA,1.69681975230718,1.69681975230718,NA
"58","BRODA:ETA",0,NA,1.29529183987934,1.29529183987934,NA
"59","BRODA:FUM",0,NA,1.17981694256737,1.17981694256737,NA
"60","BRODA:GUSEL",0,NA,1.14124091621114,1.14124091621114,NA
"61","BRODA:IFX",0,NA,0.874317307142785,0.874317307142785,NA
"62","BRODA:IXE",0,NA,1.13755947143404,1.13755947143404,NA
"63","BRODA:MTX",0,NA,12.9514946611331,12.9514946611331,NA
"64","BRODA:NETA",0,NA,1.31010149415154,1.31010149415154,NA
"65","BRODA:PBO",5,0.88653481069813,1.03184984937599,2.0407920739035,0.220467267942407
"66","BRODA:RISAN",0,NA,1.41324562689995,1.41324562689995,NA
"67","BRODA:SECU",0,NA,0.970640087842428,0.970640087842428,NA
"68","BRODA:SONELO",0,NA,0.835978334531705,0.835978334531705,NA
"69","BRODA:TILDRA",0,NA,1.29869525503669,1.29869525503669,NA
