unique_id,name,bias,non_inferiority,cointervention,rPASI90M1,nM1,rPASI90M2,nM2,_design,_t1,_t2,_y,_stderr,_contrast,indirectness
139,NCT02672852 IMMhance,L,0,0,2,100,298,407,PBO RISAN,PBO,RISAN,3.600303306,0.700641636,RISAN - PBO,1
143,NCT02559622 von Stebut CARIMA 2019,H,0,0,0.5,50,27.5,103,PBO SECU,PBO,SECU,3.284627202,1.41656447,SECU - PBO,1
144,Reich 2019,L,0,0,79.5,154,0.5,53,MIRI PBO,MIRI,PBO,-4.002243513,1.40968691,PBO - MIRI,1
145,"NCT02187172 Gelfand VIP-U, 2020",M,0,0,0.5,22,9.5,23,PBO USK,PBO,USK,2.899987217,1.419975476,USK - PBO,1
147,"NCT02690701 Gelfand VIP-S, 2020",L,0,0,0.5,46,34.5,47,PBO SECU,PBO,SECU,4.212600299,1.409244401,SECU - PBO,1
148,NCT02748863 ALLURE,L,0,0,1,71,98,143,PBO SECU,PBO,SECU,3.884802725,0.994548424,SECU - PBO,1
149,NCT03051217,L,0,0,66.5,102,0.5,27,CERTO PBO,CERTO,PBO,-3.561213181,1.402924316,PBO - CERTO,1
150,NCT03066609,L,0,0,2,135,295,408,PBO SECU,PBO,SECU,3.88783578,0.702517931,SECU - PBO,1
155,"Gottlieb IXORA-R, 2019",L,0,0,285,507,378,520,GUSEL IXE,GUSEL,IXE,0.257087207,0.047526951,IXE - GUSEL,1
156,NCT03055494 ObePso-S,L,0,0,0.5,29,29.5,55,PBO SECU,PBO,SECU,3.437500089,1.407563046,SECU - PBO,1
157,"Warren IMMerge, 2020",M,0,0,121,164,107,163,RISAN SECU,RISAN,SECU,-0.116845484,0.073332986,SECU - RISAN,1
158,"NCT03482011 OASIS-1, 2020",L,0,0,272,423,7,107,MIRI PBO,MIRI,PBO,-2.285348573,0.367183541,PBO - MIRI,1
