Comparison,Number of studies,Within-study bias,Reporting bias,Indirectness,Imprecision,Heterogeneity,Incoherence,Confidence rating,Reason(s) for downgrading,Default_data
GUSEL:MTX,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
GUSEL:NETA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
GUSEL:RISAN,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
GUSEL:SONELO,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
GUSEL:TILDRA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
GUSEL:USK,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
IFX:IXE,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
IFX:MTX,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]",Yes
IFX:NETA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
IFX:RISAN,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
IFX:SECU,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
IFX:SONELO,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
IFX:TILDRA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
IFX:USK,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
IXE:MTX,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
IXE:NETA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
IXE:RISAN,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
IXE:SECU,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
IXE:SONELO,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
IXE:TILDRA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
MTX:NETA,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
MTX:RISAN,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
MTX:SECU,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
MTX:SONELO,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
MTX:TILDRA,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
MTX:USK,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
NETA:RISAN,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
NETA:SECU,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
NETA:SONELO,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
NETA:TILDRA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
NETA:USK,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
RISAN:SONELO,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
RISAN:TILDRA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
SECU:TILDRA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
SONELO:TILDRA,0,No concerns,Low risk,No concerns,Some concerns,No concerns,No concerns,High,"[""Imprecision""]",Yes
SONELO:USK,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
TILDRA:USK,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
