,Treatment,RR,CI_lower,CI_upper,se,WEIGHT,tau2,Reference,k,direct,direct_low,direct_up,indirect,indirect_low,indirect_up,p-value
59,BIME,1.15258092,1.081970006,1.227800004,0.032255228,31.00272594,0,SECU,1,1.150670241,1.069656733,1.237819539,1.158327159,1.020791833,1.314393164,0.929038885
60,BRODA,0.917783955,0.826813963,1.018762897,0.053256278,18.77712906,0,SECU,0,,,,0.917783955,0.826815548,1.018760944,
61,CERTO,0.505598592,0.376302668,0.679320019,0.150688403,6.636210767,0,SECU,0,,,,0.505598592,0.37630471,0.679316334,
62,CICLO,0.266961827,0.049721555,1.433354562,0.857483237,1.166203556,0,SECU,0,,,,0.266961827,0.04972309,1.433310298,
63,DEUCRAVA,0.532796801,0.075425201,3.763628446,0.9974483,1.002558228,0,SECU,0,,,,0.532796801,0.07542791,3.763493243,
64,ETA,0.405612736,0.362212854,0.454212736,0.057738172,17.31956456,0,SECU,1,0.430804625,0.342969374,0.541134687,0.397703112,0.349098366,0.453075066,0.550765277
65,FUM,0.165843665,0.075043075,0.366511117,0.404583311,2.471678818,0,SECU,0,,,,0.165843665,0.075044168,0.366505778,
66,GUSEL,0.917890645,0.862790961,0.976509112,0.031584603,31.66099637,0,SECU,1,0.908388172,0.843073676,0.978762705,0.939225902,0.840652822,1.049357443,0.624425906
67,IFX,1.908568298,0.787231484,4.627143381,0.451829754,2.21322299,0,SECU,0,,,,1.908568299,0.787244294,4.627068086,
68,IXE,1.149654243,1.05508886,1.25269532,0.043794004,22.83417624,0,SECU,0,,,,1.149654243,1.055090524,1.252693344,
69,MTX,0.264383565,0.053240896,1.312875515,0.817639854,1.223032359,0,SECU,0,,,,0.264383565,0.053242464,1.312836855,
70,NETA,0.170980497,0.077350289,0.377947267,0.404696523,2.470987378,0,SECU,0,,,,0.170980497,0.077351416,0.377941758,
71,PBO,0.038093684,0.032280561,0.044953642,0.084481264,11.83694404,0,SECU,16,0.043992353,0.030200072,0.064083529,0.03679829,0.030601401,0.044250069,0.403495578
72,RISAN,1.094663762,1.000464737,1.197732121,0.0459095,21.78198408,0,SECU,1,1.123945749,0.973473645,1.297676679,1.076195859,0.958909229,1.207828116,0.64434362
73,SONELO,0.967889369,0.77295036,1.21199223,0.11474641,8.714869615,0,SECU,1,0.963159907,0.768828726,1.206610752,3.266404076,0.09372498,113.8372675,0.501148689
74,TILDRA,0.706931651,0.55103436,0.906935021,0.127110622,7.867163116,0,SECU,0,,,,0.706931651,0.551036883,0.906930869,
75,USK,0.719765449,0.680027214,0.761825838,0.028975804,34.5115532,0,SECU,2,0.715345346,0.667629789,0.766471136,0.729110809,0.659793676,0.805710316,0.758350198
76,ADA,2.497993882,0.502596773,12.41546657,0.818089305,1.222360437,0,MTX,0,,,,2.497993881,0.502611581,12.41510077,
77,APRE,1.107192315,0.205805228,5.956480476,0.858496132,1.164827613,0,MTX,0,,,,1.107192315,0.205811591,5.956296311,
78,BIME,4.359502913,0.877165502,21.66668162,0.81807022,1.222388953,0,MTX,0,,,,4.359502909,0.877191345,21.66604325,
79,BRODA,3.471410773,0.697674729,17.27265194,0.818654778,1.221516111,0,MTX,0,,,,3.471410772,0.697695299,17.27214268,
80,CERTO,1.912367708,0.376234215,9.720408467,0.829533433,1.205496922,0,MTX,0,,,,1.912367708,0.376245455,9.720118067,
81,CICLO,1.009751977,0.608564056,1.675417805,0.258345835,3.870780421,0,MTX,2,1.009751977,0.608569719,1.675402216,,,,
82,DEUCRAVA,2.015241764,0.162628238,24.97228901,1.284197755,0.778696269,0,MTX,0,,,,2.015241762,0.16263576,24.97113401,
83,ETA,1.534182869,0.308422249,7.631476276,0.81851194,1.221729276,0,MTX,0,,,,1.534182869,0.308431341,7.631251309,
84,FUM,0.62728432,0.124589472,3.158257379,0.824681527,1.212589305,0,MTX,1,0.5,0.047851477,5.22449917,0.769831525,0.082805037,7.1570595,0.793850465
85,GUSEL,3.471814315,0.698917777,17.24594084,0.817805861,1.222784095,0,MTX,0,,,,3.471814314,0.698938363,17.24543289,
86,IFX,7.218937003,1.17139824,44.48790315,0.927811021,1.077805693,0,MTX,0,,,,7.218936999,1.171437383,44.48641657,
87,IXE,4.348433096,0.874911809,21.61231588,0.818085592,1.222365985,0,MTX,0,,,,4.348433092,0.874937586,21.6116791,
88,NETA,0.646713788,0.109856035,3.807152905,0.904455659,1.105637397,0,MTX,0,,,,0.646713787,0.109859614,3.80702889,
89,PBO,0.144084918,0.029265402,0.709385917,0.813263701,1.229613468,0,MTX,2,0.172223179,0.021492397,1.380061177,0.111857707,0.009374444,1.334708184,0.793850465
90,RISAN,4.140438015,0.832568936,20.59075978,0.818388183,1.221914027,0,MTX,0,,,,4.140438014,0.832593475,20.59015289,
91,SECU,3.782383376,0.761686838,18.78255377,0.817639854,1.223032359,0,MTX,0,,,,3.782383373,0.761709268,18.78200067,
92,SONELO,3.66092866,0.725804915,18.46556612,0.825607581,1.211229187,0,MTX,0,,,,3.660928659,0.725826497,18.46501706,
93,TILDRA,2.673886524,0.530077274,13.48797523,0.825645675,1.211173303,0,MTX,0,,,,2.673886524,0.530093037,13.48757416,
94,USK,2.72242887,0.548151877,13.52110477,0.817718027,1.22291544,0,MTX,0,,,,2.722428869,0.54816802,13.52070657,
95,ADA,2.47386877,0.460370386,13.29370194,0.857911814,1.165620969,0,CICLO,0,,,,2.473868769,0.46038461,13.2932912,
96,APRE,1.096499279,0.189177874,6.355450789,0.896525615,1.115417098,0,CICLO,0,,,,1.096499279,0.189183982,6.355245584,
97,BIME,4.31739973,0.803467792,23.19936234,0.857893615,1.165645696,0,CICLO,0,,,,4.317399726,0.803492616,23.19864553,
98,BRODA,3.437884602,0.639091445,18.49352018,0.858451056,1.164888776,0,CICLO,0,,,,3.4378846,0.639111204,18.49294841,
99,CERTO,1.893898454,0.34497874,10.39731131,0.868831564,1.150971075,0,CICLO,0,,,,1.893898453,0.344989535,10.39698597,
100,DEUCRAVA,1.995778973,0.153137241,26.01022255,1.309926122,0.763401831,0,CICLO,0,,,,1.995778972,0.153144465,26.00899545,
101,ETA,1.519366047,0.28252057,8.170991518,0.858314841,1.165073644,0,CICLO,0,,,,1.519366046,0.282529304,8.170738933,
102,FUM,0.621226137,0.114189864,3.379651212,0.864200319,1.157139124,0,CICLO,0,,,,0.621226137,0.114193418,3.379546024,
103,GUSEL,3.438284247,0.640180686,18.4663468,0.857641532,1.16598831,0,CICLO,0,,,,3.438284245,0.64020046,18.4657764,
104,IFX,7.149217994,1.082542541,47.21414262,0.963107398,1.038305803,0,CICLO,0,,,,7.149217989,1.08258009,47.21250493,
105,IXE,4.306436823,0.801404571,23.14111846,0.857908273,1.165625779,0,CICLO,0,,,,4.306436819,0.801429332,23.14040344,
106,MTX,0.990342206,0.596866046,1.643212395,0.258345835,3.870780421,0,CICLO,2,0.990342206,0.596871599,1.643197105,,,,
107,NETA,0.640467959,0.101348652,4.047406627,0.940628837,1.063118587,0,CICLO,0,,,,0.640467959,0.101352086,4.047269513,
108,PBO,0.142693376,0.026794796,0.75990128,0.853311442,1.171905063,0,CICLO,0,,,,0.142693376,0.026795619,0.759877927,
109,RISAN,4.100450516,0.762640195,22.04669323,0.858196824,1.165233863,0,CICLO,0,,,,4.100450515,0.762663767,22.04601182,
110,SECU,3.745853895,0.697664086,20.11200188,0.857483237,1.166203556,0,CICLO,0,,,,3.745853892,0.697685631,20.11138076,
111,SONELO,3.625572164,0.665276414,19.75836394,0.86508407,1.155957015,0,CICLO,0,,,,3.625572162,0.665297142,19.75774835,
112,TILDRA,2.648062678,0.485873135,14.43223639,0.865120426,1.155908437,0,CICLO,0,,,,2.648062677,0.485888274,14.43178672,
113,USK,2.696136212,0.502081145,14.47803914,0.857557777,1.166102187,0,CICLO,0,,,,2.696136211,0.502096652,14.47759198,
114,ADA,0.346033478,0.14247808,0.840404141,0.452728249,2.208830578,0,IFX,0,,,,0.346033478,0.142480403,0.840390439,
115,APRE,0.153373317,0.05506451,0.427196655,0.522637514,1.913372028,0,IFX,0,,,,0.153373317,0.055065546,0.427188615,
116,BIME,0.603898179,0.248699649,1.466399382,0.452632484,2.209297908,0,IFX,0,,,,0.603898179,0.248703703,1.466375477,
117,BRODA,0.480875615,0.197607289,1.170206616,0.453738248,2.203913829,0,IFX,0,,,,0.480875615,0.197610519,1.170187494,
118,CERTO,0.264909876,0.104955666,0.668637006,0.472373287,2.116969837,0,IFX,0,,,,0.264909876,0.104957452,0.668625631,
119,CICLO,0.139875438,0.021180094,0.923751227,0.963107398,1.038305803,0,IFX,0,,,,0.139875438,0.021180829,0.923719186,
120,DEUCRAVA,0.279160459,0.032989679,2.362271017,1.089587752,0.917778305,0,IFX,0,,,,0.279160458,0.032990973,2.362178317,
121,ETA,0.212521992,0.087565532,0.515791956,0.452376544,2.210547859,0,IFX,1,0.108695652,0.01506634,0.784181468,0.251653313,0.09331109,0.678690925,0.456797106
122,FUM,0.086894278,0.026984611,0.279811911,0.596645635,1.676036731,0,IFX,0,,,,0.086894278,0.026985191,0.279805899,
123,GUSEL,0.480931516,0.198262002,1.166613471,0.452109939,2.211851397,0,IFX,0,,,,0.480931516,0.198265231,1.166594476,
124,IXE,0.602364738,0.248175981,1.462040265,0.452410736,2.21038079,0,IFX,0,,,,0.602364738,0.248180025,1.462016443,
125,MTX,0.13852455,0.022478021,0.853680641,0.927811021,1.077805693,0,IFX,0,,,,0.13852455,0.022478772,0.853652116,
126,NETA,0.089585736,0.027816245,0.288522202,0.59672241,1.675821092,0,IFX,0,,,,0.089585736,0.027816843,0.288516001,
127,PBO,0.019959298,0.008317773,0.047894264,0.446581955,2.239230647,0,IFX,5,0.023500337,0.008861686,0.062320629,0.010150411,0.001395234,0.073844826,0.456797106
128,RISAN,0.573552313,0.23591086,1.394434555,0.453262819,2.206225521,0,IFX,0,,,,0.573552313,0.235914712,1.394411793,
129,SECU,0.523952955,0.216116061,1.2702744,0.451829754,2.21322299,0,IFX,0,,,,0.523952955,0.216119578,1.270253728,
130,SONELO,0.507128495,0.20340417,1.264375802,0.466106851,2.145430811,0,IFX,0,,,,0.507128495,0.203407585,1.264354578,
131,TILDRA,0.370398928,0.148746332,0.922344527,0.465478684,2.14832609,0,IFX,0,,,,0.370398928,0.148748826,0.922329065,
132,USK,0.377123234,0.155515088,0.914521772,0.451953704,2.212616007,0,IFX,0,,,,0.377123234,0.155517619,0.914506886,
133,ADA,0.719590404,0.6338229,0.816963776,0.064751321,15.44370042,0,BRODA,0,,,,0.719590404,0.633824378,0.816961871,
134,APRE,0.318945923,0.184757805,0.550593801,0.278559064,3.589902933,0,BRODA,0,,,,0.318945924,0.184759659,0.550588278,
135,BIME,1.255830323,1.117077071,1.411818254,0.059735434,16.74048281,0,BRODA,0,,,,1.255830323,1.117079473,1.411815217,
136,CERTO,0.550890642,0.404895821,0.749527367,0.15709516,6.365568476,0,BRODA,0,,,,0.550890642,0.404898112,0.749523127,
137,CICLO,0.290876546,0.054072994,1.564721305,0.858451056,1.164888776,0,BRODA,0,,,,0.290876547,0.054074666,1.56467293,
138,DEUCRAVA,0.580525295,0.082047941,4.107471967,0.998280434,1.001722528,0,BRODA,0,,,,0.580525295,0.082050891,4.107324287,
139,ETA,0.441947948,0.382976506,0.509999924,0.073070646,13.68538615,0,BRODA,0,,,,0.441947948,0.382977514,0.509998582,
140,FUM,0.180700113,0.081438084,0.400949153,0.406630507,2.459235064,0,BRODA,0,,,,0.180700113,0.081439277,0.400943281,
141,GUSEL,1.000116247,0.890690901,1.122984985,0.059119421,16.91491539,0,BRODA,0,,,,1.000116247,0.890692797,1.122982594,
142,IFX,2.07953984,0.854549945,5.060542065,0.453738248,2.203913829,0,BRODA,0,,,,2.079539839,0.85456391,5.060459367,
143,IXE,1.252641471,1.106458408,1.418137946,0.06331133,15.79496112,0,BRODA,0,,,,1.25264147,1.10646093,1.418134712,
144,MTX,0.288067321,0.057894989,1.433332697,0.818654778,1.221516111,0,BRODA,0,,,,0.288067321,0.057896696,1.433290438,
145,NETA,0.186297108,0.083942008,0.413459401,0.406743149,2.458554012,0,BRODA,0,,,,0.186297108,0.083943238,0.413453344,
146,PBO,0.041506156,0.034535938,0.049883139,0.093796575,10.66137015,0,BRODA,5,0.037593093,0.023944303,0.059021999,0.042332872,0.034613687,0.051773509,0.637537151
147,RISAN,1.192724885,1.049318585,1.355729967,0.065356899,15.30060359,0,BRODA,0,,,,1.192724885,1.049321055,1.355726777,
148,SECU,1.089581044,0.981582666,1.209461917,0.053256278,18.77712906,0,BRODA,0,,,,1.089581044,0.981584548,1.209459597,
149,SONELO,1.05459391,0.823046384,1.351282669,0.126478823,7.906461922,0,BRODA,0,,,,1.05459391,0.823050133,1.351276515,
150,TILDRA,0.770259327,0.591582817,1.002901728,0.134655898,7.426336438,0,BRODA,0,,,,0.770259327,0.591585687,1.002896864,
151,USK,0.78424279,0.717961562,0.856643011,0.045052358,22.19639655,0,BRODA,2,0.787391233,0.719980103,0.861114009,0.677483136,0.394447301,1.163611458,0.590952983
