studlab,treat1,treat2,TE,seTE,n1,n2,rob,type_outcome1,TE2,treat1_2,treat2_2,seTE2,type_outcome2,year_publication,r1,r2,z1,z2,male,sample_size,n21,n22,perc of males,age,year
70,PBO,TOFA,-1.943,0.314,177.0,360.0,2.0,binary,0.017,PBO,TOFA,0.54,binary,2015.0,10.0,142.0,5.0,10.0,643.0,901,177.0,360.0,0.713651498,46,2015.0
71,PBO,TOFA,-2.009,0.315,196.0,381.0,2.0,binary,-0.252,PBO,TOFA,0.832,binary,2015.0,10.0,145.0,2.0,5.0,648.0,960,196.0,381.0,0.675,45,2015.0
72,ADA,GUSEL,-0.298,0.194,43.0,84.0,3.0,binary,1.763,ADA,GUSEL,1.622,binary,2015.0,19.0,50.0,1.0,0.0,207.0,293,43.0,84.0,0.706484642,47,2015.0
72,ADA,PBO,2.921,1.003,43.0,42.0,3.0,binary,-0.023,ADA,PBO,1.134,binary,2015.0,19.0,1.0,1.0,1.0,207.0,293,43.0,42.0,0.706484642,47,2015.0
72,GUSEL,PBO,3.219,0.992,84.0,42.0,3.0,binary,-1.786,GUSEL,PBO,1.622,binary,2015.0,50.0,1.0,0.0,1.0,207.0,293,84.0,42.0,0.706484642,47,2015.0
73,ETA,IXE,-1.328,0.115,358.0,351.0,1.0,binary,0.45,ETA,IXE,0.565,binary,2015.0,67.0,248.0,8.0,5.0,821.0,1224,358.0,351.0,0.670751634,45,2015.0
73,ETA,PBO,3.448,1.003,358.0,168.0,1.0,binary,0.63,ETA,PBO,0.785,binary,2015.0,67.0,1.0,8.0,2.0,821.0,1224,358.0,168.0,0.670751634,45,2015.0
73,IXE,PBO,4.777,0.998,351.0,168.0,1.0,binary,0.179,IXE,PBO,0.831,binary,2015.0,248.0,1.0,5.0,2.0,821.0,1224,351.0,168.0,0.670751634,45,2015.0
74,ETA,IXE,-0.976,0.094,382.0,385.0,1.0,binary,-0.58,ETA,IXE,0.553,binary,2015.0,98.0,262.0,5.0,9.0,918.0,1346,382.0,385.0,0.682020802,46,2015.0
74,ETA,PBO,2.11,0.411,382.0,193.0,1.0,binary,-0.683,ETA,PBO,0.626,binary,2015.0,98.0,6.0,5.0,5.0,918.0,1346,382.0,193.0,0.682020802,46,2015.0
74,IXE,PBO,3.086,0.403,385.0,193.0,1.0,binary,-0.103,IXE,PBO,0.551,binary,2015.0,262.0,6.0,9.0,5.0,918.0,1346,385.0,193.0,0.682020802,46,2015.0
76,SECU,USK,0.316,0.055,334.0,335.0,1.0,binary,0.003,SECU,USK,0.44,binary,2015.0,264.0,193.0,10.0,10.0,481.0,676,334.0,335.0,0.711538462,45,2015.0
77,PBO,SECU,-4.221,1.413,61.0,60.0,1.0,binary,-0.017,PBO,SECU,1.402,binary,2015.0,0.0,33.0,1.0,1.0,125.0,182,61.0,60.0,0.686813187,45,2015.0
78,BRODA,PBO,4.348,0.705,222.0,220.0,1.0,binary,0.279,BRODA,PBO,0.758,binary,2016.0,156.0,2.0,4.0,3.0,484.0,661,222.0,220.0,0.732223903,46,2016.0
79,BRODA,PBO,3.553,0.988,37.0,38.0,3.0,binary,0.027,BRODA,PBO,1.395,binary,2015.0,34.0,1.0,1.0,1.0,120.0,151,37.0,38.0,0.794701987,45,2015.0
80,BRODA,PBO,3.078,0.312,612.0,309.0,2.0,binary,-0.566,BRODA,PBO,0.481,binary,2015.0,430.0,10.0,9.0,8.0,1258.0,1831,612.0,309.0,0.687056253,45,2015.0
80,BRODA,USK,0.402,0.067,612.0,300.0,2.0,binary,0.098,BRODA,USK,0.597,binary,2015.0,430.0,141.0,9.0,4.0,1258.0,1831,612.0,300.0,0.687056253,45,2015.0
80,PBO,USK,-2.676,0.317,309.0,300.0,2.0,binary,0.664,PBO,USK,0.607,binary,2015.0,10.0,141.0,8.0,4.0,1258.0,1831,309.0,300.0,0.687056253,45,2015.0
81,BRODA,PBO,3.768,0.444,624.0,315.0,2.0,binary,0.415,BRODA,PBO,0.663,binary,2015.0,429.0,5.0,9.0,3.0,1288.0,1881,624.0,315.0,0.684742158,45,2015.0
81,BRODA,USK,0.368,0.065,624.0,313.0,2.0,binary,0.814,BRODA,USK,0.779,binary,2015.0,429.0,149.0,9.0,2.0,1288.0,1881,624.0,313.0,0.684742158,45,2015.0
81,PBO,USK,-3.401,0.448,315.0,313.0,2.0,binary,0.399,PBO,USK,0.909,binary,2015.0,5.0,149.0,3.0,2.0,1288.0,1881,315.0,313.0,0.684742158,45,2015.0
82,PBO,TILDRA,-2.844,0.998,45.0,89.0,2.0,binary,-0.422,PBO,TILDRA,1.623,binary,2016.0,1.0,34.0,0.0,1.0,270.0,355,45.0,89.0,0.76056338,45,2016.0
83,ETA,IFX,-2.219,1.008,23.0,25.0,3.0,binary,0.083,ETA,IFX,1.384,binary,2016.0,1.0,10.0,1.0,1.0,31.0,48,23.0,25.0,0.645833333,44,2016.0
84,ADA,PBO,,,,,1.0,binary,,ADA,PBO,,binary,2016.0,188.0,3.0,4.0,3.0,312.0,425,,,0.734117647,43,2016.0
85,PBO,SECU,-2.357,1.384,10.0,84.0,1.0,binary,-0.623,PBO,SECU,1.423,binary,2015.0,0.0,42.0,0.0,7.0,,100,10.0,84.0,#VALUE!,,2015.0
88,ETA,PBO,2.767,1.004,141.0,68.0,1.0,binary,-0.729,ETA,PBO,1.406,binary,2011.0,33.0,1.0,1.0,1.0,145.0,209,141.0,68.0,0.693779904,43.5,2011.0
89,ETA,PBO,1.539,0.591,139.0,72.0,1.0,binary,-1.351,ETA,PBO,1.216,binary,2011.0,27.0,3.0,1.0,2.0,131.0,211,139.0,72.0,0.620853081,45,2011.0
91,IXE,PBO,5.029,0.706,433.0,431.0,1.0,binary,0.178,IXE,PBO,0.602,binary,2016.0,307.0,2.0,6.0,5.0,883.0,1296,433.0,431.0,0.68132716,46,2016.0
92,MTX,PBO,2.365,1.42,91.0,29.0,1.0,binary,-2.53,MTX,PBO,1.098,binary,2016.0,16.0,0.0,1.0,4.0,100.0,120,91.0,29.0,0.833333333,45,2016.0
93,FUM,PBO,1.492,0.408,540.0,131.0,3.0,binary,-0.193,FUM,PBO,0.499,binary,2016.0,110.0,6.0,17.0,5.0,452.0,704,540.0,131.0,0.642045455,44.5,2016.0
94,FUM,PBO,,,18.0,15.0,2.0,binary,-0.182,FUM,PBO,1.37,binary,2016.0,,,1.0,1.0,,33,18.0,15.0,#VALUE!,,2016.0
96,PBO,TOFA,,,3.0,8.0,1.0,binary,1.986,PBO,TOFA,1.504,binary,2016.0,,,1.0,0.0,8.0,12,3.0,8.0,0.666666667,45.5,2016.0
