studlab,name,year,treat,nz,r,z1,age,perc_male,weight,pasi_score,rob,effect_size1,effect_size2
73,Griffith_2015_UNCOVER2,2015,PBO,168,1,2,45.0,0.670751634,91.0,21.0,1,RR,RR
74,Griffith_2015_UNCOVER3,2015,AIL17,771,514,15,46.0,0.682020802,91.0,21.0,1,RR,RR
74,Griffith_2015_UNCOVER3,2015,ATA,382,98,5,46.0,0.682020802,91.0,21.0,1,RR,RR
74,Griffith_2015_UNCOVER3,2015,PBO,193,6,5,46.0,0.682020802,91.0,21.0,1,RR,RR
76,Thai_2015_CLEAR,2015,AIL1223,339,193,10,45.0,0.711538462,87.0,22.0,1,RR,RR
76,Thai_2015_CLEAR,2015,AIL17,337,264,10,45.0,0.711538462,87.0,22.0,1,RR,RR
77,Paul_2015_JUNCTURE,2015,AIL17,121,57,4,45.0,0.686813187,91.0,20.0,1,RR,RR
77,Paul_2015_JUNCTURE,2015,PBO,61,0,1,45.0,0.686813187,91.0,20.0,1,RR,RR
78,Papp_2016_AMAGINE-1,2016,AIL17,441,249,10,46.0,0.732223903,91.0,20.0,1,RR,RR
78,Papp_2016_AMAGINE-1,2016,PBO,220,2,3,46.0,0.732223903,91.0,20.0,1,RR,RR
79,Nakagawa_2016,2015,AIL17,113,64,3,45.0,0.794701987,74.0,26.0,3,RR,RR
79,Nakagawa_2016,2015,PBO,38,1,1,45.0,0.794701987,74.0,26.0,3,RR,RR
80,Lebwohl_2015_AMAGINE2,2015,AIL1223,300,141,4,45.0,0.687056253,91.0,20.0,2,RR,RR
80,Lebwohl_2015_AMAGINE2,2015,AIL17,1222,731,19,45.0,0.687056253,91.0,20.0,2,RR,RR
80,Lebwohl_2015_AMAGINE2,2015,PBO,309,10,8,45.0,0.687056253,91.0,20.0,2,RR,RR
81,Lebwohl_2015_AMAGINE3,2015,AIL1223,313,149,2,45.0,0.684742158,89.0,20.0,2,RR,RR
81,Lebwohl_2015_AMAGINE3,2015,AIL17,1253,756,19,45.0,0.684742158,89.0,20.0,2,RR,RR
81,Lebwohl_2015_AMAGINE3,2015,PBO,315,5,3,45.0,0.684742158,89.0,20.0,2,RR,RR
82,Papp_2015a,2016,AIL23,309,105,4,45.0,0.76056338,,,2,RR,RR
82,Papp_2015a,2016,PBO,46,1,0,45.0,0.76056338,,,2,RR,RR
84,Cai_2016,2016,ATA,338,188,4,43.0,0.734117647,70.0,28.0,1,RR,RR
84,Cai_2016,2016,PBO,87,3,3,43.0,0.734117647,70.0,28.0,1,RR,RR
85,Reich_2015,2015,AIL17,90,42,7,,#VALUE!,,,1,RR,RR
85,Reich_2015,2015,PBO,10,0,0,,#VALUE!,,,1,RR,RR
88,Gottlieb_2011,2011,ATA,141,33,1,43.5,0.693779904,95.0,19.0,1,RR,RR
88,Gottlieb_2011,2011,PBO,68,1,1,43.5,0.693779904,95.0,19.0,1,RR,RR
89,Strober_2011,2011,ATA,139,27,1,45.0,0.620853081,95.0,18.0,1,RR,RR
89,Strober_2011,2011,PBO,72,3,2,45.0,0.620853081,95.0,18.0,1,RR,RR
