unique_id,name,treat,rsae,n,bias,rpasi90m,nm,year_publication,co_intervention,sample_size,age,male,duration_pso,bmi,weight,pasi_score,previous_topical,previous_photo,previous_systemic,previous_bio,_merge
70,UNCOVER-3_2015,ETA,5,382,L,98,382,2015,0,1346,46,918,18,30.5,91,21,1063,522,615,209,Matched (3)
70,UNCOVER-3_2015,PBO,5,193,L,6,193,2015,0,1346,46,918,18,30.5,91,21,1063,522,615,209,Matched (3)
70,UNCOVER-3_2015,IXE,15,771,L,514,771,2015,0,1346,46,918,18,30.5,91,21,1063,522,615,209,Matched (3)
72,CLEAR_2015,USK,10,339,L,193,339,2015,0,676,45,481,18,29,87,22,,,441,92,Matched (3)
72,CLEAR_2015,SECU,10,337,L,264,337,2015,0,676,45,481,18,29,87,22,,,441,92,Matched (3)
73,JUNCTURE_2015,SECU,4,121,L,57,121,2015,0,182,45,125,21,.,91,20,,,90,43,Matched (3)
73,JUNCTURE_2015,PBO,1,61,L,0,61,2015,0,182,45,125,21,.,91,20,,,90,43,Matched (3)
74,AMAGINE-1 2016,PBO,3,220,L,2,220,2016,0,661,46,484,20,.,91,20,,,,305,Matched (3)
74,AMAGINE-1 2016,BRODA,6,298,L,186,298,2016,0,661,46,484,20,.,91,20,,,,305,Matched (3)
75,Nakagawa_2016,PBO,1,38,H,1,38,2015,0,151,45,120,15,.,74,26,,,,16,Matched (3)
75,Nakagawa_2016,BRODA,3,113,H,64,113,2015,0,151,45,120,15,.,74,26,,,,16,Matched (3)
76,AMAGINE-2_2015,PBO,8,309,M,10,309,2015,0,1831,45,1258,19,31,91,20,,,,530,Matched (3)
76,AMAGINE-2_2015,USK,4,300,M,141,300,2015,0,1831,45,1258,19,31,91,20,,,,530,Matched (3)
76,AMAGINE-2_2015,BRODA,19,1222,M,731,1222,2015,0,1831,45,1258,19,31,91,20,,,,530,Matched (3)
77,AMAGINE-3_2015,USK,2,313,M,149,313,2015,0,1881,45,1288,18,30,89,20,,,,468,Matched (3)
77,AMAGINE-3_2015,PBO,3,315,M,5,315,2015,0,1881,45,1288,18,30,89,20,,,,468,Matched (3)
77,AMAGINE-3_2015,BRODA,19,1253,M,756,1253,2015,0,1881,45,1288,18,30,89,20,,,,468,Matched (3)
78,Papp_2015,PBO,0,46,M,1,46,2015,0,355,45,270,,29,,,,,,95,Matched (3)
78,Papp_2015,TILDRA,4,309,M,105,309,2015,0,355,45,270,,29,,,,,,95,Matched (3)
79,PIECE_2016,ETA,1,23,H,1,23,2016,0,48,44,31,20,.,,17,,,,.,Matched (3)
79,PIECE_2016,IFX,1,25,H,10,25,2016,0,48,44,31,20,.,,17,,,,.,Matched (3)
80,Cai_2016,PBO,3,87,L,3,87,2016,0,425,43,312,15,24,70,28,,,,.,Matched (3)
80,Cai_2016,ADA,4,338,L,188,338,2016,0,425,43,312,15,24,70,28,,,,.,Matched (3)
81,Reich_2015,PBO,0,10,L,0,10,2015,0,100,,,,.,,,,,,.,Matched (3)
81,Reich_2015,SECU,7,90,L,42,90,2015,0,100,,,,.,,,,,,.,Matched (3)
84,Gottlieb_2011,PBO,1,68,L,1,68,2011,0,209,43.5,145,18,.,95,19,192,53,56,30,Matched (3)
84,Gottlieb_2011,ETA,1,141,L,33,141,2011,0,209,43.5,145,18,.,95,19,192,53,56,30,Matched (3)
85,Strober_2011,PBO,2,72,L,3,72,2011,0,211,45,131,15,.,95,18,202,39,64,14,Matched (3)
85,Strober_2011,ETA,1,139,L,27,139,2011,0,211,45,131,15,.,95,18,202,39,64,14,Matched (3)
86,UNCOVER-1_2016,IXE,18,865,L,586,865,2016,0,1296,46,883,20,.,92,20,,1261,684,522,Matched (3)
86,UNCOVER-1_2016,PBO,5,431,L,2,431,2016,0,1296,46,883,20,.,92,20,,1261,684,522,Matched (3)
87,METOP_2017,PBO,4,29,L,0,29,2016,0,120,45,100,18,30,93,15,,8,36,6,Matched (3)
87,METOP_2017,MTX,1,91,L,16,91,2016,0,120,45,100,18,30,93,15,,8,36,6,Matched (3)
88,BRIDGE_2017,PBO,5,138,H,6,138,2016,0,704,44.5,452,,.,,16,,,,.,Matched (3)
88,BRIDGE_2017,FUM,17,566,H,110,566,2016,0,704,44.5,452,,.,,16,,,,.,Matched (3)
91,Papp_2012c,APRE,7,264,L,22,264,2012,0,352,44,221,19,31,92,18.5,,,176,.,Matched (3)
91,Papp_2012c,PBO,2,88,L,1,88,2012,0,352,44,221,19,31,92,18.5,,,176,.,Matched (3)
92,Papp_2013b,APRE,2,173,H,,173,2013,0,260,46,163,19,.,,19.5,,,,.,Matched (3)
92,Papp_2013b,PBO,4,87,H,,87,2013,0,260,46,163,19,.,,19.5,,,,.,Matched (3)
93,LIBERATE_2017,ETA,2,83,M,17,83,2016,0,250,45,157,18,29.5,88.5,19.5,,,194,,Matched (3)
93,LIBERATE_2017,PBO,0,84,M,3,84,2016,0,250,45,157,18,29.5,88.5,19.5,,,194,,Matched (3)
93,LIBERATE_2017,APRE,3,83,M,12,83,2016,0,250,45,157,18,29.5,88.5,19.5,,,194,,Matched (3)
94,VOYAGE-1_2016,GUSEL,8,329,L,241,329,2016,0,837,44,608,17.5,30,,22,762,454,517,175,Matched (3)
94,VOYAGE-1_2016,ADA,6,334,L,166,334,2016,0,837,44,608,17.5,30,,22,762,454,517,175,Matched (3)
