unique_id,studlab,rob,treat1,treat2,n1,n2,r1,r2,z1,z2
70,Papp_2015_OPT Pivotal-1,M,TOFA,PBO,360,177,142,10,10,5
70,Papp_2015_OPT Pivotal-1,M,TOFA,TOFA,363,360,72,142,8,10
71,Papp_2015_OPT Pivotal-2,M,TOFA,PBO,382,196,92,10,11,2
71,Papp_2015_OPT Pivotal-2,M,TOFA,PBO,381,196,145,10,5,2
71,Papp_2015_OPT Pivotal-2,M,TOFA,TOFA,382,381,92,145,11,5
72,Gordon_2015_X-PLORE,H,GUSEL,PBO,84,42,50,1,0,1
72,Gordon_2015_X-PLORE,H,GUSEL,PBO,124,42,47,1,3,1
72,Gordon_2015_X-PLORE,H,ADA,PBO,43,42,19,1,1,1
72,Gordon_2015_X-PLORE,H,GUSEL,GUSEL,84,124,50,47,0,3
72,Gordon_2015_X-PLORE,H,GUSEL,ADA,84,43,50,19,0,1
72,Gordon_2015_X-PLORE,H,GUSEL,ADA,124,43,47,19,3,1
73,Griffith_2015_UNCOVER2,L,IXE,PBO,347,168,207,1,8,2
73,Griffith_2015_UNCOVER2,L,IXE,PBO,351,168,248,1,5,2
73,Griffith_2015_UNCOVER2,L,ETA,PBO,358,168,67,1,8,2
73,Griffith_2015_UNCOVER2,L,IXE,IXE,347,351,207,248,8,5
73,Griffith_2015_UNCOVER2,L,IXE,ETA,347,358,207,67,8,8
73,Griffith_2015_UNCOVER2,L,IXE,ETA,351,358,248,67,5,8
74,Griffith_2015_UNCOVER3,L,IXE,PBO,386,193,252,6,6,5
74,Griffith_2015_UNCOVER3,L,IXE,PBO,385,193,262,6,9,5
74,Griffith_2015_UNCOVER3,L,ETA,PBO,382,193,98,6,5,5
74,Griffith_2015_UNCOVER3,L,IXE,IXE,386,385,252,262,6,9
74,Griffith_2015_UNCOVER3,L,IXE,ETA,386,382,252,98,6,5
74,Griffith_2015_UNCOVER3,L,IXE,ETA,385,382,262,98,9,5
75,Mrowietz_2015_SCULPTURE,L,SECU,SECU,482,484,238,311,8,9
76,Thaçi_2015_CLEAR,L,SECU,USK,337,339,264,193,10,10
77,Paul_2015_JUNCTURE,L,SECU,PBO,61,61,24,0,3,1
77,Paul_2015_JUNCTURE,L,SECU,PBO,60,61,33,0,1,1
77,Paul_2015_JUNCTURE,L,SECU,SECU,61,60,24,33,3,1
78,Papp_2016_AMAGINE-1,L,BRODA,PBO,219,220,93,2,6,3
78,Papp_2016_AMAGINE-1,L,BRODA,PBO,222,220,156,2,4,3
78,Papp_2016_AMAGINE-1,L,BRODA,BRODA,219,222,93,156,6,4
79,Nakagawa_2016,H,BRODA,PBO,76,38,30,1,2,1
