,studlab,treat1,treat2,id,TE,seTE,type_outcome1,TE2,seTE2,type_outcome2,rob,year_publication,male
58,"Lebwohl CIMPACT, 2018",CERTO,ETA,136,0.230084581,0.164503583,binary,0.230084581,0.164503583,binary,M,2015,648
59,"Lebwohl CIMPACT, 2018",CERTO,PBO,136,3.675733725,1.412101218,binary,3.675733725,1.412101218,binary,H,2015,207
60,"Lebwohl CIMPACT, 2018",ETA,PBO,136,3.445649144,1.413594344,binary,3.445649144,1.413594344,binary,H,2015,207
61,Lebwohl_2015_AMAGINE2,BRODA,PBO,80,3.07780911,0.312178392,binary,3.07780911,0.312178392,binary,H,2015,207
62,Lebwohl_2015_AMAGINE2,BRODA,USK,80,0.40207551,0.066711766,binary,0.40207551,0.066711766,binary,L,2015,821
63,Lebwohl_2015_AMAGINE2,PBO,USK,80,-2.6757336,0.317053023,binary,-2.6757336,0.317053023,binary,L,2015,821
64,Lebwohl_2015_AMAGINE3,BRODA,PBO,81,3.768441277,0.444470286,binary,3.768441277,0.444470286,binary,L,2015,821
65,Lebwohl_2015_AMAGINE3,BRODA,USK,81,0.367563435,0.065153353,binary,0.367563435,0.065153353,binary,L,2015,918
66,Lebwohl_2015_AMAGINE3,PBO,USK,81,-3.400877842,0.447595708,binary,-3.400877842,0.447595708,binary,L,2015,918
67,Leonardi_2003,ETA,PBO,30,3.583518938,1.007905261,binary,3.583518938,1.007905261,binary,L,2015,918
68,Leonardi_2008_PHOENIX1,PBO,USK,4,-3.054001182,0.448988669,binary,-3.054001182,0.448988669,binary,L,2015,481
69,Leonardi_2012,IXE,PBO,39,3.309847603,1.404410787,binary,3.309847603,1.404410787,binary,L,2015,125
70,Meffert_1997,CICLO,PBO,59,NA,NA,binary,NA,NA,binary,L,2016,484
71,"Mehta VIP trial, 2018",ADA,PBO,115,NA,NA,binary,NA,NA,binary,H,2015,120
72,Menter_2007_EXPRESSII,IFX,PBO,41,4.543972151,0.999524811,binary,4.543972151,0.999524811,binary,M,2015,1258
73,Menter_2008_REVEAL,ADA,PBO,24,2.989900395,0.331816647,binary,2.989900395,0.331816647,binary,M,2015,1258
74,Mrowietz_2016_BRIDGE,FUM,PBO,93,1.497380504,0.408343501,binary,1.497380504,0.408343501,binary,M,2015,1258
75,Nakagawa_2016,BRODA,PBO,79,3.553028772,0.987962018,binary,3.553028772,0.987962018,binary,M,2015,1288
76,"NCT02187172 Gelfand VIP-U, 2020",PBO,USK,145,-2.898976605,1.419262867,binary,-2.898976605,1.419262867,binary,M,2015,1288
77,NCT02559622 von Stebut CARIMA 2019,PBO,SECU,143,-4.027742057,1.412636917,binary,-4.027742057,1.412636917,binary,M,2015,1288
78,NCT02672852 IMMhance,PBO,RISAN,139,-3.600303306,0.700641636,binary,-3.600303306,0.700641636,binary,M,2016,270
79,"NCT02690701 Gelfand VIP-S, 2020",PBO,SECU,147,-4.212366518,1.409078461,binary,-4.212366518,1.409078461,binary,H,2016,31
80,NCT02748863 ALLURE,PBO,SECU,148,-3.884802725,0.994548424,binary,-3.884802725,0.994548424,binary,L,2016,312
81,NCT03000075  ,PBO,RISAN,123,-3.766681892,0.994468223,binary,-3.766681892,0.994468223,binary,L,2015,NA
82,NCT03051217,CERTO,PBO,149,3.691912234,1.402948296,binary,3.691912234,1.402948296,binary,L,2011,145
83,NCT03055494 ObePso-S,PBO,SECU,156,-3.42924083,1.407288869,binary,-3.42924083,1.407288869,binary,L,2011,131
84,NCT03066609,PBO,SECU,150,-3.953433062,0.70262225,binary,-3.953433062,0.70262225,binary,L,2016,883
