"","studlab","treat1","treat2","TE","seTE","event1.x","n1","event2.x","n2","incr.x","allstudies.x","studlab.orig.x","name.x","rob.x","year.x","co_intervention.x","sample_size.x","age.x","male.x","duration_pso.x","bmi.x","weight.x","pasi_score.x","previous_topical.x","previous_photo.x","previous_systemic.x","previous_bio.x","X_merge.x","effect_size1","effect_size2","treat.orig1.x","treat.orig2.x","z11.x","z12.x","n.orig1.x","n.orig2.x","r1.x","r2.x","n.orig.11.x","n.orig.12.x","nz1.x","nz2.x","TE2","seTE2","event1.y","n1.y","event2.y","n2.y","incr.y","allstudies.y","studlab.orig.y","name.y","rob.y","year.y","co_intervention.y","sample_size.y","age.y","male.y","duration_pso.y","bmi.y","weight.y","pasi_score.y","previous_topical.y","previous_photo.y","previous_systemic.y","previous_bio.y","X_merge.y","effect_size1.y","effect_size2.y","treat.orig1.y","treat.orig2.y","z11.y","z12.y","n.orig1.y","n.orig2.y","r1.y","r2.y","n.orig.11.y","n.orig.12.y","n2.1","n2.2","year","rob"
"97","123","PBO","SECU",-3.7148549405172,0.994485469741849,1,65,84,133,0,FALSE,123,"TRANSFIGURE_2016","L",2018,0,198,44,160,18.5,".",90.5,20,NA,NA,NA,"46","Matched (3)","RR","RR","PBO","SECU",2,4,65,133,1,84,65,133,65,133,0.0228146777661715,0.852699588145147,2,65,4,133,0,FALSE,123,"TRANSFIGURE_2016","L",2018,0,198,44,160,18.5,".",90.5,20,NA,NA,NA,"46","Matched (3)","RR","RR","PBO","SECU",2,4,65,133,1,84,65,133,65,133,2018,"L"
"98","124","IXE","USK",0.34175324266226,0.0753432252612283,113,136,98,166,0,FALSE,124,"IXORA-S_2017 Ê","L",2017,0,302,43,202,18,"29",87.5,20,NA,202,184,"43","Matched (3)","RR","RR","IXE","USK",3,5,136,166,113,98,136,166,136,166,-0.311492721145499,0.721079951025766,3,136,5,166,0,FALSE,124,"IXORA-S_2017 Ê","L",2017,0,302,43,202,18,"29",87.5,20,NA,202,184,"43","Matched (3)","RR","RR","IXE","USK",3,5,136,166,113,98,136,166,136,166,2017,"L"
"99","125","PBO","TILDRA",-2.60754013957813,0.496545336483441,4,155,216,617,0,FALSE,125,"ReSURFACE-1_2017","L",2017,0,772,47,533,NA,".",88.5,20,NA,NA,NA,"177","Matched (3)","RR","RR","PBO","TILDRA",1,13,155,617,4,216,155,617,155,617,-1.1835054504754,1.03385236783445,1,155,13,617,0,FALSE,125,"ReSURFACE-1_2017","L",2017,0,772,47,533,NA,".",88.5,20,NA,NA,NA,"177","Matched (3)","RR","RR","PBO","TILDRA",1,13,155,617,4,216,155,617,155,617,2017,"L"
"100","126","PBO","ETA",-2.8151982555404,0.710858796488556,2,156,67,313,0,FALSE,126,"ReSURFACE-2_2017","L",2017,0,1090,45,554,NA,".",88.5,20,NA,NA,NA,"134","Matched (3)","RR","RR","PBO","ETA",4,7,156,313,2,67,156,313,156,313,0.136731395355193,0.61907349989155,4,156,7,313,0,FALSE,126,"ReSURFACE-2_2017","L",2017,0,1090,45,554,NA,".",88.5,20,NA,NA,NA,"134","Matched (3)","RR","RR","PBO","ETA",4,7,156,313,2,67,156,313,156,313,2017,"L"
"101","126","PBO","TILDRA",-3.38069886011381,0.704452228263291,2,156,234,621,0,FALSE,126,"ReSURFACE-2_2017","L",2017,0,1090,45,554,NA,".",88.5,20,NA,NA,NA,"134","Matched (3)","RR","RR","PBO","TILDRA",4,10,156,621,2,234,156,621,156,621,0.465184342809787,0.58479007997025,4,156,10,621,0,FALSE,126,"ReSURFACE-2_2017","L",2017,0,1090,45,554,NA,".",88.5,20,NA,NA,NA,"134","Matched (3)","RR","RR","PBO","TILDRA",4,10,156,621,2,234,156,621,156,621,2017,"L"
"102","126","ETA","TILDRA",-0.56550060457341,0.11997367740795,67,313,234,621,0,FALSE,126,"ReSURFACE-2_2017","L",2017,0,1090,45,554,NA,".",88.5,20,NA,NA,NA,"134","Matched (3)","RR","RR","ETA","TILDRA",7,10,313,621,67,234,313,621,313,621,0.328452947454593,0.487905676048247,7,313,10,621,0,FALSE,126,"ReSURFACE-2_2017","L",2017,0,1090,45,554,NA,".",88.5,20,NA,NA,NA,"134","Matched (3)","RR","RR","ETA","TILDRA",7,10,313,621,67,234,313,621,313,621,2017,"L"
"103","128","PBO","CERTO",-3.62504244124786,1.41025450423565,0,57,108,332,0.5,FALSE,128,"CIMPACT_2018","M",2018,0,559,46,381,18,"30",89,21,NA,NA,NA,"154","Matched (3)","RR","RR","PBO","CERTO",5,5,57,332,0,108,57,332,57,332,1.76208370108194,0.615990334468087,5,57,5,332,0,FALSE,128,"CIMPACT_2018","M",2018,0,559,46,381,18,"30",89,21,NA,NA,NA,"154","Matched (3)","RR","RR","PBO","CERTO",5,5,57,332,0,108,57,332,57,332,2018,"M"
"104","128","PBO","ETA",-3.44564914423299,1.41359434398874,0,57,46,170,0.5,FALSE,128,"CIMPACT_2018","M",2018,0,559,46,381,18,"30",89,21,NA,NA,NA,"154","Matched (3)","RR","RR","PBO","ETA",5,1,57,170,0,46,57,170,57,170,2.70218508164981,1.08469986051889,5,57,1,170,0,FALSE,128,"CIMPACT_2018","M",2018,0,559,46,381,18,"30",89,21,NA,NA,NA,"154","Matched (3)","RR","RR","PBO","ETA",5,1,57,170,0,46,57,170,57,170,2018,"M"
"105","128","CERTO","ETA",0.179393297014866,0.147815238624265,108,332,46,170,0.5,FALSE,128,"CIMPACT_2018","M",2018,0,559,46,381,18,"30",89,21,NA,NA,NA,"154","Matched (3)","RR","RR","CERTO","ETA",5,1,332,170,108,46,332,170,332,170,0.940101380567874,1.09137784422539,5,332,1,170,0,FALSE,128,"CIMPACT_2018","M",2018,0,559,46,381,18,"30",89,21,NA,NA,NA,"154","Matched (3)","RR","RR","CERTO","ETA",5,1,332,170,108,46,332,170,332,170,2018,"M"
"106","130","RISAN","ADA",0.424599199870434,0.0701417677801468,218,301,144,304,0,FALSE,130,"IMMvent_2019","L",2019,0,605,46,422,NA,"30.5",90,20,NA,NA,NA,"229","Matched (3)","RR","RR","RISAN","ADA",10,9,301,304,218,144,301,304,301,304,0.115277952315172,0.45221607478139,10,301,9,304,0,FALSE,130,"IMMvent_2019","L",2019,0,605,46,422,NA,"30.5",90,20,NA,NA,NA,"229","Matched (3)","RR","RR","RISAN","ADA",10,9,301,304,218,144,301,304,301,304,2019,"L"
"107","131","RISAN","PBO",3.60030330649096,0.700641636102925,298,407,2,100,0,FALSE,131,"IMMhance_2020","L",2020,0,507,49,356,NA,"30.5",90.5,18,NA,NA,233,"281","Matched (3)","RR","RR","RISAN","PBO",8,8,407,100,298,2,407,100,407,100,-1.4036429994545,0.487383829792288,8,407,8,100,0,FALSE,131,"IMMhance_2020","L",2020,0,507,49,356,NA,"30.5",90.5,18,NA,NA,233,"281","Matched (3)","RR","RR","RISAN","PBO",8,8,407,100,298,2,407,100,407,100,2020,"L"
"108","135","SECU","PBO",3.27944305622865,1.41647644477437,27,102,0,49,0.5,FALSE,135,"CARIMA_2019","H",2020,0,151,45.200001,102,20,"29",89,19.5,NA,NA,129,"52","Matched (3)","RR","RR","SECU","PBO",1,2,102,49,27,0,102,49,102,49,-1.42629969573359,1.21234809983192,1,102,2,49,0,FALSE,135,"CARIMA_2019","H",2020,0,151,45.200001,102,20,"29",89,19.5,NA,NA,129,"52","Matched (3)","RR","RR","SECU","PBO",1,2,102,49,27,0,102,49,102,49,2020,"H"
"109","136","PBO","USK",-2.89897660508968,1.41926286696416,0,21,9,22,0.5,FALSE,136,"VIP-U trial_2020","M",2020,0,43,42.5,30,18,"33.5",100.5,20,NA,19,8,"19","Matched (3)","RR","RR","PBO","USK",NA,NA,21,22,0,9,21,22,21,22,NA,NA,NA,21,NA,22,0,FALSE,136,"VIP-U trial_2020","M",2020,0,43,42.5,30,18,"33.5",100.5,20,NA,19,8,"19","Matched (3)","RR","RR","PBO","USK",NA,NA,21,22,0,9,21,22,21,22,2020,"M"
"110","138","SECU","PBO",4.21236651796085,1.40907846088295,34,46,0,45,0.5,FALSE,138,"VIP-S trial_2020","L",2020,0,91,47.5,61,16,"32",94.5,22,76,27,27,"36","Matched (3)","RR","RR","SECU","PBO",2,0,46,45,34,0,46,45,46,45,1.58769792579769,1.53509498132132,2,46,0,45,0.5,FALSE,138,"VIP-S trial_2020","L",2020,0,91,47.5,61,16,"32",94.5,22,76,27,27,"36","Matched (3)","RR","RR","SECU","PBO",2,0,46,45,34,0,46,45,46,45,2020,"L"
"111","139","PBO","SECU",-3.88480272545198,0.994548423958026,1,71,98,143,0,FALSE,139,"ALLURE_2021","L",2021,0,214,43.5,133,17,"30.5",91,20.5,NA,NA,NA,".","Matched (3)","RR","RR","PBO","SECU",2,1,71,143,1,98,71,143,71,143,1.39331193377854,1.21610956988453,2,71,1,143,0,FALSE,139,"ALLURE_2021","L",2021,0,214,43.5,133,17,"30.5",91,20.5,NA,NA,NA,".","Matched (3)","RR","RR","PBO","SECU",2,1,71,143,1,98,71,143,71,143,2021,"L"
"112","140","CERTO","PBO",3.54743506273209,1.40265802253421,66,101,0,26,0.5,FALSE,140,"Umezawa_2021","L",2021,0,127,50,99,13,"26.5",73,25,NA,NA,96,"41","Matched (3)","RR","RR","CERTO","PBO",2,1,101,26,66,0,101,26,101,26,-0.663876798259832,1.20483918903705,2,101,1,26,0,FALSE,140,"Umezawa_2021","L",2021,0,127,50,99,13,"26.5",73,25,NA,NA,96,"41","Matched (3)","RR","RR","CERTO","PBO",2,1,101,26,66,0,101,26,101,26,2021,"L"
"113","141","PBO","SECU",-3.88783577981414,0.702517930524845,2,135,295,408,0,FALSE,141,"Cai_2020","L",2020,0,441,39.5,350,15.5,".",73,27,NA,NA,NA,"80","Matched (3)","RR","RR","PBO","SECU",2,14,135,408,2,295,135,408,135,408,-0.839917753089581,0.749379866041921,2,135,14,408,0,FALSE,141,"Cai_2020","L",2020,0,441,39.5,350,15.5,".",73,27,NA,NA,NA,"80","Matched (3)","RR","RR","PBO","SECU",2,14,135,408,2,295,135,408,135,408,2020,"L"
"114","142","SECU","GUSEL",0.0960834894498683,0.0380708207088512,391,514,369,534,0,FALSE,142,"ECLIPSE_2019","L",2019,0,1048,46,707,18.5,"30",NA,20,989,542,563,"305","Matched (3)","RR","RR","SECU","GUSEL",37,33,514,534,391,369,514,534,514,534,0.152582924682774,0.231326334130376,37,514,33,534,0,FALSE,142,"ECLIPSE_2019","L",2019,0,1048,46,707,18.5,"30",NA,20,989,542,563,"305","Matched (3)","RR","RR","SECU","GUSEL",37,33,514,534,391,369,514,534,514,534,2019,"L"
"115","145","PBO","APRE",NA,NA,NA,102,NA,201,0,FALSE,145,"STYLE_2020","L",2020,0,303,47,187,15,"31",NA,18,NA,66,89,"86","Matched (3)","RR","RR","PBO","APRE",1,2,102,201,NA,NA,102,201,102,201,-0.0148150857851406,1.21869641586954,1,102,2,201,0,FALSE,145,"STYLE_2020","L",2020,0,303,47,187,15,"31",NA,18,NA,66,89,"86","Matched (3)","RR","RR","PBO","APRE",1,2,102,201,NA,NA,102,201,102,201,2020,"L"
"116","146","IXE","GUSEL",0.257087207366647,0.0475269509276482,378,520,285,507,0,FALSE,146,"IXORA-R_2020","L",2020,0,1027,49,652,17,"33",95,19,725,140,310,"270","Matched (3)","RR","RR","IXE","GUSEL",18,16,520,507,378,285,520,507,520,507,0.0924652276720936,0.337875853006259,18,520,16,507,0,FALSE,146,"IXORA-R_2020","L",2020,0,1027,49,652,17,"33",95,19,725,140,310,"270","Matched (3)","RR","RR","IXE","GUSEL",18,16,520,507,378,285,520,507,520,507,2020,"L"
"117","147","SECU","PBO",3.42924082951113,1.40728886939864,29,54,0,28,0.5,FALSE,147,"NCT03055494 ObePso-S","L",2020,0,102,44.5,52,NA,".",NA,NA,NA,NA,NA,".","Matched (3)","RR","RR","SECU","PBO",1,1,54,28,29,0,54,28,54,28,-0.65677953638907,1.39490759398865,1,54,1,28,0,FALSE,147,"NCT03055494 ObePso-S","L",2020,0,102,44.5,52,NA,".",NA,NA,NA,NA,NA,".","Matched (3)","RR","RR","SECU","PBO",1,1,54,28,29,0,54,28,54,28,2020,"L"
"118","148","SECU","RISAN",-0.116845484117399,0.0733329864500116,107,163,121,164,0,FALSE,148,"IMMerge_2021","M",2020,0,327,47,213,18,".",NA,20,NA,NA,NA,"120","Matched (3)","RR","RR","SECU","RISAN",6,9,163,164,107,121,163,164,163,164,-0.399348881090728,0.51531082608171,6,163,9,164,0,FALSE,148,"IMMerge_2021","M",2020,0,327,47,213,18,".",NA,20,NA,NA,NA,"120","Matched (3)","RR","RR","SECU","RISAN",6,9,163,164,107,121,163,164,163,164,2020,"M"
"119","150","BIME","PBO",4.35817714792836,0.994314506402704,317,349,1,86,0,FALSE,150,"BE READY_2021","L",2021,0,435,44,313,19.5,"30",89.5,20.5,NA,NA,347,"192","Matched (3)","RR","RR","BIME","PBO",6,2,349,86,317,1,349,86,349,86,-0.30211233728081,0.807572554125652,6,349,2,86,0,FALSE,150,"BE READY_2021","L",2021,0,435,44,313,19.5,"30",89.5,20.5,NA,NA,347,"192","Matched (3)","RR","RR","BIME","PBO",6,2,349,86,317,1,349,86,349,86,2021,"L"
"120","151","BIME","PBO",2.87057691873165,0.488364153162793,273,321,4,83,0,FALSE,151,"BE VIVID_2021","L",2021,0,567,46,406,17,"29.5",88.5,21.5,NA,NA,463,"221","Matched (3)","RR","RR","BIME","PBO",5,2,321,83,273,4,321,83,321,83,-0.436309783459263,0.827548513642196,5,321,2,83,0,FALSE,151,"BE VIVID_2021","L",2021,0,567,46,406,17,"29.5",88.5,21.5,NA,NA,463,"221","Matched (3)","RR","RR","BIME","PBO",5,2,321,83,273,4,321,83,321,83,2021,"L"
"121","151","BIME","USK",0.537331718189267,0.0822097838014927,273,321,81,163,0,FALSE,151,"BE VIVID_2021","L",2021,0,567,46,406,17,"29.5",88.5,21.5,NA,NA,463,"221","Matched (3)","RR","RR","BIME","USK",5,5,321,163,273,81,321,163,321,163,-0.677690922323253,0.625099804733083,5,321,5,163,0,FALSE,151,"BE VIVID_2021","L",2021,0,567,46,406,17,"29.5",88.5,21.5,NA,NA,463,"221","Matched (3)","RR","RR","BIME","USK",5,5,321,163,273,81,321,163,321,163,2021,"L"
"122","151","USK","PBO",2.33324520054238,0.494128036966238,81,163,4,83,0,FALSE,151,"BE VIVID_2021","L",2021,0,567,46,406,17,"29.5",88.5,21.5,NA,NA,463,"221","Matched (3)","RR","RR","USK","PBO",5,2,163,83,81,4,163,83,163,83,0.241381138863991,0.825722010063776,5,163,2,83,0,FALSE,151,"BE VIVID_2021","L",2021,0,567,46,406,17,"29.5",88.5,21.5,NA,NA,463,"221","Matched (3)","RR","RR","USK","PBO",5,2,163,83,81,4,163,83,163,83,2021,"L"
"123","152","SECU","BIME",-0.140344591112728,0.0372490540074827,275,370,319,373,0,FALSE,152,"BE RADIANT_2021","L",2021,0,743,45,486,18,".",89.5,20,NA,NA,539,"244","Matched (3)","RR","RR","SECU","BIME",NA,NA,370,373,275,319,370,373,370,373,NA,NA,NA,370,NA,373,0,FALSE,152,"BE RADIANT_2021","L",2021,0,743,45,486,18,".",89.5,20,NA,NA,539,"244","Matched (3)","RR","RR","SECU","BIME",NA,NA,370,373,275,319,370,373,370,373,2021,"L"
"124","153","ADA","BIME",-0.506465647356094,0.0802123506691958,82,159,273,319,0,FALSE,153,"BE SURE_2021","L",2021,0,478,45,328,18,"30.5",91,20,412,173,338,"153","Matched (3)","RR","RR","ADA","BIME",5,5,159,319,82,273,159,319,159,319,0.696286900564613,0.62496071523389,5,159,5,319,0,FALSE,153,"BE SURE_2021","L",2021,0,478,45,328,18,"30.5",91,20,412,173,338,"153","Matched (3)","RR","RR","ADA","BIME",5,5,159,319,82,273,159,319,159,319,2021,"L"
"125","156","FUM","PBO",NA,NA,NA,319,NA,107,0,FALSE,156,"NCT03421197","L",2021,0,426,50,257,NA,".",NA,18,NA,NA,NA,".","Matched (3)","RR","RR","FUM","PBO",6,2,319,107,NA,NA,319,107,319,107,0.00625002034517133,0.808817702597995,6,319,2,107,0,FALSE,156,"NCT03421197","L",2021,0,426,50,257,NA,".",NA,18,NA,NA,NA,".","Matched (3)","RR","RR","FUM","PBO",6,2,319,107,NA,NA,319,107,319,107,2021,"L"
"126","158","SECU","PBO",2.4546928711915,0.367102047439135,326,448,7,112,0,FALSE,158,"NCT03535194","L",2021,0,560,NA,393,NA,".",NA,NA,NA,NA,NA,".","Matched (3)","RR","RR","SECU","PBO",11,0,448,112,326,7,448,112,448,112,1.75253875607477,1.44077686629355,11,448,0,112,0.5,FALSE,158,"NCT03535194","L",2021,0,560,NA,393,NA,".",NA,NA,NA,NA,NA,".","Matched (3)","RR","RR","SECU","PBO",11,0,448,112,326,7,448,112,448,112,2021,"L"
"127","162","PBO","NETA",-1.29532258291416,0.412410979163976,5,28,60,92,0,FALSE,162,"NCT02762994","L",2021,0,120,40.5,79,NA,"26",82,NA,NA,NA,NA,".","Matched (3)","RR","RR","PBO","NETA",NA,NA,28,92,5,60,28,92,28,92,NA,NA,NA,28,NA,92,0,FALSE,162,"NCT02762994","L",2021,0,120,40.5,79,NA,"26",82,NA,NA,NA,NA,".","Matched (3)","RR","RR","PBO","NETA",NA,NA,28,92,5,60,28,92,28,92,2021,"L"
"128","163","IXE","PBO",3.55027398562214,0.699563670499312,277,350,2,88,0,FALSE,163,"NCT03364309","L",2021,0,438,40.5,335,NA,".",NA,NA,NA,NA,NA,".","Matched (3)","RR","RR","IXE","PBO",3,3,350,88,277,2,350,88,350,88,-1.38059634000525,0.807741225545587,3,350,3,88,0,FALSE,163,"NCT03364309","L",2021,0,438,40.5,335,NA,".",NA,NA,NA,NA,NA,".","Matched (3)","RR","RR","IXE","PBO",3,3,350,88,277,2,350,88,350,88,2021,"L"
"129","164","PBO","RISAN",-2.79379092989038,0.697421634591971,2,52,66,105,0,FALSE,164,"Blauvelt_2021","H",2021,0,157,49,87,18,"32.5",94.300003,21.5,NA,NA,NA,"70","Matched (3)","RR","RR","PBO","RISAN",0,1,52,105,2,66,52,105,52,105,-0.400714505349566,1.62423531996853,0,52,1,105,0.5,FALSE,164,"Blauvelt_2021","H",2021,0,157,49,87,18,"32.5",94.300003,21.5,NA,NA,NA,"70","Matched (3)","RR","RR","PBO","RISAN",0,1,52,105,2,66,52,105,52,105,2021,"H"
"130","165","NETA","PBO",3.90438327741133,1.40790993868745,94,169,0,44,0.5,FALSE,165,"PLANETA_2021","M",2021,0,213,41,156,9,"28",87,19,NA,127,72,"12","Matched (3)","RR","RR","NETA","PBO",1,0,169,44,94,0,169,44,169,44,-0.238751448980201,1.6242829345713,1,169,0,44,0.5,FALSE,165,"PLANETA_2021","M",2021,0,213,41,156,9,"28",87,19,NA,127,72,"12","Matched (3)","RR","RR","NETA","PBO",1,0,169,44,94,0,169,44,169,44,2021,"M"
"131","166","SONELO","PBO",4.17770219005826,1.40850212126388,129,208,0,52,0.5,FALSE,166,"Papp_2021","L",2021,0,313,46,228,18.5,".",91,21,NA,NA,NA,"50","Matched (3)","RR","RR","SONELO","PBO",5,1,208,52,129,0,208,52,208,52,-0.0798428875110172,0.908097498271901,5,208,1,52,0.5,FALSE,166,"Papp_2021","L",2021,0,313,46,228,18.5,".",91,21,NA,NA,NA,"50","Matched (3)","RR","RR","SONELO","PBO",5,1,208,52,129,0,208,52,208,52,2021,"L"
"132","166","SONELO","SECU",-0.0375358302346169,0.114977228675044,129,208,34,53,0.5,FALSE,166,"Papp_2021","L",2021,0,313,46,228,18.5,".",91,21,NA,NA,NA,"50","Matched (3)","RR","RR","SONELO","SECU",5,0,208,53,129,34,208,53,208,53,1.03763788546148,1.46912573660786,5,208,0,53,0.5,FALSE,166,"Papp_2021","L",2021,0,313,46,228,18.5,".",91,21,NA,NA,NA,"50","Matched (3)","RR","RR","SONELO","SECU",5,0,208,53,129,34,208,53,208,53,2021,"L"
"133","166","SECU","PBO",4.21523802029288,1.41111526794012,34,53,0,52,0.5,FALSE,166,"Papp_2021","L",2021,0,313,46,228,18.5,".",91,21,NA,NA,NA,"50","Matched (3)","RR","RR","SECU","PBO",0,1,53,52,34,0,53,52,53,52,-1.11748077297249,1.62139676169468,0,53,1,52,0.5,FALSE,166,"Papp_2021","L",2021,0,313,46,228,18.5,".",91,21,NA,NA,NA,"50","Matched (3)","RR","RR","SECU","PBO",0,1,53,52,34,0,53,52,53,52,2021,"L"
"134","167","PBO","SECU",-2.63206429412429,0.693071957085196,2,40,57,82,0,FALSE,167,"NCT03589885 MATURE","L",2021,0,122,NA,85,NA,".",NA,NA,NA,NA,NA,".","Matched (3)","RR","RR","PBO","SECU",0,4,40,82,2,57,40,82,40,82,-1.48572825810808,1.47831311029711,0,40,4,82,0.5,FALSE,167,"NCT03589885 MATURE","L",2021,0,122,NA,85,NA,".",NA,NA,NA,NA,NA,".","Matched (3)","RR","RR","PBO","SECU",0,4,40,82,2,57,40,82,40,82,2021,"L"
