"","studlab","treat1","treat2","TE","seTE","event1.x","n1","event2.x","n2","incr.x","allstudies.x","studlab.orig.x","name.x","rob.x","year.x","co_intervention.x","sample_size.x","age.x","male.x","duration_pso.x","bmi.x","weight.x","pasi_score.x","previous_topical.x","previous_photo.x","previous_systemic.x","previous_bio.x","X_merge.x","effect_size1","effect_size2","treat.orig1.x","treat.orig2.x","z11.x","z12.x","n.orig1.x","n.orig2.x","r1.x","r2.x","n.orig.11.x","n.orig.12.x","nz1.x","nz2.x","TE2","seTE2","event1.y","n1.y","event2.y","n2.y","incr.y","allstudies.y","studlab.orig.y","name.y","rob.y","year.y","co_intervention.y","sample_size.y","age.y","male.y","duration_pso.y","bmi.y","weight.y","pasi_score.y","previous_topical.y","previous_photo.y","previous_systemic.y","previous_bio.y","X_merge.y","effect_size1.y","effect_size2.y","treat.orig1.y","treat.orig2.y","z11.y","z12.y","n.orig1.y","n.orig2.y","r1.y","r2.y","n.orig.11.y","n.orig.12.y","n2.1","n2.2","year","rob"
"21","22","ADA","PBO",3.65395003829395,1.41377462869312,35,96,0,52,0.5,FALSE,22,"Gordon_2006","L",2006,0,148,44,99,20,".",95,16,NA,NA,NA,".","Matched (3)","RR","RR","ADA","PBO",14,0,96,52,35,0,96,52,96,52,2.75856599123911,1.42812996743757,14,96,0,52,0.5,FALSE,22,"Gordon_2006","L",2006,0,148,44,99,20,".",95,16,NA,NA,NA,".","Matched (3)","RR","RR","ADA","PBO",14,0,96,52,35,0,96,52,96,52,2006,"L"
"22","23","PBO","ADA",-2.98990039534704,0.331816647420979,9,398,366,814,0,FALSE,23,"REVEAL_2008","L",2008,0,1212,44,803,18,".",93,19,908,197,276,"150","Matched (3)","RR","RR","PBO","ADA",7,15,398,814,9,366,398,814,398,814,-0.0466316913287941,0.453632831132446,7,398,15,814,0,FALSE,23,"REVEAL_2008","L",2008,0,1212,44,803,18,".",93,19,908,197,276,"150","Matched (3)","RR","RR","PBO","ADA",7,15,398,814,9,366,398,814,398,814,2008,"L"
"23","25","PBO","ETA",-2.70805020110221,1.0170587997508,1,62,15,62,0,FALSE,25,"Bagel 2012","L",2012,0,124,40.5,69,15,"30",NA,15.5,NA,NA,NA,".","Matched (3)","RR","RR","PBO","ETA",NA,NA,62,62,1,15,62,62,62,62,NA,NA,NA,62,NA,62,0,FALSE,25,"Bagel 2012","L",2012,0,124,40.5,69,15,"30",NA,15.5,NA,NA,NA,".","Matched (3)","RR","RR","PBO","ETA",NA,NA,62,62,1,15,62,62,62,62,2012,"L"
"24","28","ETA","PBO",NA,NA,NA,57,NA,55,0,FALSE,28,"Gottlieb_2003a","H",2003,0,112,47.5,70,21.5,".",91.5,19,NA,97,82,".","Matched (3)","RR","RR","ETA","PBO",2,2,57,55,NA,NA,57,55,57,55,-0.0357180826020792,0.981974705462956,2,57,2,55,0,FALSE,28,"Gottlieb_2003a","H",2003,0,112,47.5,70,21.5,".",91.5,19,NA,97,82,".","Matched (3)","RR","RR","ETA","PBO",2,2,57,55,NA,NA,57,55,57,55,2003,"H"
"25","29","ETA","PBO",2.99573227355399,1.00435559376655,60,504,1,168,0,FALSE,29,"Leonardi_2003","L",2003,0,672,45,439,19,".",NA,18,NA,NA,NA,".","Matched (3)","RR","RR","ETA","PBO",NA,NA,504,168,60,1,504,168,504,168,NA,NA,NA,504,NA,168,0,FALSE,29,"Leonardi_2003","L",2003,0,672,45,439,19,".",NA,18,NA,NA,NA,".","Matched (3)","RR","RR","ETA","PBO",NA,NA,504,168,60,1,504,168,504,168,2003,"L"
"26","30","PBO","ETA",-3.38684425230734,1.0047836529826,1,204,59,407,0,FALSE,30,"Papp_2005","M",2005,0,611,45,382,19,".",NA,16.5,NA,NA,NA,".","Matched (3)","RR","RR","PBO","ETA",NA,NA,204,407,1,59,204,407,204,407,NA,NA,NA,204,NA,407,0,FALSE,30,"Papp_2005","M",2005,0,611,45,382,19,".",NA,16.5,NA,NA,NA,".","Matched (3)","RR","RR","PBO","ETA",NA,NA,204,407,1,59,204,407,204,407,2005,"M"
"27","31","PBO","ETA",-2.78164127349426,0.508854532598779,4,309,65,311,0,FALSE,31,"Tyring_2006","L",2006,0,620,46,419,20,".",NA,18,NA,NA,NA,".","Matched (3)","RR","RR","PBO","ETA",3,6,309,311,4,65,309,311,309,311,-0.686695545278457,0.702529942395131,3,309,6,311,0,FALSE,31,"Tyring_2006","L",2006,0,620,46,419,20,".",NA,18,NA,NA,NA,".","Matched (3)","RR","RR","PBO","ETA",3,6,309,311,4,65,309,311,309,311,2006,"L"
"28","32","PBO","ETA",-1.8292425624828,1.02213858151506,1,46,13,96,0,FALSE,32,"Vandekerkhof_2008","L",2008,0,143,45,84,18,".",NA,21,NA,NA,NA,".","Matched (3)","RR","RR","PBO","ETA",3,2,46,96,1,13,46,96,46,96,1.14117190308691,0.895085211715557,3,46,2,96,0,FALSE,32,"Vandekerkhof_2008","L",2008,0,143,45,84,18,".",NA,21,NA,NA,NA,".","Matched (3)","RR","RR","PBO","ETA",3,2,46,96,1,13,46,96,46,96,2008,"L"
"29","35","MTX","FUM",0.693147180559945,1.19721899973786,2,30,1,30,0,FALSE,35,"Fallaharani_2011","H",2011,0,60,42,36,16.5,";",85,16.5,50,29,33,"4","Matched (3)","RR","RR","MTX","FUM",NA,NA,30,30,2,1,30,30,30,30,NA,NA,NA,30,NA,30,0,FALSE,35,"Fallaharani_2011","H",2011,0,60,42,36,16.5,";",85,16.5,50,29,33,"4","Matched (3)","RR","RR","MTX","FUM",NA,NA,30,30,2,1,30,30,30,30,2011,"H"
"30","38","PBO","IXE",-3.30984760307393,1.4044107872436,0,27,57,115,0.5,FALSE,38,"Leonardi_2012","L",2012,0,142,46,81,16,".",93,18,NA,NA,NA,".","Matched (3)","RR","RR","PBO","IXE",1,2,27,115,0,57,27,115,27,115,0.755948081798976,1.20593006048819,1,27,2,115,0,FALSE,38,"Leonardi_2012","L",2012,0,142,46,81,16,".",93,18,NA,NA,NA,".","Matched (3)","RR","RR","PBO","IXE",1,2,27,115,0,57,27,115,27,115,2012,"L"
"31","40","PBO","IFX",-4.44955112399001,0.998735891190868,1,208,258,627,0,FALSE,40,"EXPRESS-II_2007","L",2007,0,835,44,551,18,".",92,20,768,NA,NA,"117","Matched (3)","RR","RR","PBO","IFX",5,12,208,627,1,258,208,627,208,627,0.227939723577703,0.526242097037003,5,208,12,627,0,FALSE,40,"EXPRESS-II_2007","L",2007,0,835,44,551,18,".",92,20,768,NA,NA,"117","Matched (3)","RR","RR","PBO","IFX",5,12,208,627,1,258,208,627,208,627,2007,"L"
"32","42","IFX","PBO",3.26853141531406,0.992544998164248,102,198,1,51,0,FALSE,42,"Gottlieb_2004a","L",2004,0,249,44,174,17,".",NA,19,226,171,216,"81","Matched (3)","RR","RR","IFX","PBO",12,0,198,51,102,1,198,51,198,51,1.86966853241065,1.43371710629975,12,198,0,51,0.5,FALSE,42,"Gottlieb_2004a","L",2004,0,249,44,174,17,".",NA,19,226,171,216,"81","Matched (3)","RR","RR","IFX","PBO",12,0,198,51,102,1,198,51,198,51,2004,"L"
"33","50","PBO","MTX",-0.990398704027877,1.59945045507567,0,17,1,19,0.5,FALSE,50,"Hunter_1963","H",1963,0,41,NA,NA,NA,".",NA,NA,NA,NA,NA,".","Matched (3)","RR","RR","PBO","MTX",NA,NA,17,19,0,1,17,19,17,19,NA,NA,NA,17,NA,19,0,FALSE,50,"Hunter_1963","H",1963,0,41,NA,NA,NA,".",NA,NA,NA,NA,NA,".","Matched (3)","RR","RR","PBO","MTX",NA,NA,17,19,0,1,17,19,17,19,1963,"H"
"34","52","CERTO","PBO",3.2017813915089,0.997137926476808,50,118,1,58,0,FALSE,52,"Reich_2012a","L",2012,0,176,43,123,20,"27",82,21,NA,NA,NA,"41","Matched (3)","RR","RR","CERTO","PBO",7,1,118,58,50,1,118,58,118,58,1.23566853513607,1.05694899937301,7,118,1,58,0,FALSE,52,"Reich_2012a","L",2012,0,176,43,123,20,"27",82,21,NA,NA,NA,"41","Matched (3)","RR","RR","CERTO","PBO",7,1,118,58,50,1,118,58,118,58,2012,"L"
"35","55","IFX","PBO",3.95567177009716,1.40954113639737,48,84,0,45,0.5,FALSE,55,"Yang_2012","H",2012,0,129,40,95,16,".",68,NA,NA,NA,NA,".","Matched (3)","RR","RR","IFX","PBO",1,0,84,45,48,0,84,45,84,45,0.479573080261886,1.62260726152758,1,84,0,45,0.5,FALSE,55,"Yang_2012","H",2012,0,129,40,95,16,".",68,NA,NA,NA,NA,".","Matched (3)","RR","RR","IFX","PBO",1,0,84,45,48,0,84,45,84,45,2012,"H"
"36","58","PBO","CICLO",NA,NA,NA,43,NA,84,0,FALSE,58,"Meffert_1997","H",1997,0,127,NA,NA,NA,".",NA,16,NA,NA,NA,".","Matched (3)","RR","RR","PBO","CICLO",0,5,43,84,NA,NA,43,84,43,84,-1.73390467652988,1.4652628967337,0,43,5,84,0.5,FALSE,58,"Meffert_1997","H",1997,0,127,NA,NA,NA,".",NA,16,NA,NA,NA,".","Matched (3)","RR","RR","PBO","CICLO",0,5,43,84,NA,NA,43,84,43,84,1997,"H"
