id,unique_id,studlab,naif,rob,treat,treatdose,n1,n_completers,r1,rPASI75,rPGA,rAE,rSAE,r2,n2,age,male
203,101,Reich_2017_VOYAGE-2,,L,ADA,ADA_AMM,248,248,116,170,168,120,6,5,248,44,551
204,101,Reich_2017_VOYAGE-2,,L,GUSEL,GUSEL_AMM,496,496,347,428,417,235,8,8,496,43,586
203,101,Reich_2017_VOYAGE-2,,L,PBO,PBO,248,248,6,20,21,111,3,3,248,44,174
205,102,Gurel_2015,,H,ACI,ACI_other,25,25,25,25,25,12,0,0,25,.,.
205,102,Gurel_2015,,H,PBO,PBO,25,25,18,23,18,3,0,0,25,56.5,23
206,103,Bagel_2018_CLARITY,,L,SECU,SECU_AMM,550,550,421,504,432,261,14,,550,37,51
206,103,Bagel_2018_CLARITY,,L,USK,USK_45,552,552,299,440,326,256,9,,552,44,55
207,104,Blauvelt_2018_ADACCESS,,L,ADA,ADA_AMM,234,196,88,131,105,123,10,,234,45,68
208,105,Elewski_2018,,L,ADA,ADA_AMM,109,94,47,63,69,64,8,8,109,46,473
208,105,Elewski_2018,,L,PBO,PBO,108,93,7,13,12,61,5,4,108,45,24
209,106,Gerdes_2018_EGALITY,,L,ETA,ETA_AMM,267,241,82,182,134,,,,267,.,.
211,107,"Gordon UltIMMa-1, 2018  ",,L,PBO,PBO,102,98,5,9,8,52,3,3,102,43,7
210,107,"Gordon UltIMMa-1, 2018  ",,L,RISAN,RIZAN_AMM,304,299,229,270,267,151,7,7,304,43,123
212,107,"Gordon UltIMMa-1, 2018  ",,L,USK,USK_45,102,99,42,76,63,50,8,8,102,44.5,32
213,108,"Gordon UltIMMa-2, 2018  ",,L,PBO,PBO,98,94,2,6,5,45,1,1,98,.,.
215,108,"Gordon UltIMMa-2, 2018  ",,L,RISAN,RIZAN_AMM,294,292,220,268,246,134,6,6,294,40,95
214,108,"Gordon UltIMMa-2, 2018  ",,L,USK,USK_45,99,96,47,69,61,53,3,3,99,.,.
218,109,"Gottlieb CIMPASI-1, 2018",,L,CERTO,CERTO_AMM,88,88,38,67,51,57,5,5,88,46,18
217,109,"Gottlieb CIMPASI-1, 2018",,L,PBO,PBO,51,51,1,3,2,28,1,1,51,.,.
220,110,"Gottlieb CIMPASI-2, 2018",,L,CERTO,CERTO_AMM,87,87,48,72,62,60,4,4,87,40,248
219,110,"Gottlieb CIMPASI-2, 2018",,L,PBO,PBO,49,49,2,6,1,33,0,0,49,.,31
223,111,Ikonomidis 2017  ,,H,CICLO,CICLO_AMM,50,,,,,,,,50,.,24
223,111,Ikonomidis 2017  ,,H,ETA,ETA_AMM,50,,,,,,,,50,.,11
222,111,Ikonomidis 2017  ,,H,USK,USK_45,50,,,,,,,,50,45,42
225,112,Jin 2017  ,,H,PBO,PBO,6,,,0,,2,0,0,6,.,.
225,112,Jin 2017  ,,H,TOFA,TOFA_AMM,7,,,7,,2,0,0,7,44,190
228,113,Khatri 2016  ,,H,IXE,IXE_AMM,6,6,5,6,5,5,0,0,6,45.5,276
229,114,"Langley IXORA-P, 2018",,L,IXE,IXE_AMM,611,611,,,,,,0,611,46,458
230,115,"Mehta VIP trial, 2018",,M,ADA,ADA_AMM,33,32,,15,14,7,2,2,33,44,738
230,115,"Mehta VIP trial, 2018",,M,PBO,PBO,31,30,,2,2,15,0,0,31,46,643
231,116,NCT01961609 SIGNATURE  ,,H,SECU,SECU_AMM,119,118,49,77,,,,,119,45,648
232,117,NCT02581345  ,,L,ADA,ADA_AMM,286,271,147,216,179,104,7,6,286,47,207
234,118,Reich a 2019,1,H,FUM,FUM,54,54,5,12,7,39,3,3,54,45,821
235,118,Reich a 2019,1,H,IXE,IXE_AMM,54,54,43,49,45,37,1,1,54,46,918
233,118,Reich a 2019,1,H,MTX,MTX_AMM,54,54,21,38,27,38,1,1,54,46,635
236,119,NCT02660580 AURIEL-PsO  ,,L,ADA,ADA_AMM,221,191,126,175,156,,6,6,221,45,481
237,120,NCT02850965  ,,L,ADA,ADA_AMM,159,157,,111,82,,7,7,159,45,125
238,121,"Ferris ORION, 2019  ",,L,GUSEL,GUSEL_AMM,62,62,47,55,50,39,2,2,62,46,484
238,121,"Ferris ORION, 2019  ",,L,PBO,PBO,16,16,0,0,0,11,0,0,16,45,120
239,122,NCT02951533 POLARIS  ,1,H,FUM,FUM,59,59,8,16,,57,2,2,59,45,1258
239,122,NCT02951533 POLARIS  ,1,H,GUSEL,GUSEL_AMM,60,60,49,54,,44,3,3,60,45,1288
241,123,NCT03000075  ,,L,PBO,PBO,58,54,1,5,6,22,1,1,58,45,270
242,123,NCT03000075  ,,L,RISAN,RIZAN_AMM,55,55,41,52,51,14,2,1,55,44,31
244,124,Ohtsuki 2017  ,,L,APRE,APRE_AMM,85,85,12,24,21,44,0,0,85,43,312
244,124,Ohtsuki 2017  ,,L,PBO,PBO,84,84,1,6,6,35,0,0,84,.,.
246,125,Ohtsuki 2018,,M,GUSEL,GUSEL_AMM,63,63,44,53,56,29,1,1,63,37,48
246,125,Ohtsuki 2018,,M,PBO,PBO,64,64,0,4,5,36,2,1,64,41,176
249,126,"Papp ABP 501, 2017",,L,ADA,ADA_AMM,175,173,82,143,113,110,5,5,175,43.5,145
250,127,"Papp BE ABLE, 2018",,L,BIME,BIME,208,208,142,169,152,126,1,1,208,45,131
250,127,"Papp BE ABLE, 2018",,L,PBO,PBO,42,42,0,2,2,15,1,1,42,49,71
251,128,"Papp NCT02054481, 2017  ",,H,RISAN,RIZAN_other,126,122,78,104,99,97,11,11,126,46,883
251,128,"Papp NCT02054481, 2017  ",,H,USK,USK_45,40,38,16,29,25,29,3,3,40,45,100
252,129,"Papp TYK2, 2018",,L,PBO,PBO,45,45,1,3,3,23,1,1,45,44.5,452
252,129,"Papp TYK2, 2018",,L,TYK2,TYK2,222,222,69,115,122,149,3,3,222,.,.
253,130,"Reich TRANSFIGURE, 2016",,L,PBO,PBO,65,65,1,3,,40,2,1,65,46,50
254,130,"Reich TRANSFIGURE, 2016",,L,SECU,SECU_AMM,66,66,48,58,48,,2,,66,45.5,8
256,131,"Reich IXORA-S, 2017  ",,L,IXE,IXE_AMM,136,132,99,120,112,117,2,,136,44,221
256,131,"Reich IXORA-S, 2017  ",,L,USK,USK_45,166,164,70,114,95,139,0,,166,46,163
257,132,"Reich ReSURFACE-1, 2017  ",,L,PBO,PBO,155,154,4,9,11,74,1,1,155,45,157
258,132,"Reich ReSURFACE-1, 2017  ",,L,TILDRA,TILDRA_AMM,309,309,107,197,179,146,5,4,309,44,608
265,133,"Reich ReSURFACE-2, 2017",,L,ETA,ETA_AMM,313,313,67,151,149,169,7,,313,44,692
261,133,"Reich ReSURFACE-2, 2017",,L,PBO,PBO,156,156,2,9,7,86,4,,156,43,25
265,133,"Reich ReSURFACE-2, 2017",,L,TILDRA,TILDRA_AMM,307,307,119,188,168,136,4,,307,45,732
266,134,"Sticherling PRIME, 2017",1,H,FUM,FUM,97,95,8,26,12,85,4,2,97,46,184
266,134,"Sticherling PRIME, 2017",1,H,SECU,SECU_AMM,105,105,72,93,80,75,4,4,105,47,183
274,135,Zhang 2017,,M,PBO,PBO,88,88,3,11,17,23,0,,88,42,329
275,135,Zhang 2017,,M,TOFA,TOFA_AMM,90,90,54,73,68,59,0,,90,48,361
278,136,"Lebwohl CIMPACT, 2018",,M,CERTO,CERTO_AMM,167,167,57,111,84,82,4,,167,47,336
279,136,"Lebwohl CIMPACT, 2018",,M,ETA,ETA_AMM,170,170,46,91,67,78,1,,170,46,162
279,136,"Lebwohl CIMPACT, 2018",,M,PBO,PBO,57,57,0,3,1,32,5,,57,45,127
283,137,Lee 2016,1,H,ACI,ACI_other,19,18,,4,1,10,1,1,19,51,93
283,137,Lee 2016,1,H,ETA,ETA_AMM,21,21,,11,9,14,0,0,21,48,11
284,138,EUCTR2015-003623-65-DE  ,,L,ADA,ADA_AMM,304,304,144,218,183,71,9,9,304,47,8
284,138,EUCTR2015-003623-65-DE  ,,L,RISAN,RIZAN_AMM,301,301,218,273,252,76,10,10,301,47.5,810
285,139,NCT02672852 IMMhance,,L,PBO,PBO,100,100,2,8,7,17,8,8,100,43,67
285,139,NCT02672852 IMMhance,,L,RISAN,RIZAN_AMM,407,407,298,361,340,52,8,8,407,46,132
286,140,NCT02134210,,M,ETA,ETA_AMM,260,228,57,142,154,156,10,9,260,45,377
287,141,"Yu, 2019",,H,ETA,ETA_AMM,15,15,6,10,,5,0,0,15,42,121
287,141,"Yu, 2019",,H,MTX,MTX_AMM,15,15,9,12,,9,0,0,15,44,295
288,142,"Hodge PsOsim, 2017",,H,ADA,ADA_AMM,271,271,,203,,38,6,6,271,43,203
289,143,NCT02559622 von Stebut CARIMA 2019,,H,PBO,PBO,49,49,0,0,,35,2,2,49,46,53
291,143,NCT02559622 von Stebut CARIMA 2019,,H,SECU,SECU_AMM,48,48,27,39,,29,1,1,48,42,82
292,144,Reich 2019,,L,MIRI,MIRI,153,153,79,105,90,74,2,2,153,52,143
292,144,Reich 2019,,L,PBO,PBO,52,52,0,2,1,25,1,1,52,50.5,202
293,145,"NCT02187172 Gelfand VIP-U, 2020",,M,PBO,PBO,21,19,0,2,2,5,0,0,21,49,145
293,145,"NCT02187172 Gelfand VIP-U, 2020",,M,USK,USK_45,22,22,9,17,14,7,0,0,22,44,228
294,146,"NCT02313922 Liu, 2019",,H,MTX,MTX_AMM,233,226,145,185,141,118,3,3,233,44,163
294,146,"NCT02313922 Liu, 2019",,H,PBO,PBO,233,229,97,150,94,78,6,5,233,46,109
295,147,"NCT02690701 Gelfand VIP-S, 2020",,L,PBO,PBO,45,45,0,0,0,16,0,0,45,45,194
295,147,"NCT02690701 Gelfand VIP-S, 2020",,L,SECU,SECU_AMM,46,46,34,39,36,26,2,2,46,44,160
296,148,NCT02748863 ALLURE,,L,PBO,PBO,71,71,1,1,1,29,2,2,71,43,202
296,148,NCT02748863 ALLURE,,L,SECU,SECU_AMM,143,143,98,122,104,72,1,1,143,47,533
299,149,NCT03051217,,L,CERTO,CERTO_AMM,53,53,40,46,35,,,,53,45,554
299,149,NCT03051217,,L,PBO,PBO,26,26,0,2,0,17,1,-5,26,43,124
302,150,NCT03066609,,L,PBO,PBO,135,135,2,6,4,71,2,1,135,41,194
304,150,NCT03066609,,L,SECU,SECU_AMM,272,272,210,254,214,221,9,9,272,46,381
305,151,"Reich ECLIPSE, 2019",,L,GUSEL,GUSEL_AMM,534,534,369,477,463,,,,534,39,48
305,151,"Reich ECLIPSE, 2019",,L,SECU,SECU_AMM,514,514,391,471,445,,,,514,46,422
306,152,NCT03255382,1,M,FUM,FUM,60,60,6,20,23,54,2,2,60,49,356
