,studlab,treat1,treat2,id,TE,seTE,type_outcome1,n1,n2,rob,TE2,seTE2,type_outcome2,n21,n22,treat1_class,treat2_class,year,age
120,Reich_2016_LIBERATE,ETA,PBO,99,1.746577246,0.606798078,binary,83,84,M,1.621342815,1.54148942,binary,83,84,ATA,PBO,2016,44
121,Reich_2017_VOYAGE-2,ADA,GUSEL,101,-0.402587408,0.073852197,binary,248,496,L,0.405465108,0.534432671,binary,248,496,ATA,AIL23,2017,46
122,Reich_2017_VOYAGE-2,ADA,PBO,101,2.961830722,0.408928894,binary,248,248,L,0.693147181,0.701381126,binary,248,248,ATA,PBO,2017,45
123,Reich_2017_VOYAGE-2,GUSEL,PBO,101,3.36441813,0.404351486,binary,496,248,L,0.287682072,0.672521335,binary,496,248,AIL23,PBO,2017,44
124,Rich_2013,PBO,SECU,12,-2.67506913,0.997900746,binary,67,337,L,-0.869516339,1.032201822,binary,67,337,PBO,AIL17,2013,43
125,Sandhu_2003,CICLO,MTX,17,NA,NA,binary,NA,NA,H,NA,NA,NA,NA,NA,CSA,CSA,2003,47
126,Strober_2011,ETA,PBO,89,1.539416763,0.591005277,binary,139,72,L,-1.350954995,1.216107259,binary,139,72,ATA,PBO,2011,45
127,Thaçi_2015_CLEAR,SECU,USK,76,0.319176091,0.055245039,binary,337,339,L,0.005917177,0.440548282,binary,337,339,AIL17,AIL1223,2015,45
128,Torii_2010,IFX,PBO,19,3.064443415,1.404218995,binary,35,19,M,-0.610909082,1.38520648,binary,35,19,ATA,PBO,2010,45
129,Tsai_2011_PEARL,PBO,USK,6,-3.38466808,1.000136603,binary,60,61,L,1.625831722,1.538574311,binary,60,61,PBO,AIL1223,2011,43
130,Tyring_2006,ETA,PBO,32,2.781641273,0.508854533,binary,311,309,L,0.686695545,0.702529942,binary,311,309,ATA,PBO,2006,41
131,"Van Voorhees STYLE, 2020",APRE,PBO,154,NA,NA,binary,201,102,L,0.014815086,1.218696416,binary,201,102,SM,PBO,2020,46
132,Vandekerkhof_2008,ETA,PBO,33,1.829242562,1.022138582,binary,96,46,L,-1.141171903,0.895085212,binary,96,46,ATA,PBO,2008,46
133,"Warren IMMerge, 2020",RISAN,SECU,157,0.116845484,0.073332986,binary,164,163,M,0.399348881,0.515310826,binary,164,163,AIL23,AIL17,2020,46
134,Warren_2016_METOP,MTX,PBO,92,2.364558853,1.419781249,binary,91,29,L,-2.529858038,1.097510014,binary,91,29,CSA,PBO,2016,46
135,Yang_2012,IFX,PBO,56,3.95567177,1.409541136,binary,84,45,H,0.47957308,1.622607262,binary,84,45,ATA,PBO,2012,49
136,Zhang 2017,PBO,TOFA,135,-2.867898902,0.573913848,binary,88,90,M,NA,NA,binary,88,90,PBO,SM,2017,52
137,Zhu_2013_LOTUS,PBO,USK,60,NA,NA,binary,162,160,M,-0.01242252,1.409814584,binary,162,160,PBO,AIL1223,2013,45.2
