"","studlab","treat1","treat2","TE","seTE","event1.x","n1","event2.x","n2","incr.x","allstudies.x","studlab.orig.x","name.x","rob","year","funding.x","co_intervention.x","sample_size.x","age.x","male.x","duration_pso.x","weight.x","pasi_score.x","previous_topical.x","previous_photo.x","previous_systemic.x","effect_size1","effect_size2","treat.orig1.x","treat.orig2.x","r1.x","r2.x","n.orig1.x","n.orig2.x","z11.x","z12.x","nz1.x","nz2.x","TE2","seTE2","event1.y","n1.y","event2.y","n2.y","incr.y","allstudies.y","studlab.orig.y","name.y","rob.y","year.y","funding.y","co_intervention.y","sample_size.y","age.y","male.y","duration_pso.y","weight.y","pasi_score.y","previous_topical.y","previous_photo.y","previous_systemic.y","effect_size1.y","effect_size2.y","treat.orig1.y","treat.orig2.y","r1.y","r2.y","n.orig1.y","n.orig2.y","z11.y","z12.y","n2.1","n2.2"
"23","25","ETA","PBO",2.70805020110221,1.0170587997508,15,62,1,62,0,FALSE,25,"Bagel 2012","L",2012,1,0,124,40.5,69,15,NA,15.5,NA,NA,NA,"RR","RR","ETA","PBO",15,1,62,62,NA,NA,62,62,NA,NA,NA,62,NA,62,0,FALSE,25,"Bagel 2012","L",2012,1,0,124,40.5,69,15,NA,15.5,NA,NA,NA,"RR","RR","ETA","PBO",15,1,62,62,NA,NA,62,62
"24","29","ETA","PBO",2.99573227355399,1.00435559376655,60,504,1,168,0,FALSE,29,"Leonardi_2003","L",2003,1,0,672,45,439,19,NA,18,NA,NA,NA,"RR","RR","ETA","PBO",60,1,504,168,NA,NA,504,168,NA,NA,NA,504,NA,168,0,FALSE,29,"Leonardi_2003","L",2003,1,0,672,45,439,19,NA,18,NA,NA,NA,"RR","RR","ETA","PBO",60,1,504,168,NA,NA,504,168
"25","30","ETA","PBO",3.38684425230734,1.0047836529826,59,407,1,204,0,FALSE,30,"Papp_2005","M",2005,1,0,611,45,382,19,NA,16.5,NA,NA,NA,"RR","RR","ETA","PBO",59,1,407,204,NA,NA,407,204,NA,NA,NA,407,NA,204,0,FALSE,30,"Papp_2005","M",2005,1,0,611,45,382,19,NA,16.5,NA,NA,NA,"RR","RR","ETA","PBO",59,1,407,204,NA,NA,407,204
"26","31","PBO","ETA",-2.78164127349426,0.508854532598779,4,309,65,311,0,FALSE,31,"Tyring_2006","L",2006,1,0,620,46,419,20,NA,18,NA,NA,NA,"RR","RR","PBO","ETA",4,65,309,311,3,6,309,311,-0.686695545278457,0.702529942395131,3,309,6,311,0,FALSE,31,"Tyring_2006","L",2006,1,0,620,46,419,20,NA,18,NA,NA,NA,"RR","RR","PBO","ETA",4,65,309,311,3,6,309,311
"27","32","ETA","PBO",1.8292425624828,1.02213858151506,13,96,1,46,0,FALSE,32,"Vandekerkhof_2008","L",2008,1,0,143,45,84,18,NA,21,NA,NA,NA,"RR","RR","ETA","PBO",13,1,96,46,2,3,96,46,-1.14117190308691,0.895085211715557,2,96,3,46,0,FALSE,32,"Vandekerkhof_2008","L",2008,1,0,143,45,84,18,NA,21,NA,NA,NA,"RR","RR","ETA","PBO",13,1,96,46,2,3,96,46
"28","35","MTX","FUM",0.693147180559945,1.19721899973786,2,30,1,30,0,FALSE,35,"Fallaharani_2011","H",2011,0,0,60,42,36,16.5,85,16.5,50,29,33,"RR","RR","MTX","FUM",2,1,30,30,NA,NA,30,30,NA,NA,NA,30,NA,30,0,FALSE,35,"Fallaharani_2011","H",2011,0,0,60,42,36,16.5,85,16.5,50,29,33,"RR","RR","MTX","FUM",2,1,30,30,NA,NA,30,30
"29","38","IXE","PBO",3.30984760307393,1.4044107872436,57,115,0,27,0.5,FALSE,38,"Leonardi_2012","L",2012,1,0,142,46,81,16,93,18,NA,NA,NA,"RR","RR","IXE","PBO",57,0,115,27,2,1,115,27,-0.755948081798976,1.20593006048819,2,115,1,27,0,FALSE,38,"Leonardi_2012","L",2012,1,0,142,46,81,16,93,18,NA,NA,NA,"RR","RR","IXE","PBO",57,0,115,27,2,1,115,27
"30","40","IFX","PBO",4.44955112399001,0.998735891190868,258,627,1,208,0,FALSE,40,"EXPRESS-II_2007","L",2007,1,0,835,44,551,18,92,20,768,NA,NA,"RR","RR","IFX","PBO",258,1,627,208,12,5,627,208,-0.227939723577703,0.526242097037003,12,627,5,208,0,FALSE,40,"EXPRESS-II_2007","L",2007,1,0,835,44,551,18,92,20,768,NA,NA,"RR","RR","IFX","PBO",258,1,627,208,12,5,627,208
"31","42","PBO","IFX",-3.26853141531406,0.992544998164248,1,51,102,198,0,FALSE,42,"Gottlieb_2004a","L",2004,1,0,249,44,174,17,NA,19,226,171,216,"RR","RR","PBO","IFX",1,102,51,198,0,12,51,198,-1.86966853241065,1.43371710629975,0,51,12,198,0.5,FALSE,42,"Gottlieb_2004a","L",2004,1,0,249,44,174,17,NA,19,226,171,216,"RR","RR","PBO","IFX",1,102,51,198,0,12,51,198
"32","50","MTX","PBO",0.990398704027877,1.59945045507567,1,19,0,17,0.5,FALSE,50,"Hunter_1963","H",1963,0,0,41,NA,NA,NA,NA,NA,NA,NA,NA,"RR","RR","MTX","PBO",1,0,19,17,NA,NA,19,17,NA,NA,NA,19,NA,17,0,FALSE,50,"Hunter_1963","H",1963,0,0,41,NA,NA,NA,NA,NA,NA,NA,NA,"RR","RR","MTX","PBO",1,0,19,17,NA,NA,19,17
"33","52","CERTO","PBO",3.2017813915089,0.997137926476808,50,118,1,58,0,FALSE,52,"Reich_2012a","L",2012,1,0,176,43,123,20,82,21,NA,NA,NA,"RR","RR","CERTO","PBO",50,1,118,58,7,1,118,58,1.23566853513607,1.05694899937301,7,118,1,58,0,FALSE,52,"Reich_2012a","L",2012,1,0,176,43,123,20,82,21,NA,NA,NA,"RR","RR","CERTO","PBO",50,1,118,58,7,1,118,58
"34","55","IFX","PBO",3.95567177009716,1.40954113639737,48,84,0,45,0.5,FALSE,55,"Yang_2012","H",2012,0,0,129,40,95,16,68,NA,NA,NA,NA,"RR","RR","IFX","PBO",48,0,84,45,1,0,84,45,0.479573080261886,1.62260726152758,1,84,0,45,0.5,FALSE,55,"Yang_2012","H",2012,0,0,129,40,95,16,68,NA,NA,NA,NA,"RR","RR","IFX","PBO",48,0,84,45,1,0,84,45
"35","58","CICLO","PBO",NA,NA,NA,84,NA,43,0,FALSE,58,"Meffert_1997","H",1997,NA,0,127,NA,NA,NA,NA,16,NA,NA,NA,"RR","RR","CICLO","PBO",NA,NA,84,43,5,0,84,43,1.73390467652988,1.4652628967337,5,84,0,43,0.5,FALSE,58,"Meffert_1997","H",1997,NA,0,127,NA,NA,NA,NA,16,NA,NA,NA,"RR","RR","CICLO","PBO",NA,NA,84,43,5,0,84,43
"36","59","USK","PBO",NA,NA,NA,160,NA,162,0,FALSE,59,"LOTUS_2013","M",2013,1,0,322,40,248,14,70,23,309,120,132,"RR","RR","USK","PBO",NA,NA,160,162,1,1,160,162,0.0124225199985573,1.40981458372859,1,160,1,162,0,FALSE,59,"LOTUS_2013","M",2013,1,0,322,40,248,14,70,23,309,120,132,"RR","RR","USK","PBO",NA,NA,160,162,1,1,160,162
"37","66","APRE","PBO",1.79538923727863,0.728549192723943,24,275,2,138,0,FALSE,66,"ESTEEM-2_2015","L",2015,1,0,413,45.5,276,18.5,91,19.5,NA,NA,159,"RR","RR","APRE","PBO",24,2,275,138,5,3,275,138,-0.178691788743376,0.722807438316302,5,275,3,138,0,FALSE,66,"ESTEEM-2_2015","L",2015,1,0,413,45.5,276,18.5,91,19.5,NA,NA,159,"RR","RR","APRE","PBO",24,2,275,138,5,3,275,138
"38","67","PBO","ETA",-3.54715129428524,0.998510795897475,1,108,108,336,0,FALSE,67,"Bachelez_2015","L",2015,1,0,444,44,304,17.5,81,19.5,NA,318,NA,"RR","RR","PBO","ETA",1,108,108,336,2,7,108,336,-0.117783035656384,0.794116926605707,2,108,7,336,0,FALSE,67,"Bachelez_2015","L",2015,1,0,444,44,304,17.5,81,19.5,NA,318,NA,"RR","RR","PBO","ETA",1,108,108,336,2,7,108,336
"39","68","GUSEL","ADA",0.0539340353291869,0.186754788524159,97,208,19,43,0,FALSE,68,"Gordon_2015_X-PLORE","H",2015,1,0,293,47,207,19,92,21,283,154,147,"RR","RR","GUSEL","ADA",97,19,208,43,3,1,208,43,-0.477725675339646,1.14248405987661,3,208,1,43,0,FALSE,68,"Gordon_2015_X-PLORE","H",2015,1,0,293,47,207,19,92,21,283,154,147,"RR","RR","GUSEL","ADA",97,19,208,43,3,1,208,43
"40","68","GUSEL","PBO",2.97484251708543,0.990803745568869,97,208,1,42,0,FALSE,68,"Gordon_2015_X-PLORE","H",2015,1,0,293,47,207,19,92,21,283,154,147,"RR","RR","GUSEL","PBO",97,1,208,42,3,1,208,42,-0.50125617274984,1.14224170700256,3,208,1,42,0,FALSE,68,"Gordon_2015_X-PLORE","H",2015,1,0,293,47,207,19,92,21,283,154,147,"RR","RR","GUSEL","PBO",97,1,208,42,3,1,208,42
"41","68","PBO","ADA",-2.92090848175625,1.0027792584534,1,42,19,43,0,FALSE,68,"Gordon_2015_X-PLORE","H",2015,1,0,293,47,207,19,92,21,283,154,147,"RR","RR","PBO","ADA",1,19,42,43,1,1,42,43,0.023530497410194,1.39747438696993,1,42,1,43,0,FALSE,68,"Gordon_2015_X-PLORE","H",2015,1,0,293,47,207,19,92,21,283,154,147,"RR","RR","PBO","ADA",1,19,42,43,1,1,42,43
"42","69","ETA","IXE",-1.24791868319831,0.11356590371365,67,358,455,698,0,FALSE,69,"UNCOVER-2_2015","L",2015,1,0,1224,45,821,19,91,21,1007,570,606,"RR","RR","ETA","IXE",67,455,358,698,8,13,358,698,0.182178300579971,0.44463143847151,8,358,13,698,0,FALSE,69,"UNCOVER-2_2015","L",2015,1,0,1224,45,821,19,91,21,1007,570,606,"RR","RR","ETA","IXE",67,455,358,698,8,13,358,698
"43","69","ETA","PBO",3.44812361239352,1.00308508915872,67,358,1,168,0,FALSE,69,"UNCOVER-2_2015","L",2015,1,0,1224,45,821,19,91,21,1007,570,606,"RR","RR","ETA","PBO",67,1,358,168,8,2,358,168,0.629725354122449,0.78501867682128,8,358,2,168,0,FALSE,69,"UNCOVER-2_2015","L",2015,1,0,1224,45,821,19,91,21,1007,570,606,"RR","RR","ETA","PBO",67,1,358,168,8,2,358,168
"44","69","PBO","IXE",-4.69604229559184,0.997403006055714,1,168,455,698,0,FALSE,69,"UNCOVER-2_2015","L",2015,1,0,1224,45,821,19,91,21,1007,570,606,"RR","RR","PBO","IXE",1,455,168,698,2,13,168,698,-0.447547053542478,0.754677435209407,2,168,13,698,0,FALSE,69,"UNCOVER-2_2015","L",2015,1,0,1224,45,821,19,91,21,1007,570,606,"RR","RR","PBO","IXE",1,455,168,698,2,13,168,698
"45","70","PBO","ETA",-2.11047758974083,0.411183170985803,6,193,98,382,0,FALSE,70,"UNCOVER-3_2015","L",2015,1,0,1346,46,918,18,91,21,1063,522,615,"RR","RR","PBO","ETA",6,98,193,382,5,5,193,382,0.68273041970169,0.626259412546127,5,193,5,382,0,FALSE,70,"UNCOVER-3_2015","L",2015,1,0,1346,46,918,18,91,21,1063,522,615,"RR","RR","PBO","ETA",6,98,193,382,5,5,193,382
"46","70","PBO","IXE",-3.06546561156867,0.402658450733394,6,193,514,771,0,FALSE,70,"UNCOVER-3_2015","L",2015,1,0,1346,46,918,18,91,21,1063,522,615,"RR","RR","PBO","IXE",6,514,193,771,5,15,193,771,0.286385895990334,0.510086563884198,5,193,15,771,0,FALSE,70,"UNCOVER-3_2015","L",2015,1,0,1346,46,918,18,91,21,1063,522,615,"RR","RR","PBO","IXE",6,514,193,771,5,15,193,771
