studlab,id,treat1,treat2,TE1,seTE1,pasi90,n11,sae,n21,co_intervention.x,sample_size.x,age1,age2,male1,male2,duration_pso.x,bmi1,bmi2,weight1,weight2,previous_topical,previous_photo,previous_systemic,previous_bio,treat1_class,treat2_class,TE2,seTE2,year,bias,rob,n12,n22,outcome1_direction,outcome2_direction
UNCOVER-2_2015,69,IXE,PBO,4.696042296,0.997403006,455,698,1,168,0,1224,45,45,821,821,19,31,31,91,91,1007,570,606,288,AIL17,PBO,0.447547054,0.754677435,2015,L,1,698,168,beneficial,harmful
UNCOVER-3_2015,70,ETA,IXE,-0.954988022,0.090745738,98,382,514,771,0,1346,46,46,918,918,18,30.5,30.5,91,91,1063,522,615,209,ATA,AIL17,-0.396344524,0.512593259,2015,L,1,382,771,beneficial,harmful
UNCOVER-3_2015,70,ETA,PBO,2.11047759,0.411183171,98,382,6,193,0,1346,46,46,918,918,18,30.5,30.5,91,91,1063,522,615,209,ATA,PBO,-0.68273042,0.626259413,2015,L,1,382,193,beneficial,harmful
UNCOVER-3_2015,70,PBO,IXE,-3.065465612,0.402658451,6,193,514,771,0,1346,46,46,918,918,18,30.5,30.5,91,91,1063,522,615,209,PBO,AIL17,0.286385896,0.510086564,2015,L,1,193,771,beneficial,harmful
CLEAR_2015,72,USK,SECU,-0.319176091,0.055245039,193,339,264,337,0,676,45,45,481,481,18,29,29,87,87,NA,NA,441,92,AIL1223,AIL17,-0.005917177,0.440548282,2015,L,1,339,337,beneficial,harmful
JUNCTURE_2015,73,SECU,PBO,4.06405504,1.411701346,57,121,0,61,0,182,45,45,125,125,21,.,.,91,91,NA,NA,90,43,AIL17,PBO,0.70137768,1.106951713,2015,L,1,121,61,beneficial,harmful
AMAGINE-1 2016,74,PBO,BRODA,-4.229133553,0.705319208,2,220,186,298,0,661,46,46,484,484,20,.,.,91,91,NA,NA,NA,305,PBO,AIL17,-0.38968124,0.70149757,2016,L,1,220,298,beneficial,harmful
Nakagawa_2016,75,PBO,BRODA,-3.069081424,0.990181626,1,38,64,113,0,151,45,45,120,120,15,.,.,74,74,NA,NA,NA,16,PBO,AIL17,-0.00881063,1.139371751,2015,H,3,38,113,beneficial,harmful
AMAGINE-2_2015,76,PBO,BRODA,-2.916925504,0.311950978,10,309,731,1222,0,1831,45,45,1258,1258,19,31,31,91,91,NA,NA,NA,530,PBO,AIL17,0.509905425,0.416625734,2015,M,2,309,1222,beneficial,harmful
AMAGINE-2_2015,76,PBO,USK,-2.6757336,0.317053023,10,309,141,300,0,1831,45,45,1258,1258,19,31,31,91,91,NA,NA,NA,530,PBO,AIL1223,0.663588378,0.606984696,2015,M,2,309,300,beneficial,harmful
AMAGINE-2_2015,76,USK,BRODA,-0.241191904,0.065639346,141,300,731,1222,0,1831,45,45,1258,1258,19,31,31,91,91,NA,NA,NA,530,AIL1223,AIL17,-0.153682953,0.546333154,2015,M,2,300,1222,beneficial,harmful
AMAGINE-3_2015,77,USK,BRODA,-0.237002306,0.063570339,149,313,756,1253,0,1881,45,45,1288,1288,18,30,30,89,89,NA,NA,NA,468,AIL1223,AIL17,-0.864199034,0.740701428,2015,M,2,313,1253,beneficial,harmful
AMAGINE-3_2015,77,USK,PBO,3.400877842,0.447595708,149,313,5,315,0,1881,45,45,1288,1288,18,30,30,89,89,NA,NA,NA,468,AIL1223,PBO,-0.39909566,0.909375523,2015,M,2,313,315,beneficial,harmful
AMAGINE-3_2015,77,PBO,BRODA,-3.637880148,0.444240997,5,315,756,1253,0,1881,45,45,1288,1288,18,30,30,89,89,NA,NA,NA,468,PBO,AIL17,-0.465103374,0.618055195,2015,M,2,315,1253,beneficial,harmful
Papp_2015,78,PBO,TILDRA,-2.74926047,0.99224414,1,46,105,309,0,355,45,45,270,270,NA,29,29,NA,NA,NA,NA,NA,95,PBO,AIL23,-0.301718798,1.482391928,2015,M,2,46,309,beneficial,harmful
PIECE_2016,79,ETA,IFX,-2.219203484,1.008227028,1,23,10,25,0,48,44,44,31,31,20,.,.,NA,NA,NA,NA,NA,.,ATA,ATA,0.083381609,1.384384968,2016,H,3,23,25,beneficial,harmful
Cai_2016,80,PBO,ADA,-2.780691897,0.569385326,3,87,188,338,0,425,43,43,312,312,15,24,24,70,70,NA,NA,NA,.,PBO,ATA,1.069455704,0.754241673,2016,L,1,87,338,beneficial,harmful
Reich_2015,81,PBO,SECU,-2.288676663,1.384644934,0,10,42,90,0,100,NA,NA,NA,NA,NA,.,.,NA,NA,NA,NA,NA,.,PBO,AIL17,-0.554075608,1.423743486,2015,L,1,10,90,beneficial,harmful
Gottlieb_2011,84,PBO,ETA,-2.767255376,1.004243471,1,68,33,141,0,209,43.5,43.5,145,145,18,.,.,95,95,192,53,56,30,PBO,ATA,0.729252185,1.406485663,2011,L,1,68,141,beneficial,harmful
Strober_2011,85,PBO,ETA,-1.539416763,0.591005277,3,72,27,139,0,211,45,45,131,131,15,.,.,95,95,202,39,64,14,PBO,ATA,1.350954995,1.216107259,2011,L,1,72,139,beneficial,harmful
UNCOVER-1_2016,86,IXE,PBO,4.983551192,0.705854255,586,865,2,431,0,1296,46,46,883,883,20,.,.,92,92,NA,1261,684,522,AIL17,PBO,0.584312429,0.502074995,2016,L,1,865,431,beneficial,harmful
METOP_2017,87,PBO,MTX,-2.364558853,1.419781249,0,29,16,91,0,120,45,45,100,100,18,30,30,93,93,NA,8,36,6,PBO,CSA,2.529858038,1.097510014,2016,L,1,29,91,beneficial,harmful
BRIDGE_2017,88,PBO,FUM,-1.497380504,0.408343501,6,138,110,566,0,704,44.5,44.5,452,452,NA,.,.,NA,NA,NA,NA,NA,.,PBO,CSA,0.187564961,0.499810332,2016,H,3,138,566,beneficial,harmful
Papp_2012c,91,APRE,PBO,1.992430165,1.015038438,22,264,1,88,0,352,44,44,221,221,19,31,31,92,92,NA,NA,176,.,SM,PBO,0.15415068,0.792278756,2012,L,1,264,88,beneficial,harmful
Papp_2013b,92,APRE,PBO,NA,NA,NA,173,NA,87,0,260,46,46,163,163,19,.,.,NA,NA,NA,NA,NA,.,SM,PBO,-1.380530656,0.855993809,2013,H,3,173,87,beneficial,harmful
LIBERATE_2017,93,ETA,APRE,0.348306694,0.343599297,17,83,12,83,0,250,45,45,157,157,18,29.5,29.5,88.5,88.5,NA,NA,194,,ATA,SM,-0.336472237,0.81348767,2016,M,2,83,83,beneficial,harmful
LIBERATE_2017,93,ETA,PBO,1.746577246,0.606798078,17,83,3,84,0,250,45,45,157,157,18,29.5,29.5,88.5,88.5,NA,NA,194,,ATA,PBO,1.621342815,1.54148942,2016,M,2,83,84,beneficial,harmful
LIBERATE_2017,93,PBO,APRE,-1.398270552,0.626668742,3,84,12,83,0,250,45,45,157,157,18,29.5,29.5,88.5,88.5,NA,NA,194,,PBO,SM,-1.957815052,1.503962738,2016,M,2,84,83,beneficial,harmful
VOYAGE-1_2016,94,GUSEL,ADA,0.387892387,0.06434243,241,329,166,334,0,837,44,44,608,608,17.5,30,30,NA,NA,762,454,517,175,AIL23,ATA,0.302765315,0.534446575,2016,L,1,329,334,beneficial,harmful
VOYAGE-1_2016,94,GUSEL,PBO,3.23835657,0.441998572,241,329,5,174,0,837,44,44,608,608,17.5,30,30,NA,NA,762,454,517,175,AIL23,PBO,0.343826801,0.670482433,2016,L,1,329,174,beneficial,harmful
VOYAGE-1_2016,94,ADA,PBO,2.850464182,0.444165462,166,334,5,174,0,837,44,44,608,608,17.5,30,30,NA,NA,762,454,517,175,ATA,PBO,0.041061487,0.70089861,2016,L,1,334,174,beneficial,harmful
VOYAGE-2_2017,95,PBO,ADA,-2.961830722,0.408928894,6,248,116,248,0,992,44,44,692,692,18,30,30,NA,NA,947,565,639,204,PBO,ATA,-0.693147181,0.701381126,2016,L,1,248,248,beneficial,harmful
VOYAGE-2_2017,95,PBO,GUSEL,-3.36441813,0.404351486,6,248,347,496,0,992,44,44,692,692,18,30,30,NA,NA,947,565,639,204,PBO,AIL23,-0.287682072,0.672521335,2016,L,1,248,496,beneficial,harmful
VOYAGE-2_2017,95,GUSEL,ADA,0.402587408,0.073852197,347,496,116,248,0,992,44,44,692,692,18,30,30,NA,NA,947,565,639,204,AIL23,ATA,-0.405465108,0.534432671,2016,L,1,496,248,beneficial,harmful
CLARITY_2018,97,USK,SECU,-0.345819028,0.045716545,299,552,421,550,0,1102,45,45,732,732,17,.,.,92,92,NA,NA,NA,240,AIL1223,AIL17,-0.44546252,0.42297743,2018,L,1,552,550,beneficial,harmful
Elewski_2016,99,ADA,PBO,1.895020798,0.381706913,47,109,7,108,0,217,47,47,183,183,19,29,29,90,90,NA,NA,NA,.,ATA,PBO,0.460786974,0.553684413,2016,L,1,109,108,beneficial,harmful
UltIMMa-1_2018 Ê,101,RISAN,PBO,2.732229203,0.437348164,229,304,5,102,0,506,48,48,361,361,NA,29.5,29.5,NA,NA,NA,NA,NA,174,AIL23,PBO,-0.244757028,0.680512366,2018,L,1,304,102,beneficial,harmful
UltIMMa-1_2018 Ê,101,RISAN,USK,0.58419487,0.12201173,229,304,42,100,0,506,48,48,361,361,NA,29.5,29.5,NA,NA,NA,NA,NA,174,AIL23,AIL1223,-1.245388908,0.504546994,2018,L,1,304,100,beneficial,harmful
UltIMMa-1_2018 Ê,101,PBO,USK,-2.148034333,0.451669793,5,102,42,100,0,506,48,48,361,361,NA,29.5,29.5,NA,NA,NA,NA,NA,174,PBO,AIL1223,-1.00063188,0.662215533,2018,L,1,102,100,beneficial,harmful
UltIMMa-2_2018 Ê,102,USK,PBO,3.14684805,0.707793405,47,99,2,98,0,491,47,47,336,336,NA,31,31,NA,NA,NA,NA,NA,203,AIL1223,PBO,1.088459917,1.145874444,2018,L,1,99,98,beneficial,harmful
UltIMMa-2_2018 Ê,102,USK,RISAN,-0.455020027,0.110994052,47,99,220,294,0,491,47,47,336,336,NA,31,31,NA,NA,NA,NA,NA,203,AIL1223,AIL23,0.395312737,0.69749382,2018,L,1,99,294,beneficial,harmful
UltIMMa-2_2018 Ê,102,PBO,RISAN,-3.601868077,0.700671116,2,98,220,294,0,491,47,47,336,336,NA,31,31,NA,NA,NA,NA,NA,203,PBO,AIL23,-0.693147181,1.073806884,2018,L,1,98,294,beneficial,harmful
CIMPASI-1_2018,103,PBO,CERTO,-2.999005599,0.994392561,1,51,72,183,0,234,46,46,162,162,17,31,31,93,93,NA,NA,NA,74,PBO,ATA,-0.668249629,1.057253432,2018,L,1,51,183,beneficial,harmful
CIMPASI-2_2018,104,CERTO,PBO,2.570766459,0.696060468,95,178,2,49,0,227,45,45,127,127,17,31,31,93,93,NA,NA,NA,76,ATA,PBO,1.282333426,1.458780961,2018,L,1,178,49,beneficial,harmful
VIP trial_2018 Ê,108,PBO,ADA,NA,NA,NA,31,NA,33,0,96,43,43,67,67,13,32,32,NA,NA,NA,29,31,29,PBO,ATA,-1.547880019,1.529183842,2018,M,2,31,33,beneficial,harmful
ORION_2020Ê,114,PBO,GUSEL,-3.222070716,1.39443414,0,16,47,62,0,78,46,46,53,53,19,31,31,NA,NA,NA,NA,NA,,PBO,AIL23,-0.277631737,1.524268329,2019,L,1,16,62,beneficial,harmful
SustaIMM_2019,116,PBO,RISAN,-3.775706448,0.992811044,1,58,85,113,0,171,52,52,143,143,NA,26.5,26.5,74,74,NA,NA,NA,38,PBO,AIL23,-0.719349553,1.106304236,2019,L,1,58,113,beneficial,harmful
