studlab,treat1,treat2,TE,seTE,n1,n2,rob,type_outcome1,TE2,treat1_2,treat2_2,seTE2,type_outcome2,year_publication,r1,r2,z1,z2,male,sample_size,n2.1,n2.2,perc of males,age,treat1_class,treat2_class,year
76,SECU,USK,0.316248453,0.054682167,334,335,1,binary,0.002989539,SECU,USK,0.440478051,binary,2015,264,193,10,10,481,676,334,335,0.711538462,45,1,1,2015
77,PBO,SECU,-4.221086429,1.41317432,61,60,1,binary,-0.016529302,PBO,SECU,1.402476342,binary,2015,0,33,1,1,125,182,61,60,0.686813187,45,1,1,2015
78,BRODA,PBO,4.347658991,0.705237759,222,220,1,binary,0.278632237,BRODA,PBO,0.757814868,binary,2016,156,2,4,3,484,661,222,220,0.732223903,46,1,1,2016
79,BRODA,PBO,3.553028772,0.987962018,37,38,3,binary,0.026668247,BRODA,PBO,1.395226571,binary,2015,34,1,1,1,120,151,37,38,0.794701987,45,1,1,2015
80,BRODA,PBO,3.07780911,0.312178392,612,309,2,binary,-0.56560797,BRODA,PBO,0.480875117,binary,2015,430,10,9,8,1258,1831,612,309,0.687056253,45,1,1,2015
80,BRODA,USK,0.40207551,0.066711766,612,300,2,binary,0.097980408,BRODA,USK,0.59677784,binary,2015,430,141,9,4,1258,1831,612,300,0.687056253,45,1,1,2015
80,PBO,USK,-2.6757336,0.317053023,309,300,2,binary,0.663588378,PBO,USK,0.606984696,binary,2015,10,141,8,4,1258,1831,309,300,0.687056253,45,1,1,2015
81,BRODA,PBO,3.768441277,0.444470286,624,315,2,binary,0.415034559,BRODA,PBO,0.663074111,binary,2015,429,5,9,3,1288,1881,624,315,0.684742158,45,1,1,2015
81,BRODA,USK,0.367563435,0.065153353,624,313,2,binary,0.814130219,BRODA,USK,0.778661453,binary,2015,429,149,9,2,1288,1881,624,313,0.684742158,45,1,1,2015
81,PBO,USK,-3.400877842,0.447595708,315,313,2,binary,0.39909566,PBO,USK,0.909375523,binary,2015,5,149,3,2,1288,1881,315,313,0.684742158,45,1,1,2015
82,PBO,TILDRA,-2.844386645,0.997974743,45,89,2,binary,-0.422085989,PBO,TILDRA,1.622810975,binary,2016,1,34,0,1,270,355,45,89,0.76056338,45,1,1,2016
83,ETA,IFX,-2.219203484,1.008227028,23,25,3,binary,0.083381609,ETA,IFX,1.384384968,binary,2016,1,10,1,1,31,48,23,25,0.645833333,44,1,1,2016
84,ADA,PBO,,,,,1,binary,,ADA,PBO,,binary,2016,188,3,4,3,312,425,,,0.734117647,43,1,1,2016
85,PBO,SECU,-2.357274979,1.384361585,10,84,1,binary,-0.622673924,PBO,SECU,1.42346792,binary,2015,0,42,0,7,,100,10,84,#VALUE!,,1,1,2015
88,ETA,PBO,2.767255376,1.004243471,141,68,1,binary,-0.729252185,ETA,PBO,1.406485663,binary,2011,33,1,1,1,145,209,141,68,0.693779904,43.5,1,1,2011
89,ETA,PBO,1.539416763,0.591005277,139,72,1,binary,-1.350954995,ETA,PBO,1.216107259,binary,2011,27,3,1,2,131,211,139,72,0.620853081,45,1,1,2011
91,IXE,PBO,5.029070929,0.706135734,433,431,1,binary,0.177691919,IXE,PBO,0.601695116,binary,2016,307,2,6,5,883,1296,433,431,0.68132716,46,1,1,2016
92,MTX,PBO,2.364558853,1.419781249,91,29,1,binary,-2.529858038,MTX,PBO,1.097510014,binary,2016,16,0,1,4,100,120,91,29,0.833333333,45,1,1,2016
93,FUM,PBO,1.49234908,0.407764805,540,131,3,binary,-0.192596385,FUM,PBO,0.499337651,binary,2016,110,6,17,5,452,704,540,131,0.642045455,44.5,1,1,2016
94,FUM,PBO,,,18,15,2,binary,-0.182321557,FUM,PBO,1.370320319,binary,2016,,,1,1,,33,18,15,#VALUE!,,1,1,2016
96,PBO,TOFA,,,3,8,1,binary,1.985915484,PBO,TOFA,1.50442857,binary,2016,,,1,0,8,12,3,8,0.666666667,45.5,1,2,2016
97,APRE,PBO,2.302585093,1.037917495,88,88,1,binary,0.693147181,APRE,PBO,0.852802865,binary,2012,10,1,4,2,221,352,88,88,0.627840909,44,1,1,2012
98,APRE,PBO,,,173,87,3,binary,-1.380530656,APRE,PBO,0.855993809,binary,2013,,,2,4,163,260,173,87,0.626923077,46,1,1,2013
99,APRE,ETA,-0.348306694,0.343599297,83,83,2,binary,0.336472237,APRE,ETA,0.81348767,binary,2016,12,17,3,2,157,250,83,83,0.628,45,1,1,2016
99,APRE,PBO,1.398270552,0.626668742,83,84,2,binary,1.957815052,APRE,PBO,1.503962738,binary,2016,12,3,3,0,157,250,83,84,0.628,45,1,1,2016
99,ETA,PBO,1.746577246,0.606798078,83,84,2,binary,1.621342815,ETA,PBO,1.54148942,binary,2016,17,3,2,0,157,250,83,84,0.628,45,1,1,2016
100,ADA,GUSEL,-0.387892387,0.06434243,334,329,1,binary,-0.302765315,ADA,GUSEL,0.534446575,binary,2016,166,241,6,8,608,837,334,329,0.726403823,44,1,1,2016
100,ADA,PBO,2.850464182,0.444165462,334,174,1,binary,0.041061487,ADA,PBO,0.70089861,binary,2016,166,5,6,3,608,837,334,174,0.726403823,44,1,1,2016
100,GUSEL,PBO,3.23835657,0.441998572,329,174,1,binary,0.343826801,GUSEL,PBO,0.670482433,binary,2016,241,5,8,3,608,837,329,174,0.726403823,44,1,1,2016
101,ADA,GUSEL,-0.402587408,0.073852197,248,496,1,binary,0.405465108,ADA,GUSEL,0.534432671,binary,2016,116,347,6,8,692,992,248,496,0.697580645,44,1,1,2016
101,ADA,PBO,2.961830722,0.408928894,248,248,1,binary,0.693147181,ADA,PBO,0.701381126,binary,2016,116,6,6,3,692,992,248,248,0.697580645,44,1,1,2016
101,GUSEL,PBO,3.36441813,0.404351486,496,248,1,binary,0.287682072,GUSEL,PBO,0.672521335,binary,2016,347,6,8,3,692,992,496,248,0.697580645,44,1,1,2016
103,SECU,USK,0.345819028,0.045716545,550,552,1,binary,0.44546252,SECU,USK,0.42297743,binary,2018,421,299,14,9,732,1102,550,552,0.664246824,45,1,1,2018
105,ADA,PBO,1.893542164,0.377813119,7,6,,binary,0.45930834,ADA,PBO,0.551007272,binary,2017,,,0,0,93,150,7,6,0.62,51,1,1,2017
107,PBO,RISAN,-2.708807996,0.436827482,94,93,1,binary,0.268178234,PBO,RISAN,0.680177854,binary,2018,47,7,8,5,183,217,94,93,0.843317972,47,1,1,2018
107,PBO,USK,-2.118079334,0.451114655,98,299,1,binary,-0.970676882,PBO,USK,0.66183702,binary,2018,5,229,3,7,361,506,98,299,0.713438735,48,1,1,2018
107,RISAN,USK,0.590728662,0.12137069,98,99,1,binary,-1.238855116,RISAN,USK,0.504392358,binary,2018,5,42,3,8,361,506,98,99,0.713438735,48,1,1,2018
108,PBO,RISAN,-3.567021346,0.700344557,299,99,1,binary,-0.658300449,PBO,RISAN,1.07359383,binary,2018,229,42,7,8,361,506,299,99,0.713438735,48,1,1,2018
108,PBO,USK,-3.135947012,0.707263481,94,292,1,binary,-1.077558879,PBO,USK,1.145547192,binary,2018,2,220,1,6,336,491,94,292,0.684317719,47,1,1,2018
108,RISAN,USK,0.431074334,0.109456503,94,96,1,binary,-0.41925843,RISAN,USK,0.697250798,binary,2018,2,47,1,3,336,491,94,96,0.684317719,47,1,1,2018
109,CERTO,PBO,3.092074978,0.997669439,292,96,1,binary,1.063926731,CERTO,PBO,1.081216223,binary,2018,220,47,6,3,336,491,292,96,0.684317719,47,1,1,2018
110,CERTO,PBO,2.60396601,0.699235952,88,51,1,binary,1.627558454,CERTO,PBO,1.480064739,binary,2018,38,1,5,1,162,234,88,51,0.692307692,46,1,1,2018
112,PBO,TOFA,,,87,49,3,binary,,PBO,TOFA,,binary,2018,48,2,4,0,127,227,87,49,0.559471366,45,1,2,2018
115,ADA,PBO,-2.151762203,0.431530737,32,30,2,binary,1.545924507,ADA,PBO,1.528543059,binary,2018,,,2,0,67,96,32,30,0.697916667,43,1,1,2018
118,FUM,IXE,-1.435084525,0.458892156,54,54,3,binary,1.098612289,FUM,IXE,1.138550085,binary,,5,43,3,1,121,162,54,54,0.74691358,42,1,1,
118,FUM,MTX,0.716677678,0.183950604,54,54,3,binary,1.098612289,FUM,MTX,1.138550085,binary,,5,21,3,1,121,162,54,54,0.74691358,42,1,1,
118,IXE,MTX,3.222070716,1.39443414,54,54,3,binary,0,IXE,MTX,1.401057801,binary,,43,21,1,1,121,162,54,54,0.74691358,42,1,1,
121,GUSEL,PBO,-1.795571638,0.334353621,62,16,1,binary,0.277631737,GUSEL,PBO,1.524268329,binary,2019,47,0,2,0,53,78,62,16,0.679487179,46,1,1,2019
122,FUM,GUSEL,-3.695222928,0.993825894,59,60,3,binary,-0.38865799,FUM,GUSEL,0.894269263,binary,,8,49,2,3,82,119,59,60,0.68907563,42,1,1,
123,PBO,RISAN,2.473072192,1.02939976,54,55,1,binary,-0.674798042,PBO,RISAN,1.209669237,binary,,1,41,1,2,143,171,54,55,0.83625731,52,1,1,
124,APRE,PBO,4.504261688,1.41110595,85,84,1,binary,,APRE,PBO,,binary,2017,12,1,0,0,202,254,85,84,0.795275591,50.5,1,1,2017
125,GUSEL,PBO,4.062054215,1.406659863,63,64,2,binary,-0.677398824,GUSEL,PBO,1.211817636,binary,2018,44,0,1,2,145,192,63,64,0.755208333,49,1,1,2018
127,BIME,PBO,0.417685219,0.202009906,208,42,1,binary,-1.599868461,BIME,PBO,1.404059395,binary,2018,142,0,1,1,163,250,208,42,0.652,44,1,1,2018
128,RISAN,USK,-2.638091612,0.993864189,122,38,3,binary,0.132848099,RISAN,USK,0.62428352,binary,2017,78,16,11,3,109,166,122,38,0.656626506,46,1,1,2017
129,PBO,TYK2,-3.855933539,0.995136776,45,222,1,binary,0.497402603,PBO,TYK2,1.143068942,binary,2018,1,69,1,3,194,267,45,222,0.72659176,45,1,1,2018
130,PBO,SECU,0.563689113,0.103505584,65,66,1,binary,0.015267472,PBO,SECU,0.984613564,binary,2018,1,48,2,2,160,198,65,66,0.808080808,44,1,1,2018
131,IXE,USK,-2.590145799,0.499615894,132,164,1,binary,1.825765837,IXE,USK,1.544789242,binary,2017,99,70,2,0,202,302,132,164,0.668874172,43,1,1,2017
132,PBO,TILDRA,2.815198256,0.710858796,154,309,1,binary,-0.913049238,PBO,TILDRA,1.090995072,binary,2017,4,107,1,5,533,772,154,309,0.690414508,47,1,1,2017
133,ETA,PBO,-0.593786317,0.129909651,313,156,1,binary,-0.136731395,ETA,PBO,0.6190735,binary,2017,67,2,7,4,554,1090,313,156,0.508256881,45,1,1,2017
133,ETA,TILDRA,-3.408984572,0.706212274,313,307,1,binary,0.540260345,ETA,TILDRA,0.621614773,binary,2017,67,119,7,4,554,1090,313,307,0.508256881,45,1,1,2017
133,PBO,TILDRA,-2.097141119,0.344729986,156,307,1,binary,0.67699174,PBO,TILDRA,0.700237399,binary,2017,2,119,4,4,554,1090,156,307,0.508256881,45,1,1,2017
