studlab,name,treat,r,n ,rob,z1,nz,year,funding,co_intervention,sample_size,age,male,duration_pso,weight,pasi_score,previous_topical,previous_photo,previous_systemic
70,UNCOVER-3_2015,IXE,514,771,L,15,771,2015,1,0,1346,46,918,18,91,21,1063,522,615
,,,,,,,,,,,,,,,,,,,
70,UNCOVER-3_2015,ETA,98,382,L,5,382,2015,1,0,1346,46,918,18,91,21,1063,522,615
,,,,,,,,,,,,,,,,,,,
72,CLEAR_2015,USK,193,339,L,10,339,2015,1,0,676,45,481,18,87,22,,,441
,,,,,,,,,,,,,,,,,,,
72,CLEAR_2015,SECU,264,337,L,10,337,2015,1,0,676,45,481,18,87,22,,,441
,,,,,,,,,,,,,,,,,,,
73,JUNCTURE_2015,PBO,0,61,L,1,61,2015,1,0,182,45,125,21,91,20,,,90
,,,,,,,,,,,,,,,,,,,
73,JUNCTURE_2015,SECU,57,121,L,4,121,2015,1,0,182,45,125,21,91,20,,,90
,,,,,,,,,,,,,,,,,,,
74,AMAGINE-1 2016,PBO,2,220,L,3,220,2016,1,0,661,46,484,20,91,20,,,
,,,,,,,,,,,,,,,,,,,
74,AMAGINE-1 2016,BRODA,186,298,L,6,298,2016,1,0,661,46,484,20,91,20,,,
,,,,,,,,,,,,,,,,,,,
75,Nakagawa_2016,PBO,1,38,H,1,38,2015,1,0,151,45,120,15,74,26,,,
,,,,,,,,,,,,,,,,,,,
75,Nakagawa_2016,BRODA,64,113,H,3,113,2015,1,0,151,45,120,15,74,26,,,
,,,,,,,,,,,,,,,,,,,
76,AMAGINE-2_2015,BRODA,731,1222,M,19,1222,2015,1,0,1831,45,1258,19,91,20,,,
,,,,,,,,,,,,,,,,,,,
76,AMAGINE-2_2015,PBO,10,309,M,8,309,2015,1,0,1831,45,1258,19,91,20,,,
,,,,,,,,,,,,,,,,,,,
76,AMAGINE-2_2015,USK,141,300,M,4,300,2015,1,0,1831,45,1258,19,91,20,,,
,,,,,,,,,,,,,,,,,,,
77,AMAGINE-3_2015,USK,149,313,M,2,313,2015,1,0,1881,45,1288,18,89,20,,,
,,,,,,,,,,,,,,,,,,,
77,AMAGINE-3_2015,PBO,5,315,M,3,315,2015,1,0,1881,45,1288,18,89,20,,,
,,,,,,,,,,,,,,,,,,,
77,AMAGINE-3_2015,BRODA,756,1253,M,19,1253,2015,1,0,1881,45,1288,18,89,20,,,
,,,,,,,,,,,,,,,,,,,
78,Papp_2015,PBO,1,46,M,0,46,2015,1,0,355,45,270,,,,,,
,,,,,,,,,,,,,,,,,,,
78,Papp_2015,TILDRA,105,309,M,4,309,2015,1,0,355,45,270,,,,,,
,,,,,,,,,,,,,,,,,,,
79,PIECE_2016,IFX,10,25,H,1,25,2016,1,0,48,44,31,20,,17,,,
,,,,,,,,,,,,,,,,,,,
79,PIECE_2016,ETA,1,23,H,1,23,2016,1,0,48,44,31,20,,17,,,
,,,,,,,,,,,,,,,,,,,
80,Cai_2016,PBO,3,87,L,3,87,2016,1,0,425,43,312,15,70,28,,,
,,,,,,,,,,,,,,,,,,,
80,Cai_2016,ADA,188,338,L,4,338,2016,1,0,425,43,312,15,70,28,,,
,,,,,,,,,,,,,,,,,,,
81,Reich_2015,PBO,0,10,L,0,10,2015,1,0,100,,,,,,,,
,,,,,,,,,,,,,,,,,,,
81,Reich_2015,SECU,42,90,L,7,90,2015,1,0,100,,,,,,,,
,,,,,,,,,,,,,,,,,,,
84,Gottlieb_2011,ETA,33,141,L,1,141,2011,1,0,209,43.5,145,18,95,19,192,53,56
,,,,,,,,,,,,,,,,,,,
84,Gottlieb_2011,PBO,1,68,L,1,68,2011,1,0,209,43.5,145,18,95,19,192,53,56
,,,,,,,,,,,,,,,,,,,
85,Strober_2011,ETA,27,139,L,1,139,2011,1,0,211,45,131,15,95,18,202,39,64
,,,,,,,,,,,,,,,,,,,
85,Strober_2011,PBO,3,72,L,2,72,2011,1,0,211,45,131,15,95,18,202,39,64
,,,,,,,,,,,,,,,,,,,
86,UNCOVER-1_2016,PBO,2,431,L,5,431,2016,1,0,1296,46,883,20,92,20,,1261,684
,,,,,,,,,,,,,,,,,,,
86,UNCOVER-1_2016,IXE,586,865,L,18,865,2016,1,0,1296,46,883,20,92,20,,1261,684
,,,,,,,,,,,,,,,,,,,
87,METOP_2017,PBO,0,29,L,4,29,2016,1,0,120,45,100,18,93,15,,8,36
,,,,,,,,,,,,,,,,,,,
87,METOP_2017,MTX,16,91,L,1,91,2016,1,0,120,45,100,18,93,15,,8,36
,,,,,,,,,,,,,,,,,,,
88,BRIDGE_2017,PBO,6,138,H,5,138,2016,1,0,704,44.5,452,,,16,,,
,,,,,,,,,,,,,,,,,,,
88,BRIDGE_2017,FUM,110,566,H,17,566,2016,1,0,704,44.5,452,,,16,,,
,,,,,,,,,,,,,,,,,,,
91,Papp_2012c,APRE,22,264,L,7,264,2012,1,0,352,44,221,19,92,18.5,,,176
,,,,,,,,,,,,,,,,,,,
91,Papp_2012c,PBO,1,88,L,2,88,2012,1,0,352,44,221,19,92,18.5,,,176
,,,,,,,,,,,,,,,,,,,
92,Papp_2013b,PBO,,87,H,4,87,2013,1,0,260,46,163,19,,19.5,,,
,,,,,,,,,,,,,,,,,,,
92,Papp_2013b,APRE,,173,H,2,173,2013,1,0,260,46,163,19,,19.5,,,
,,,,,,,,,,,,,,,,,,,
93,LIBERATE_2017,PBO,3,84,M,0,84,2016,1,0,250,45,157,18,88.5,19.5,,,194
,,,,,,,,,,,,,,,,,,,
93,LIBERATE_2017,ETA,17,83,M,2,83,2016,1,0,250,45,157,18,88.5,19.5,,,194
,,,,,,,,,,,,,,,,,,,
93,LIBERATE_2017,APRE,12,83,M,3,83,2016,1,0,250,45,157,18,88.5,19.5,,,194
,,,,,,,,,,,,,,,,,,,
94,VOYAGE-1_2016,GUSEL,241,329,L,8,329,2016,1,0,837,44,608,17.5,,22,762,454,517
,,,,,,,,,,,,,,,,,,,
94,VOYAGE-1_2016,PBO,5,174,L,3,174,2016,1,0,837,44,608,17.5,,22,762,454,517
,,,,,,,,,,,,,,,,,,,
94,VOYAGE-1_2016,ADA,166,334,L,6,334,2016,1,0,837,44,608,17.5,,22,762,454,517
,,,,,,,,,,,,,,,,,,,
95,VOYAGE-2_2017,GUSEL,347,496,L,8,496,2016,1,0,992,44,692,18,,22,947,565,639
,,,,,,,,,,,,,,,,,,,
95,VOYAGE-2_2017,ADA,116,248,L,6,248,2016,1,0,992,44,692,18,,22,947,565,639
,,,,,,,,,,,,,,,,,,,
95,VOYAGE-2_2017,PBO,6,248,L,3,248,2016,1,0,992,44,692,18,,22,947,565,639
,,,,,,,,,,,,,,,,,,,
97,CLARITY_2018,USK,299,552,L,9,552,2018,1,0,1102,45,732,17,92,21,,,
,,,,,,,,,,,,,,,,,,,
97,CLARITY_2018,SECU,421,550,L,14,550,2018,1,0,1102,45,732,17,92,21,,,
,,,,,,,,,,,,,,,,,,,
99,Elewski_2016,PBO,7,108,L,5,108,2016,1,0,217,47,183,19,90,12.5,,,
,,,,,,,,,,,,,,,,,,,
99,Elewski_2016,ADA,47,109,L,8,109,2016,1,0,217,47,183,19,90,12.5,,,
,,,,,,,,,,,,,,,,,,,
101,UltIMMa-1_2018 Ã,PBO,5,102,L,3,102,2018,1,0,506,48,361,,,20.5,,,
,,,,,,,,,,,,,,,,,,,
101,UltIMMa-1_2018 Ã,RISAN,229,304,L,7,304,2018,1,0,506,48,361,,,20.5,,,
,,,,,,,,,,,,,,,,,,,
101,UltIMMa-1_2018 Ã,USK,42,100,L,8,100,2018,1,0,506,48,361,,,20.5,,,
,,,,,,,,,,,,,,,,,,,
102,UltIMMa-2_2018 Ã,PBO,2,98,L,1,98,2018,1,0,491,47,336,,,19,,,
,,,,,,,,,,,,,,,,,,,
102,UltIMMa-2_2018 Ã,USK,47,99,L,3,99,2018,1,0,491,47,336,,,19,,,
,,,,,,,,,,,,,,,,,,,
102,UltIMMa-2_2018 Ã,RISAN,220,294,L,6,294,2018,1,0,491,47,336,,,19,,,
,,,,,,,,,,,,,,,,,,,
103,CIMPASI-1_2018,PBO,1,51,L,1,51,2018,1,0,234,46,162,17,93,20,,,
,,,,,,,,,,,,,,,,,,,
103,CIMPASI-1_2018,CERTO,72,183,L,7,183,2018,1,0,234,46,162,17,93,20,,,
,,,,,,,,,,,,,,,,,,,
104,CIMPASI-2_2018,PBO,2,49,L,0,49,2018,1,0,227,45,127,17,93,18,,,
,,,,,,,,,,,,,,,,,,,
104,CIMPASI-2_2018,CERTO,95,178,L,6,178,2018,1,0,227,45,127,17,93,18,,,
,,,,,,,,,,,,,,,,,,,
108,VIP trial_2018 Ã,PBO,,31,M,0,31,2018,1,0,96,43,67,13,,17,,29,31
,,,,,,,,,,,,,,,,,,,
108,VIP trial_2018 Ã,ADA,,33,M,2,33,2018,1,0,96,43,67,13,,17,,29,31
,,,,,,,,,,,,,,,,,,,
114,ORION_2020Ã,GUSEL,47,62,L,2,62,2019,1,0,78,46,53,19,,18,,,
,,,,,,,,,,,,,,,,,,,
114,ORION_2020Ã,PBO,0,16,L,0,16,2019,1,0,78,46,53,19,,18,,,
,,,,,,,,,,,,,,,,,,,
116,SustaIMM_2019,PBO,1,58,L,1,58,2019,1,0,171,52,143,,74,26,,,
,,,,,,,,,,,,,,,,,,,
116,SustaIMM_2019,RISAN,85,113,L,4,113,2019,1,0,171,52,143,,74,26,,,
,,,,,,,,,,,,,,,,,,,
