unique_id,name,year_publication,treatclass,nMC,rPASI90MC,rSAEMC,age,perc_male,weight,pasi_score,bias
81,Lebwohl_2015_AMAGINE3,2015,AIL1223,313,149,2,45,0.684742158,89,20,M
81,Lebwohl_2015_AMAGINE3,2015,AIL17,1253,756,19,45,0.684742158,89,20,M
81,Lebwohl_2015_AMAGINE3,2015,PBO,315,5,3,45,0.684742158,89,20,M
82,Papp_2015a,2016,AIL23,309,105,4,45,0.76056338,.,.,M
82,Papp_2015a,2016,PBO,46,1,0,45,0.76056338,.,.,M
84,Cai_2016,2016,ATA,338,188,4,43,0.734117647,70,28,L
84,Cai_2016,2016,PBO,87,3,3,43,0.734117647,70,28,L
85,Reich_2015,2015,AIL17,90,42,7,.,#VALUE!,.,.,L
85,Reich_2015,2015,PBO,10,0,0,.,#VALUE!,.,.,L
88,Gottlieb_2011,2011,ATA,141,33,1,43.5,0.693779904,95,19,L
88,Gottlieb_2011,2011,PBO,68,1,1,43.5,0.693779904,95,19,L
89,Strober_2011,2011,ATA,139,27,1,45,0.620853081,95,18,L
89,Strober_2011,2011,PBO,72,3,2,45,0.620853081,95,18,L
91,Gordon_2016_UNCOVER1,2016,AIL17,865,586,18,46,0.68132716,92,20,L
91,Gordon_2016_UNCOVER1,2016,PBO,431,2,5,46,0.68132716,92,20,L
92,Warren_2016_METOP,2016,CSA,91,16,1,45,0.833333333,93,15,L
92,Warren_2016_METOP,2016,PBO,29,0,4,45,0.833333333,93,15,L
93,Mrowietz_2016_BRIDGE,2016,CSA,566,110,17,44.5,0.642045455,.,16,H
93,Mrowietz_2016_BRIDGE,2016,PBO,138,6,5,44.5,0.642045455,.,16,H
96,Krueger_2016,2016,PBO,3,0,1,45.5,0.666666667,.,22,L
96,Krueger_2016,2016,SM,9,0,0,45.5,0.666666667,.,22,L
97,Papp_2012b,2012,PBO,88,1,2,44,0.627840909,92,18.5,L
97,Papp_2012b,2012,SM,264,22,7,44,0.627840909,92,18.5,L
98,Papp_2013b,2013,PBO,87,0,4,46,0.626923077,.,19.5,H
98,Papp_2013b,2013,SM,173,0,2,46,0.626923077,.,19.5,H
99,Reich_2016_LIBERATE,2016,ATA,83,17,2,45,0.628,88.5,19.5,M
99,Reich_2016_LIBERATE,2016,PBO,84,3,0,45,0.628,88.5,19.5,M
99,Reich_2016_LIBERATE,2016,SM,83,12,3,45,0.628,88.5,19.5,M
100,Blauvelt_2016_VOYAGE1,2016,AIL23,329,241,8,44,0.726403823,.,22,L
100,Blauvelt_2016_VOYAGE1,2016,ATA,334,166,6,44,0.726403823,.,22,L
100,Blauvelt_2016_VOYAGE1,2016,PBO,174,5,3,44,0.726403823,.,22,L
101,Reich_2017_VOYAGE-2,2016,AIL23,496,347,8,44,0.697580645,.,22,L
101,Reich_2017_VOYAGE-2,2016,ATA,248,116,6,44,0.697580645,.,22,L
101,Reich_2017_VOYAGE-2,2016,PBO,248,6,3,44,0.697580645,.,22,L
103,Bagel_2018_CLARITY,2018,AIL1223,552,299,9,45,0.664246824,92,21,L
103,Bagel_2018_CLARITY,2018,AIL17,550,421,14,45,0.664246824,92,21,L
105,Elewski_2018,2018,ATA,109,47,8,47,0.843317972,90,12.5,L
105,Elewski_2018,2018,PBO,108,7,5,47,0.843317972,90,12.5,L
107,"Gordon UltIMMa-1, 2018  ",2018,AIL1223,102,42,8,48,0.713438735,.,20.5,L
107,"Gordon UltIMMa-1, 2018  ",2018,AIL23,304,229,7,48,0.713438735,.,20.5,L
107,"Gordon UltIMMa-1, 2018  ",2018,PBO,102,5,3,48,0.713438735,.,20.5,L
108,"Gordon UltIMMa-2, 2018  ",2018,AIL1223,99,47,3,47,0.684317719,.,19,L
108,"Gordon UltIMMa-2, 2018  ",2018,AIL23,294,220,6,47,0.684317719,.,19,L
108,"Gordon UltIMMa-2, 2018  ",2018,PBO,98,2,1,47,0.684317719,.,19,L
109,"Gottlieb CIMPASI-1, 2018",2018,ATA,183,72,7,46,0.692307692,93,20,L
109,"Gottlieb CIMPASI-1, 2018",2018,PBO,51,1,1,46,0.692307692,93,20,L
110,"Gottlieb CIMPASI-2, 2018",2018,ATA,178,95,6,45,0.559471366,93,18,L
110,"Gottlieb CIMPASI-2, 2018",2018,PBO,49,2,0,45,0.559471366,93,18,L
112,Jin 2017  ,2017,PBO,6,0,0,48,0.611111111,72,28,H
112,Jin 2017  ,2017,SM,12,0,0,48,0.611111111,72,28,H
115,"Mehta VIP trial, 2018",2018,ATA,33,0,2,43,0.697916667,.,17,M
115,"Mehta VIP trial, 2018",2018,PBO,31,0,0,43,0.697916667,.,17,M
