,Treatment,OR,CI_lower,CI_upper,WEIGHT,tau2,Reference
33,vort,1.2118760259,0.6454319265,2.2754429117,3.1110857961,0.0319122128,bupr
34,agom,1.135850868,0.8702505267,1.4825123969,7.3585677489,0.0319122128,cita
35,amit,1.1675058189,0.9189167061,1.4833442772,8.1861260877,0.0319122128,cita
36,bupr,1.2880847798000001,0.8667737534000001,1.9141816346,4.9478239585,0.0319122128,cita
37,clom,0.9403262828000001,0.7188302587000001,1.230072757,7.2970505682,0.0319122128,cita
38,dulo,1.0741078462,0.8122553548,1.4203755734,7.0142560138,0.0319122128,cita
39,esci,1.2581258038,1.0220354794,1.5487530229000002,9.4309232024,0.0319122128,cita
40,fluo,0.9425212140000001,0.7704249251,1.1530600968,9.7214403685,0.0319122128,cita
41,fluv,0.9347395650000001,0.712918585,1.225579011,7.2351228083,0.0319122128,cita
42,miln,1.0554729275999999,0.7852891544,1.4186151618,6.628513965,0.0319122128,cita
43,mirt,1.1991083197,0.9340023996000001,1.5394615291,7.8445660016000005,0.0319122128,cita
44,nefa,0.9835427405,0.6455185268,1.4985725153,4.6543969769,0.0319122128,cita
45,paro,1.1202558176,0.9072393242000001,1.3832878087,9.2932366509,0.0319122128,cita
46,rebo,0.7923844663,0.5722028720000001,1.0972911413,6.0205230152,0.0319122128,cita
47,sert,1.0439634199,0.8347768541,1.3055700056,8.7650539471,0.0319122128,cita
48,traz,0.8330259303,0.6065231381,1.1441149675,6.1766932759,0.0319122128,cita
49,venl,1.1193539023,0.9009093545,1.3907649559,9.0280029285,0.0319122128,cita
50,vort,1.560999064,0.8885027934,2.7424990623000003,3.4779922011,0.0319122128,cita
51,agom,1.0574830749,0.8088803775000001,1.3824917562,7.3135456922,0.0319122128,dulo
52,amit,1.0869539991,0.8335257316,1.4174355408000001,7.3831319811,0.0319122128,dulo
53,bupr,1.1992136398,0.7966774316,1.8051388139000002,4.7925105518,0.0319122128,dulo
54,cita,0.9310052091000001,0.7040391420000001,1.2311399292,7.0142560138,0.0319122128,dulo
55,clom,0.8754486676000001,0.6507203964,1.1777875319,6.6069687351,0.0319122128,dulo
56,esci,1.1713216771,0.9152446572,1.499046687,7.9449813517,0.0319122128,dulo
57,fluo,0.8774921599000001,0.6915162443,1.1134843137,8.2290228245,0.0319122128,dulo
58,fluv,0.8702474042,0.641251032,1.1810203909,6.4187261646,0.0319122128,dulo
59,miln,0.9826507937000001,0.7155468754000001,1.3494609725,6.1789363112,0.0319122128,dulo
60,mirt,1.116376092,0.8439938095,1.4766643602,7.0075599983,0.0319122128,dulo
