"","studlab","treat1","treat2","RR","TE_direct","TE_adj","seTE"
"PBO.51","22","ADA","PBO",2.75856599123911,0.17544192760328,2.58312406363583,1.42812996743757
"PBO.52","23","ADA","PBO",0.0466316913287941,0.17544192760328,-0.128810236274486,0.453632831132446
"PBO.53","68","ADA","PBO",-0.023530497410194,0.17544192760328,-0.198972425013474,1.39747438696993
"PBO.54","80","ADA","PBO",-1.06945570437665,0.17544192760328,-1.24489763197993,0.754241672528185
"PBO.55","94","ADA","PBO",0.0410614867977739,0.17544192760328,-0.134380440805506,0.700898610062233
"PBO.56","95","ADA","PBO",0.693147180559945,0.17544192760328,0.517705252956665,0.701381125972868
"PBO.57","99","ADA","PBO",0.460786974140812,0.17544192760328,0.285345046537531,0.553684412652312
"PBO.58","108","ADA","PBO",1.54788001943467,0.17544192760328,1.37243809183139,1.52918384178794
"PBO.59","52","CERTO","PBO",1.23566853513607,-0.500477538156632,1.7361460732927,1.05694899937301
"PBO.60","103","CERTO","PBO",0.668249628938218,-0.500477538156632,1.16872716709485,1.05725343170196
"PBO.61","104","CERTO","PBO",1.28233342581649,-0.500477538156632,1.78281096397312,1.45878096119595
"PBO.62","128","CERTO","PBO",-1.76208370108194,-0.500477538156632,-1.26160616292531,0.615990334468087
"PBO.63","140","CERTO","PBO",-0.663876798259832,-0.500477538156632,-0.1633992601032,1.20483918903705
"PBO.64","20","APRE","PBO",-0.284129670847413,-0.160673604657276,-0.123456066190137,0.450563951744864
"PBO.65","66","APRE","PBO",-0.178691788743376,-0.160673604657276,-0.0180181840860996,0.722807438316302
"PBO.66","91","APRE","PBO",0.154150679827258,-0.160673604657276,0.314824284484535,0.792278756313476
"PBO.67","92","APRE","PBO",-1.38053065640314,-0.160673604657276,-1.21985705174586,0.855993808567344
"PBO.68","93","APRE","PBO",1.95781505156163,-0.160673604657276,2.11848865621891,1.50396273832947
"PBO.69","117","APRE","PBO",1.49524081497578,-0.160673604657276,1.65591441963305,1.48476355021811
"PBO.70","145","APRE","PBO",0.0148150857851406,-0.160673604657276,0.175488690442417,1.21869641586954
"PBO.71","38","IXE","PBO",-0.755948081798976,-0.0536846654463126,-0.702263416352663,1.20593006048819
"PBO.72","69","IXE","PBO",0.447547053542478,-0.0536846654463126,0.501231718988791,0.754677435209407
"PBO.73","70","IXE","PBO",-0.286385895990334,-0.0536846654463126,-0.232701230544022,0.510086563884198
"PBO.74","86","IXE","PBO",0.584312428633933,-0.0536846654463126,0.637997094080245,0.502074994972409
"PBO.75","163","IXE","PBO",-1.38059634000525,-0.0536846654463126,-1.32691167455894,0.807741225545587
"PBO.76","68","GUSEL","PBO",-0.50125617274984,0.0640620649178172,-0.565318237667657,1.14224170700256
"PBO.77","94","GUSEL","PBO",0.343826801460883,0.0640620649178172,0.279764736543066,0.670482433191758
"PBO.78","95","GUSEL","PBO",0.287682072451781,0.0640620649178172,0.223620007533964,0.672521335153435
"PBO.79","114","GUSEL","PBO",0.277631736598279,0.0640620649178172,0.213569671680462,1.5242683291973
"PBO.80","118","GUSEL","PBO",-0.693147180559945,0.0640620649178172,-0.757209245477762,0.988211768802619
"PBO.81","101","RISAN","PBO",-0.244757027734747,-0.604417271664945,0.359660243930198,0.680512366483988
"PBO.82","102","RISAN","PBO",0.693147180559945,-0.604417271664945,1.29756445222489,1.07380688416949
"PBO.83","116","RISAN","PBO",0.719349552953969,-0.604417271664945,1.32376682461891,1.10630423626032
"PBO.84","131","RISAN","PBO",-1.4036429994545,-0.604417271664945,-0.799225727789559,0.487383829792288
"PBO.85","164","RISAN","PBO",0.400714505349566,-0.604417271664945,1.00513177701451,1.62423531996853
"PBO.86","122","DEUCRAVA","PBO",-0.49740260343385,-0.49740260343385,0,1.14306894219317
"PBO.87","120","BIME","PBO",-1.59986846141795,-0.546129139686639,-1.05373932173131,1.40405939471334
"PBO.88","150","BIME","PBO",-0.30211233728081,-0.546129139686639,0.24401680240583,0.807572554125652
"PBO.89","151","BIME","PBO",-0.436309783459263,-0.546129139686639,0.109819356227376,0.827548513642196
"PBO.90","88","FUM","PBO",-0.187564961423863,-0.134006131342388,-0.0535588300814745,0.499810332173989
"PBO.91","156","FUM","PBO",0.00625002034517133,-0.134006131342388,0.14025615168756,0.808817702597995
"PBO.92","165","NETA","PBO",-0.238751448980201,-0.238751448980201,0,1.6242829345713
"PBO.93","166","SONELO","PBO",-0.0798428875110172,-0.0798428875110172,0,0.908097498271901
"PBO.94","58","CICLO","PBO",1.73390467652988,1.73390467652988,0,1.4652628967337
"PBO.95","78","TILDRA","PBO",0.301718797804879,-0.0268144226672594,0.328533220472139,1.48239192796896
"PBO.96","125","TILDRA","PBO",1.1835054504754,-0.0268144226672594,1.21031987314265,1.03385236783445
"PBO.97","126","TILDRA","PBO",-0.465184342809787,-0.0268144226672594,-0.438369920142527,0.58479007997025
"PBO.98","87","MTX","PBO",-2.52985803765027,-2.52985803765027,0,1.09751001379956
"SECU.1","9","ETA","SECU",-0.60307301403977,-0.60307301403977,0,0.647800808576278
"SECU.2","72","USK","SECU",-0.00591717702808862,-0.234629929388308,0.228712752360219,0.440548281624364
"SECU.3","97","USK","SECU",-0.445462520329618,-0.234629929388308,-0.21083259094131,0.422977430270933
"SECU.4","7","PBO","SECU",-0.693147180559945,-0.11569683641374,-0.577450344146205,1.106605743337
"SECU.5","8","PBO","SECU",-0.235314086934465,-0.11569683641374,-0.119617250520725,0.586452833234654
"SECU.6","9","PBO","SECU",0.0900741665201756,-0.11569683641374,0.205771002933916,0.502970397663136
"SECU.7","10","PBO","SECU",1.13822142676316,-0.11569683641374,1.2539182631769,0.882139473107688
"SECU.8","11","PBO","SECU",-0.869516338826605,-0.11569683641374,-0.753819502412865,1.03220182190721
"SECU.9","73","PBO","SECU",-0.701377679696461,-0.11569683641374,-0.585680843282721,1.10695171284349
"SECU.10","81","PBO","SECU",-0.554075607559807,-0.11569683641374,-0.438378771146067,1.4237434861443
"SECU.11","123","PBO","SECU",0.0228146777661715,-0.11569683641374,0.138511514179911,0.852699588145147
"SECU.12","135","PBO","SECU",1.42629969573359,-0.11569683641374,1.54199653214733,1.21234809983192
"SECU.13","138","PBO","SECU",-1.58769792579769,-0.11569683641374,-1.47200108938395,1.53509498132132
"SECU.14","139","PBO","SECU",1.39331193377854,-0.11569683641374,1.50900877019228,1.21610956988453
"SECU.15","141","PBO","SECU",-0.839917753089581,-0.11569683641374,-0.724220916675841,0.749379866041921
"SECU.16","147","PBO","SECU",0.65677953638907,-0.11569683641374,0.77247637280281,1.39490759398865
"SECU.17","158","PBO","SECU",-1.75253875607477,-0.11569683641374,-1.63684191966103,1.44077686629355
"SECU.18","166","PBO","SECU",1.11748077297249,-0.11569683641374,1.23317760938623,1.62139676169468
"SECU.19","167","PBO","SECU",-1.48572825810808,-0.11569683641374,-1.37003142169434,1.47831311029711
"SECU.20","142","GUSEL","SECU",-0.152582924682774,-0.152582924682774,0,0.231326334130376
"SECU.21","148","RISAN","SECU",0.399348881090728,0.399348881090728,0,0.51531082608171
"SECU.22","166","SONELO","SECU",1.03763788546148,1.03763788546148,0,1.46912573660786
"IFX.1","79","ETA","IFX",0.083381608939051,0.083381608939051,0,1.38438496782161
"IFX.2","17","PBO","IFX",-0.776761320601079,-0.201999482343449,-0.574761838257629,0.736555671547331
"IFX.3","18","PBO","IFX",0.610909082322973,-0.201999482343449,0.812908564666423,1.38520648008923
"IFX.4","40","PBO","IFX",0.227939723577703,-0.201999482343449,0.429939205921152,0.526242097037003
"IFX.5","42","PBO","IFX",-1.86966853241065,-0.201999482343449,-1.6676690500672,1.43371710629975
"IFX.6","55","PBO","IFX",-0.479573080261886,-0.201999482343449,-0.277573597918437,1.62260726152758
"BRODA.1","76","USK","BRODA",-0.15368295297121,-0.404031368511715,0.250348415540505,0.546333153861699
"BRODA.2","77","USK","BRODA",-0.86419903425058,-0.404031368511715,-0.460167665738865,0.740701428492944
"BRODA.3","19","PBO","BRODA",0.744440474947496,0.120434886671842,0.624005588275653,1.2113769894324
"BRODA.4","74","PBO","BRODA",-0.389681240406902,0.120434886671842,-0.510116127078745,0.701497570028977
"BRODA.5","75","PBO","BRODA",-0.00881062968215492,0.120434886671842,-0.129245516353997,1.13937175071946
"BRODA.6","76","PBO","BRODA",0.509905425347191,0.120434886671842,0.389470538675348,0.416625734187305
"BRODA.7","77","PBO","BRODA",-0.465103374427895,0.120434886671842,-0.585538261099738,0.618055195358094
"ADA.1","21","PBO","ADA",0.290395778323377,-0.17544192760328,0.465837705926657,0.848605201648213
"ADA.2","22","PBO","ADA",-2.75856599123911,-0.17544192760328,-2.58312406363583,1.42812996743757
"ADA.3","23","PBO","ADA",-0.0466316913287941,-0.17544192760328,0.128810236274486,0.453632831132446
"ADA.4","68","PBO","ADA",0.023530497410194,-0.17544192760328,0.198972425013474,1.39747438696993
"ADA.5","80","PBO","ADA",1.06945570437665,-0.17544192760328,1.24489763197993,0.754241672528185
"ADA.6","94","PBO","ADA",-0.0410614867977739,-0.17544192760328,0.134380440805506,0.700898610062233
"ADA.7","95","PBO","ADA",-0.693147180559945,-0.17544192760328,-0.517705252956665,0.701381125972868
"ADA.8","99","PBO","ADA",-0.460786974140812,-0.17544192760328,-0.285345046537531,0.553684412652312
"ADA.9","108","PBO","ADA",-1.54788001943467,-0.17544192760328,-1.37243809183139,1.52918384178794
"ADA.10","68","GUSEL","ADA",-0.477725675339646,-0.0934082459034927,-0.384317429436153,1.14248405987661
"ADA.11","94","GUSEL","ADA",0.30276531466311,-0.0934082459034927,0.396173560566602,0.534446574516862
"ADA.12","95","GUSEL","ADA",-0.405465108108164,-0.0934082459034927,-0.312056862204672,0.534432670754598
"ADA.13","130","RISAN","ADA",0.115277952315172,0.115277952315172,0,0.45221607478139
"ADA.14","153","BIME","ADA",-0.696286900564613,-0.696286900564613,0,0.62496071523389
"CERTO.1","128","ETA","CERTO",-0.940101380567874,-0.940101380567874,0,1.09137784422539
"CERTO.2","52","PBO","CERTO",-1.23566853513607,0.500477538156632,-1.7361460732927,1.05694899937301
"CERTO.3","103","PBO","CERTO",-0.668249628938218,0.500477538156632,-1.16872716709485,1.05725343170196
"CERTO.4","104","PBO","CERTO",-1.28233342581649,0.500477538156632,-1.78281096397312,1.45878096119595
"CERTO.5","128","PBO","CERTO",1.76208370108194,0.500477538156632,1.26160616292531,0.615990334468087
