"","studlab","treat1","treat2","RR","TE_direct","TE_adj","seTE"
"USK.15","76","BRODA","USK",0.241191904296271,0.239030035138687,0.0021618691575839,0.0656393456605857
"USK.16","77","BRODA","USK",0.237002305878159,0.239030035138687,-0.00202772926052799,0.0635703385459245
"USK.17","124","IXE","USK",0.34175324266226,0.34175324266226,0,0.0753432252612283
"USK.18","101","RISAN","USK",0.584194869852741,0.502974971785284,0.0812198980674569,0.122011730388465
"USK.19","102","RISAN","USK",0.455020027438211,0.502974971785284,-0.0479549443470728,0.110994052295191
"USK.20","121","RISAN","USK",0.436717651612269,0.502974971785284,-0.0662573201730153,0.205873759580974
"USK.21","151","BIME","USK",0.537331718189267,0.537331718189267,0,0.0822097838014927
"PBO.1","9","ETA","PBO",2.59525470695687,2.45688299872615,0.138371708230715,0.456935885884634
"PBO.2","25","ETA","PBO",2.70805020110221,2.45688299872615,0.251167202376059,1.0170587997508
"PBO.3","29","ETA","PBO",2.99573227355399,2.45688299872615,0.53884927482784,1.00435559376655
"PBO.4","30","ETA","PBO",3.38684425230734,2.45688299872615,0.92996125358119,1.0047836529826
"PBO.5","31","ETA","PBO",2.78164127349426,2.45688299872615,0.324758274768107,0.508854532598779
"PBO.6","32","ETA","PBO",1.8292425624828,2.45688299872615,-0.627640436243355,1.02213858151506
"PBO.7","67","ETA","PBO",3.54715129428524,2.45688299872615,1.09026829555908,0.998510795897475
"PBO.8","69","ETA","PBO",3.44812361239352,2.45688299872615,0.991240613667374,1.00308508915872
"PBO.9","70","ETA","PBO",2.11047758974083,2.45688299872615,-0.346405408985324,0.411183170985803
"PBO.10","84","ETA","PBO",2.76725537626442,2.45688299872615,0.310372377538268,1.00424347116052
"PBO.11","85","ETA","PBO",1.53941676322158,2.45688299872615,-0.917466235504568,0.59100527652227
"PBO.12","93","ETA","PBO",1.74657724643482,2.45688299872615,-0.710305752291329,0.606798078498319
"PBO.13","126","ETA","PBO",2.8151982555404,2.45688299872615,0.358315256814254,0.710858796488556
"PBO.14","128","ETA","PBO",3.44564914423299,2.45688299872615,0.988766145506838,1.41359434398874
"PBO.15","2","USK","PBO",2.50065500675614,2.88254273093756,-0.38188772418142,0.990780916952292
"PBO.16","3","USK","PBO",3.16758253048065,2.88254273093756,0.285039799543092,0.995487350893759
"PBO.17","4","USK","PBO",2.99377340906866,2.88254273093756,0.111230678131099,0.446230304002454
"PBO.18","5","USK","PBO",4.15366113937852,2.88254273093756,1.27111840844096,0.576448261160607
"PBO.19","6","USK","PBO",3.38466807971094,2.88254273093756,0.502125348773386,1.00013660269171
"PBO.20","76","USK","PBO",2.67573359962567,2.88254273093756,-0.206809131311892,0.317053022842449
"PBO.21","77","USK","PBO",3.40087784179684,2.88254273093756,0.51833511085928,0.447595708248478
"PBO.22","101","USK","PBO",2.14803433314545,2.88254273093756,-0.734508397792111,0.451669793367784
"PBO.23","102","USK","PBO",3.1468480496861,2.88254273093756,0.264305318748536,0.7077934048937
"PBO.24","136","USK","PBO",2.89897660508968,2.88254273093756,0.0164338741521242,1.41926286696416
