studlab,name,year_publication,treat,r,n,weight,pasi_score,bias,indirectness,age,perc_male
81,Lebwohl_2015_AMAGINE3,2015,AIL17,756,1253,89,20,M,1,45,0.684742158
81,Lebwohl_2015_AMAGINE3,2015,PBO,5,315,89,20,M,1,45,0.684742158
82,Papp_2015a,2016,AIL23,105,309,.,.,M,2,45,0.76056338
82,Papp_2015a,2016,PBO,1,46,.,.,M,2,45,0.76056338
84,Cai_2016,2016,ATA,188,338,70,28,L,2,43,0.734117647
84,Cai_2016,2016,PBO,3,87,70,28,L,2,43,0.734117647
85,Reich_2015,2015,AIL17,42,90,.,.,L,2,.,#VALUE!
85,Reich_2015,2015,PBO,0,10,.,.,L,2,.,#VALUE!
88,Gottlieb_2011,2011,ATA,33,141,95,19,L,2,43.5,0.693779904
88,Gottlieb_2011,2011,PBO,1,68,95,19,L,2,43.5,0.693779904
89,Strober_2011,2011,ATA,27,139,95,18,L,2,45,0.620853081
89,Strober_2011,2011,PBO,3,72,95,18,L,2,45,0.620853081
91,Gordon_2016_UNCOVER1,2016,AIL17,586,865,92,20,L,2,46,0.68132716
91,Gordon_2016_UNCOVER1,2016,PBO,2,431,92,20,L,2,46,0.68132716
92,Warren_2016_METOP,2016,CSA,16,91,93,15,L,2,45,0.833333333
92,Warren_2016_METOP,2016,PBO,0,29,93,15,L,2,45,0.833333333
93,Mrowietz_2016_BRIDGE,2016,CSA,110,566,.,16,H,2,44.5,0.642045455
93,Mrowietz_2016_BRIDGE,2016,PBO,6,138,.,16,H,2,44.5,0.642045455
96,Krueger_2016,2016,PBO,0,3,.,22,L,2,45.5,0.666666667
96,Krueger_2016,2016,SM,0,9,.,22,L,2,45.5,0.666666667
97,Papp_2012b,2012,PBO,1,88,92,18.5,L,2,44,0.627840909
97,Papp_2012b,2012,SM,22,264,92,18.5,L,2,44,0.627840909
98,Papp_2013b,2013,PBO,0,87,.,19.5,H,2,46,0.626923077
98,Papp_2013b,2013,SM,0,173,.,19.5,H,2,46,0.626923077
99,Reich_2016_LIBERATE,2016,ATA,17,83,88.5,19.5,M,1,45,0.628
99,Reich_2016_LIBERATE,2016,PBO,3,84,88.5,19.5,M,1,45,0.628
99,Reich_2016_LIBERATE,2016,SM,12,83,88.5,19.5,M,1,45,0.628
100,Blauvelt_2016_VOYAGE1,2016,AIL23,241,329,.,22,L,1,44,0.726403823
100,Blauvelt_2016_VOYAGE1,2016,ATA,166,334,.,22,L,1,44,0.726403823
