,studlab,treat1,treat2,TE,seTE,event1,n1,event2,n2,incr,allstudies,studlab.orig,rob,effect_size1,outcome1_direction,treat.orig1,treat.orig2,r1,r2,n.orig1,n.orig2,year,year2,age_mean1,age_mean2
49,181,amit,fluo,-0.2135741003,0.6543038691,7,20,8,20,0.0,0,181,2,OR,beneficial,amit,fluo,7,8,20,20,1989.0,1989.0,45.0,40.0
50,182,clom,fluo,-0.3746934494,0.8703882798,11,15,12,15,0.0,0,182,2,OR,beneficial,clom,fluo,11,12,15,15,1989.0,1989.0,49.0,48.0
51,183,clom,fluo,-0.48835276790000004,0.6266392644000001,18,26,22,28,0.0,0,183,2,OR,beneficial,clom,fluo,18,22,26,28,1989.0,1989.0,52.0,47.0
52,184,clom,fluo,-0.6499586505,0.3390288938,31,72,42,71,0.0,0,184,2,OR,beneficial,clom,fluo,31,42,72,71,1989.0,1989.0,45.0,43.0
53,185,fluo,traz,-1.2739651761,0.7196055641,10,21,13,17,0.0,0,185,2,OR,beneficial,fluo,traz,10,13,21,17,1990.0,1990.0,,
54,186,amit,fluo,-0.1823215568,0.7187952884000001,6,18,6,16,0.0,0,186,2,OR,beneficial,amit,fluo,6,6,18,16,1990.0,1990.0,46.0,45.0
55,187,clom,fluo,-0.3418923041,0.3707688952,32,60,37,60,0.0,0,187,2,OR,beneficial,clom,fluo,32,37,60,60,1991.0,1991.0,46.0,46.0
56,188,amit,fluo,0.5753641449,0.6614378278,16,22,12,20,0.0,0,188,1,OR,beneficial,amit,fluo,16,12,22,20,1991.0,1991.0,48.0,40.0
57,189,amit,fluo,-0.6505875661,0.5544070254,8,31,12,30,0.0,0,189,2,OR,beneficial,amit,fluo,8,12,31,30,1991.0,1991.0,,
58,190,fluo,traz,-0.1997519999,0.3577734368,33,65,34,61,0.0,0,190,2,OR,beneficial,fluo,traz,33,34,65,61,1991.0,1991.0,40.0,40.0
59,191,amit,fluo,-0.2876820725,0.5283622495,12,28,15,30,0.0,0,191,2,OR,beneficial,amit,fluo,12,15,28,30,1993.0,1993.0,42.0,42.0
60,196,amit,fluo,-0.2006706955,0.5048328980000001,18,31,22,35,0.0,0,196,2,OR,beneficial,amit,fluo,18,22,31,35,1998.0,1998.0,42.0,41.0
61,197,amit,fluo,0.5893286853,0.3835699678,59,75,45,67,0.0,0,197,1,OR,beneficial,amit,fluo,59,45,75,67,1998.0,1998.0,44.0,44.0
62,198,amit,fluo,-0.22314355130000002,0.6690433825000001,6,21,7,21,0.0,0,198,2,OR,beneficial,amit,fluo,6,7,21,21,1998.0,1998.0,37.0,39.0
63,199,amit,fluo,-0.0779184371,0.3608874955,58,80,57,77,0.0,0,199,1,OR,beneficial,amit,fluo,58,57,80,77,1999.0,1999.0,41.0,41.0
64,202,fluo,paro,-0.20544397420000002,0.30494309010000004,57,92,64,96,0.0,0,202,2,OR,beneficial,fluo,paro,57,64,92,96,2002.0,2002.0,42.0,43.0
65,202,fluo,sert,-0.5026954977,0.3144241418,57,92,70,96,0.0,0,202,2,OR,beneficial,fluo,sert,57,70,92,96,2002.0,2002.0,42.0,44.0
66,202,paro,sert,-0.2972515235,0.3156299301,64,96,70,96,0.0,0,202,2,OR,beneficial,paro,sert,64,70,96,96,2002.0,2002.0,43.0,44.0
67,210,clom,fluv,0.4660897299,0.7334781497,17,21,16,22,0.0,0,210,1,OR,beneficial,clom,fluv,17,16,21,22,1983.0,1983.0,,
68,221,amit,fluv,-1.1267831656,0.7330085861000001,5,17,9,16,0.0,0,221,2,OR,beneficial,amit,fluv,5,9,17,16,1994.0,1994.0,41.0,42.0
69,222,fluv,sert,0.2881760216,0.40739396580000004,27,49,23,48,0.0,0,222,2,OR,beneficial,fluv,sert,27,23,49,48,1995.0,1995.0,39.0,41.0
70,223,clom,fluv,0.7672551527,0.7295753695,16,20,13,20,0.0,0,223,1,OR,beneficial,clom,fluv,16,13,20,20,1995.0,1995.0,47.0,51.0
71,224,fluo,fluv,0.0148886125,0.4067371873,29,49,30,51,0.0,0,224,1,OR,beneficial,fluo,fluv,29,30,49,51,1996.0,1996.0,39.0,40.0
72,227,fluv,paro,0.134732594,0.5193025879000001,17,30,16,30,0.0,0,227,2,OR,beneficial,fluv,paro,17,16,30,30,1997.0,1997.0,43.0,40.0
73,228,amit,fluv,-0.0352149063,0.262604791,54,122,51,113,0.0,0,228,1,OR,beneficial,amit,fluv,54,51,122,113,1998.0,1998.0,45.0,41.0
74,229,fluo,fluv,-0.0592694085,0.2990208522,54,94,53,90,0.0,0,229,2,OR,beneficial,fluo,fluv,54,53,94,90,2003.0,2003.0,42.0,42.0
75,230,fluv,sert,0.6329283206,0.45946287690000004,29,40,28,48,0.0,0,230,1,OR,beneficial,fluv,sert,29,28,40,48,2005.0,2005.0,68.0,68.0
76,232,amit,fluv,1.0056661762,0.49691020010000003,21,34,13,35,0.0,0,232,2,OR,beneficial,amit,fluv,21,13,34,35,1991.0,1991.0,48.0,39.0
77,239,amit,miln,0.6836684366,0.37772668470000004,35,49,53,95,0.0,0,239,2,OR,beneficial,amit,miln,35,53,49,95,1989.0,1989.0,49.0,49.0
78,240,amit,miln,-0.5130957723,0.4373646977,22,43,28,44,0.0,0,240,1,OR,beneficial,amit,miln,22,28,43,44,1989.0,1989.0,50.0,50.0
79,241,fluv,miln,-0.5114523866,0.38784794170000003,22,41,56,85,0.0,0,241,2,OR,beneficial,fluv,miln,22,56,41,85,1991.0,1991.0,47.0,48.0
80,242,fluo,miln,0.5578284774,0.2998173266,43,93,32,97,0.0,0,242,1,OR,beneficial,fluo,miln,43,32,93,97,1994.0,1994.0,45.0,45.0
81,243,clom,miln,-0.1397619424,0.3949408321,32,55,32,52,0.0,0,243,1,OR,beneficial,clom,miln,32,32,55,52,1997.0,1997.0,47.0,49.0
82,244,fluo,miln,-0.1404830411,0.24531475560000002,51,100,109,200,0.0,0,244,1,OR,beneficial,fluo,miln,51,109,100,200,1998.0,1998.0,46.0,45.0
83,245,fluv,miln,-0.5679840376,0.39590427640000003,32,56,40,57,0.0,0,245,2,OR,beneficial,fluv,miln,32,40,56,57,2001.0,2001.0,52.0,49.0
84,246,miln,sert,0.735706795,0.9138626415000001,4,27,2,26,0.0,0,246,2,OR,beneficial,miln,sert,4,2,27,26,2003.0,2003.0,44.0,42.0
85,247,miln,paro,-0.0725125516,0.2337070091,86,149,91,153,0.0,0,247,2,OR,beneficial,miln,paro,86,91,149,153,2004.0,2004.0,45.0,43.0
86,248,miln,paro,-0.0345795193,0.1423314417,338,604,171,301,0.0,0,248,1,OR,beneficial,miln,paro,338,171,604,301,2013.0,2013.0,36.0,37.0
87,258,mirt,traz,0.40730688340000004,0.2864445403,61,100,51,100,0.0,0,258,2,OR,beneficial,mirt,traz,61,51,100,100,1995.0,1995.0,46.0,46.0
88,262,fluo,mirt,-0.6990819161,0.35218372200000003,28,67,39,66,0.0,0,262,1,OR,beneficial,fluo,mirt,28,39,67,66,1998.0,1998.0,48.0,47.0
89,263,cita,mirt,0.2805174592,0.3567726809,117,133,116,137,0.0,0,263,1,OR,beneficial,cita,mirt,117,116,133,137,1999.0,1999.0,41.0,42.0
90,264,mirt,paro,0.1885183233,0.24152713790000002,74,139,66,136,0.0,0,264,2,OR,beneficial,mirt,paro,74,66,139,136,2000.0,2000.0,47.0,47.0
91,265,mirt,paro,0.3466246081,0.2521194431,72,128,60,126,0.0,0,265,1,OR,beneficial,mirt,paro,72,60,128,126,2002.0,2002.0,72.0,72.0
92,266,fluo,mirt,-0.3036824138,0.34919994870000004,30,66,35,66,0.0,0,266,2,OR,beneficial,fluo,mirt,30,35,66,66,2003.0,2003.0,47.0,47.0
93,267,mirt,sert,-0.0262102668,0.2283095131,117,176,114,170,0.0,0,267,2,OR,beneficial,mirt,sert,117,114,176,170,2003.0,2003.0,42.0,41.0
94,268,mirt,paro,-0.23197146540000002,0.2940030746,35,99,40,98,0.0,0,268,1,OR,beneficial,mirt,paro,35,40,99,98,2003.0,2003.0,40.0,40.0
