,studlab,treat1,treat2,OR,TE_direct,TE_adj,seTE
144,286,nefa,fluo,-0.10845170820000001,0.0327162292,-0.1411679374,0.4658440339
145,292,nefa,fluo,0.4054651081,0.0327162292,0.3727488789,0.6123724357
146,383,rebo,fluo,0.14179791190000002,-0.0073607495,0.1491586614,0.35010591620000003
147,395,rebo,fluo,-0.23757525240000002,-0.0073607495,-0.2302145029,0.43495221910000004
148,202,sert,fluo,0.5026954977,0.34830700330000003,0.1543884944,0.3144241418
149,398,sert,fluo,0.8652355611,0.34830700330000003,0.5169285578,0.398986002
150,402,sert,fluo,0.3076673648,0.34830700330000003,-0.0406396385,0.2375080602
151,403,sert,fluo,0.0206192872,0.34830700330000003,-0.3276877161,0.3163305645
152,408,sert,fluo,0.5100089639000001,0.34830700330000003,0.1617019606,0.27469106660000003
153,409,sert,fluo,0.1014466163,0.34830700330000003,-0.24686038700000001,0.2889479129
154,176,traz,fluo,0.08004270770000001,0.18337154360000002,-0.1033288359,0.618448569
155,180,traz,fluo,-1.0986122887,0.18337154360000002,-1.2819838323,0.8079466429000001
156,185,traz,fluo,1.2739651761,0.18337154360000002,1.0905936325,0.7196055641
157,190,traz,fluo,0.1997519999,0.18337154360000002,0.016380456300000002,0.3577734368
158,457,venl,fluo,0.8754687374000001,0.1758922667,0.6995764707000001,0.5092285592
159,460,venl,fluo,0.4799652884,0.1758922667,0.3040730217,0.23824935630000002
160,464,venl,fluo,0.21835758100000002,0.1758922667,0.0424653143,0.2251903828
161,466,venl,fluo,0.3437715391,0.1758922667,0.1678792724,0.2849260771
162,472,venl,fluo,-0.0083682497,0.1758922667,-0.18426051640000002,0.6032707305
163,476,venl,fluo,0.3523876919,0.1758922667,0.1764954252,0.4038086141
164,483,venl,fluo,-0.09832223030000001,0.1758922667,-0.274214497,0.1629883311
165,491,venl,fluo,0.11778303570000001,0.1758922667,-0.058109231000000004,0.7546154282
166,492,venl,fluo,-0.0153612852,0.1758922667,-0.1912535519,0.4147644666
167,82,cita,clom,-0.5667569752,-0.5667569752,0.0,0.3789586106
168,182,fluo,clom,0.3746934494,0.4979571622,-0.12326371280000001,0.8703882798
169,183,fluo,clom,0.48835276790000004,0.4979571622,-0.009604394300000001,0.6266392644000001
170,184,fluo,clom,0.6499586505,0.4979571622,0.15200148830000001,0.3390288938
171,187,fluo,clom,0.3418923041,0.4979571622,-0.1560648581,0.3707688952
172,326,paro,clom,-0.315270029,0.0728868099,-0.3881568389,0.4863265225
173,327,paro,clom,0.4967266994,0.0728868099,0.4238398895,0.4654456159
174,329,paro,clom,1.1939224685,0.0728868099,1.1210356586,0.533238628
175,330,paro,clom,0.4480247225,0.0728868099,0.3751379126,0.42158927900000004
176,332,paro,clom,-0.6662177687,0.0728868099,-0.7391045786,0.37204084190000003
177,356,paro,clom,0.055503024500000005,0.0728868099,-0.0173837854,0.1299990974
178,210,fluv,clom,-0.4660897299,-0.6174758118,0.1513860819,0.7334781497
179,223,fluv,clom,-0.7672551527,-0.6174758118,-0.1497793409,0.7295753695
180,243,miln,clom,0.1397619424,0.1397619424,0.0,0.3949408321
181,400,sert,clom,0.0875110023,0.044766923300000004,0.042744079000000004,0.3900472326
182,412,sert,clom,0.015209418700000001,0.044766923300000004,-0.0295575046,0.3243494027
183,470,traz,clom,-0.48005396510000004,-0.48005396510000004,0.0,0.39054481500000005
184,468,venl,clom,0.7156200364,0.5050690121,0.2105510243,0.40264278480000004
185,470,venl,clom,0.2760070409,0.5050690121,-0.22906197120000002,0.419969488
186,10,agom,paro,-0.3637255019,-0.1460196717,-0.2177058302,0.23450814820000002
187,12,agom,paro,0.0136043204,-0.1460196717,0.1596239921,0.20080382970000002
188,75,bupr,paro,0.0008166599,0.0008166599,0.0,0.3381307434
189,118,dulo,paro,-0.2108866802,0.0086793099,-0.2195659901,0.1897376131
190,126,dulo,paro,0.3659907759,0.0086793099,0.357311466,0.24204402930000002
191,143,esci,paro,-0.1088143657,0.10216995520000001,-0.2109843209,0.2393521094
192,146,esci,paro,0.2355660713,0.10216995520000001,0.13339611610000002,0.1903197071
193,305,amit,paro,-0.8754687374000001,0.08765144550000001,-0.9631201829,0.9457507306
194,307,amit,paro,0.9162907319,0.08765144550000001,0.8286392864000001,0.9746794345
195,311,amit,paro,0.70032854,0.08765144550000001,0.6126770945000001,0.3206975889
